成交时间,成交价,涨跌幅,价格变动,成交量(手),成交额(元),性质
08:30:18,0.0,-100.00%,--,0,0,中性盘
09:42:33,24.72,-0.36%,--,14,34608,中性盘
09:42:33,24.72,-0.36%,--,14,34608,卖盘
09:42:42,24.72,-0.36%,--,2,4944,卖盘
09:42:45,24.72,-0.36%,--,21,51912,买盘
09:42:54,24.72,-0.36%,--,10,24720,卖盘
09:43:03,24.72,-0.36%,--,5,12360,买盘
09:43:06,24.72,-0.36%,--,41,101352,买盘
09:43:09,24.73,-0.32%,+0.01,3,7419,买盘
09:43:15,24.75,-0.24%,+0.02,74,183150,买盘
09:43:18,24.75,-0.24%,--,4,9900,买盘
09:43:33,24.75,-0.24%,--,5,12375,买盘
09:43:36,24.74,-0.28%,-0.01,59,145966,卖盘
09:43:48,24.74,-0.28%,--,37,91538,买盘
09:43:51,24.74,-0.28%,--,1,2474,买盘
09:43:54,24.74,-0.28%,--,70,173180,买盘
09:43:57,24.74,-0.28%,--,26,64324,买盘
09:44:06,24.76,-0.20%,+0.02,66,163416,买盘
09:44:09,24.75,-0.24%,-0.01,22,54450,卖盘
09:44:45,24.82,+0.04%,+0.07,5,12410,买盘
09:44:48,24.82,+0.04%,--,50,124100,中性盘
09:45:03,24.83,+0.08%,+0.01,1,2483,买盘
09:45:09,24.85,+0.16%,+0.02,28,69580,买盘
09:45:15,24.85,+0.16%,--,33,82005,买盘
09:45:39,24.87,+0.24%,--,8,19896,买盘
09:45:45,24.87,+0.24%,--,19,47253,中性盘
09:45:48,24.88,+0.28%,+0.01,19,47272,买盘
09:45:54,24.88,+0.28%,--,7,17416,卖盘
09:46:00,24.88,+0.28%,--,26,64688,卖盘
09:46:03,24.88,+0.28%,--,6,14928,买盘
09:46:06,24.9,+0.36%,+0.02,144,358560,买盘
09:46:09,24.9,+0.36%,--,18,44820,卖盘
09:46:15,24.92,+0.44%,+0.02,12,29904,买盘
09:46:18,24.92,+0.44%,--,33,82236,买盘
09:46:21,24.92,+0.44%,--,20,49840,买盘
09:46:24,24.92,+0.44%,--,3,7476,买盘
09:46:27,24.9,+0.36%,-0.02,4,9960,卖盘
09:46:30,24.92,+0.44%,+0.02,1,2492,买盘
09:46:33,24.93,+0.48%,+0.01,45,112185,买盘
09:46:36,24.93,+0.48%,--,20,49860,卖盘
09:46:45,24.93,+0.48%,--,10,24930,中性盘
09:46:48,24.91,+0.40%,-0.02,2,4982,卖盘
09:46:57,24.91,+0.40%,--,6,14946,买盘
09:47:00,24.9,+0.36%,-0.01,6,14940,卖盘
09:47:06,24.92,+0.44%,+0.02,25,62300,买盘
09:47:09,24.91,+0.40%,-0.01,1,2491,卖盘
09:47:15,24.91,+0.40%,--,33,82203,卖盘
09:47:18,24.91,+0.40%,--,17,42347,买盘
09:47:27,24.92,+0.44%,+0.01,6,14952,买盘
09:47:39,24.91,+0.40%,-0.01,5,12455,中性盘
09:47:45,24.91,+0.40%,--,42,104622,买盘
09:47:57,24.91,+0.40%,--,21,52311,买盘
09:48:00,24.91,+0.40%,--,5,12455,卖盘
09:48:03,24.91,+0.40%,--,10,24910,卖盘
