代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
sh688603,N天承,87.11,58.38,32.11,0.0,81.03,--,32.36,846000000.0000001,12016300.000000002,1047000000.0000001,111.28
sz301261,N恒工,50.0,35.5,13.1,0.0,78.64,--,36.53,714000000.0,19791800.0,990000000.0,36.41
sz301488,C豪恩,113.0,25.7,23.1,1.35,69.73,0.91,22.25,1405000000.0,19894600.0,2248000000.0,171.09
837592,N永道,12.8,23.31,2.42,0.0,67.89,11955.78,29.38,140000000.0,14934000.0,191000000.0,21.47
sz300528,幸福蓝海,10.84,20.04,1.81,0.0,7.17,3.15,12.62,276000000.0,373000000.0,4039000000.0,349.39
sz300807,天迈科技,37.5,20.0,6.25,0.0,14.37,0.81,18.30,252000000.0,48638600.0,1823999999.9999998,亏损
sz300342,天银机电,13.2,20.0,2.2,0.0,20.46,4.22,16.36,1079000000.0,416000000.0,5494000000.0,78.89
sz300343,联创股份,8.39,17.34,1.24,0.0,12.03,4.92,19.02,1050000000.0,1066000000.0,8946000000.0,254.72
sz300939,秋田微,44.31,14.76,5.7,0.39,25.41,1.94,15.41,700000000.0,65892000.0,2920000000.0,41.85
sz301022,海泰科,31.26,12.45,3.46,-0.13,22.66,3.25,21.44,305000000.0,42418100.00000001,1326000000.0,73.35
sz300763,锦浪科技,108.48,12.38,11.95,0.0,6.68,2.42,14.88,2136000000.0,302000000.0,32739999999.999996,33.18
sz301398,星源卓镁,54.08,10.57,5.17,1.65,74.22,2.67,14.68,776000000.0,19273300.0,1042000000.0,63.85
sz002496,辉丰股份,2.81,10.2,0.26,0.0,8.11,7.73,10.20,256000000.0,1141000000.0,3204999999.9999995,98.88
sz301016,雷尔伟,27.16,10.14,2.5,0.04,61.51,7.31,15.69,487000000.0,30000000.0,815000000.0,169.53
sz002251,步 步 高,5.01,10.11,0.46,0.0,5.08,3.59,7.91,215000000.0,864000000.0,4328000000.0,亏损
sh600719,大连热电,7.11,10.06,0.65,0.0,0.24,0.17,--,6776100.0,405000000.0,2877000000.0,亏损
sz002590,万安科技,11.83,10.05,1.08,0.0,10.23,1.07,10.61,525000000.0,455999999.99999994,5389000000.0,1334.29
sh603023,威帝股份,5.04,10.04,0.46,0.0,5.99,0.95,2.40,170000000.0,562000000.0,2833000000.0,亏损
sz000767,晋控电力,3.84,10.03,0.35,0.0,9.51,8.22,5.16,1050000000.0,2912000000.0,11183000000.0,亏损
sh603291,联合水务,17.23,10.03,1.57,0.0,41.38,1.54,11.30,285000000.0,42322100.0,729000000.0,106.72
sh603131,上海沪工,13.61,10.02,1.24,0.0,4.06,3.02,9.46,175000000.0,318000000.0,4328000000.0,155.26
sh603070,万控智造,19.98,10.02,1.82,0.0,15.33,2.69,10.13,244000000.0,81086000.0,1620000000.0,69.53
sz000020,深华发Ａ,15.92,10.02,1.45,0.0,4.82,0.67,6.36,135000000.0,181000000.0,2884000000.0,175.20
sh603871,嘉友国际,16.25,10.02,1.48,0.0,1.98,3.21,5.01,222000000.00000003,699000000.0,11356000000.0,14.04
sh603103,横店影视,19.12,10.01,1.74,0.0,1.76,1.6,8.57,208000000.0,634000000.0,12126000000.0,20.30
sz002976,瑞玛精密,39.34,10.01,3.58,0.0,1.76,0.23,--,44668000.0,64642200.0,2543000000.0,49.31
sh605228,神通科技,11.1,10.01,1.01,0.0,15.19,1.99,10.90,162000000.0,98377400.0,1092000000.0,557.69
sz002905,金逸影视,11.65,10.01,1.06,0.0,5.22,1.98,8.21,206999999.99999997,349000000.0,4071000000.0,53.63
sz001270,铖昌科技,98.88,10.0,8.99,0.0,9.53,2.16,10.55,646000000.0,71255300.0,7045999999.999999,317.01
