代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
832982,N锦波,127.25,159.69,78.25,0.0,25.7,1418.38,56.73,755000000.0,23758500.0,3023000000.0,78.48
sz301512,N智信,86.01,116.87,46.35,-0.05,82.53,--,54.77,883000000.0,13333400.0,1147000000.0,亏损
sh688602,N康鹏,12.0,38.57,3.34,0.0,77.3,--,24.25,846000000.0000001,84728700.00000001,1017000000.0,41.81
sz300868,杰美特,27.41,20.01,4.57,0.0,49.67,4.05,24.56,628000000.0,50222600.0,1377000000.0,亏损
sz301255,通力科技,66.42,20.0,11.07,0.0,68.0,2.11,22.73,1127000000.0,27200000.0,1807000000.0,103.90
sz300410,正业科技,10.38,20.0,1.73,0.0,18.83,8.13,19.19,690000000.0,367000000.0,3814000000.0,亏损
sz301381,赛维时代,41.77,19.99,6.96,0.0,32.69,0.53,17.15,411000000.00000006,31410900.0,1312000000.0,80.39
sz300116,保力新,1.58,19.7,0.26,0.0,12.13,9.77,19.70,753000000.0,4104000000.0,6484000000.0,亏损
sz300512,中亚股份,10.18,14.13,1.26,0.2,9.88,5.42,18.61,320000000.0,327000000.0,3332000000.0,32.85
sz300515,三德科技,17.35,13.47,2.06,0.12,6.85,8.67,19.16,211000000.0,180000000.0,3130000000.0,56.31
sz301338,凯格精机,60.76,12.1,6.56,0.26,78.76,3.13,21.72,1078000000.0,24614400.0,1496000000.0,140.01
sz300225,金力泰,9.32,11.88,0.99,0.0,11.49,2.01,17.65,491000000.0,474000000.0,4418000000.0,亏损
sz301088,戎美股份,20.04,11.58,2.08,0.15,25.41,11.18,14.48,275000000.0,55890600.00000001,1120000000.0,31.43
sz300579,数字认证,32.11,10.34,3.01,0.09,7.5,5.72,17.90,636000000.0,262000000.0,8409000000.0,685.38
sz300648,星云股份,32.97,10.23,3.06,-0.03,13.75,8.17,10.97,434000000.0,95265300.0,3141000000.0,亏损
sz002146,荣盛发展,2.16,10.2,0.2,0.0,18.1,3.37,9.18,1485000000.0,3897000000.0,8416000000.0,亏损
sz002310,东方园林,2.06,10.16,0.19,0.0,3.77,3.85,5.35,199000000.0,2605000000.0,5367000000.0,亏损
sz300503,昊志机电,19.64,10.09,1.8,-0.05,31.16,1.60,12.95,1287000000.0,218000000.00000003,4275000000.0,亏损
sz002640,跨境通,3.82,10.09,0.35,0.0,6.35,3.73,10.09,330000000.0,1388000000.0,5303000000.0,1210.54
sz002316,亚联发展,6.45,10.07,0.59,0.0,3.48,0.19,--,70665800.0,315000000.0,2032000000.0,亏损
sz002193,如意集团,7.33,10.06,0.67,0.0,6.1,4.62,10.66,112000000.00000001,261000000.0,1913000000.0,亏损
sz002559,亚威股份,9.63,10.06,0.88,0.0,21.75,1.64,13.94,982000000.0,484000000.0,4656000000.0,26.74
sh603569,长久物流,11.94,10.05,1.09,0.0,2.95,1.46,7.56,194000000.0,560000000.0,6691000000.0,129.03
