代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
sz301251,N威尔高,68.32,136.56,39.44,0.31,79.07,--,37.98,1695000000.0,31919699.999999996,2181000000.0,89.20
sz300637,扬帆新材,9.52,20.05,1.59,0.0,15.89,5.28,21.69,340000000.0,234000000.0,2231000000.0,亏损
sh688418,震有科技,19.66,20.02,3.28,0.0,19.35,2.48,20.82,476999999.99999994,133000000.0,2607000000.0,亏损
sz300537,广信材料,21.94,20.02,3.66,0.0,32.88,3.38,13.79,934000000.0,137000000.0,3003000000.0,106.46
sz300293,蓝英装备,13.01,20.02,2.17,0.0,11.04,2.27,21.4,391000000.0,280000000.0,3647000000.0,亏损
sz300807,天迈科技,41.68,20.01,6.95,0.0,29.84,1.86,17.94,576000000.0,48848000.0,2036000000.0,亏损
sz301348,蓝箭电子,65.32,20.01,10.89,0.0,71.61,2.22,24.27,2030000000.0,47421600.0,3098000000.0,161.48
sz300576,容大感光,52.68,20.0,8.78,0.0,37.36,1.49,22.73,2528000000.0,142000000.0,7477000000.0,144.58
sh688502,茂莱光学,265.08,20.0,44.18,0.0,16.65,1.47,21.16,484999999.99999994,12061400.000000002,3197000000.0,244.69
sz300045,华力创通,23.52,20.0,3.92,0.0,31.77,0.93,17.45,3406000000.0,493000000.0,11591000000.0,亏损
sh688206,概伦电子,29.66,19.98,4.94,0.0,9.56,5.57,21.68,418000000.0,156000000.0,4622000000.0,9916.67
sz300563,神宇股份,18.26,19.97,3.04,0.0,32.63,5.16,18.86,684000000.0,123000000.0,2242000000.0,78.25
sh688776,国光电气,87.38,18.87,13.87,0.44,11.7,3.84,18.79,334000000.0,34474500.0,3012000000.0,99.50
sh688448,磁谷科技,34.45,15.68,4.67,0.06,26.57,2.17,20.58,148000000.0,16924500.0,583000000.0,300.16
sz300184,力源信息,6.51,15.22,0.86,-0.15,32.38,3.92,20.53,2092000000.0000002,1048000000.0,6825000000.0,71.68
sz301421,波长光电,92.2,14.86,11.93,0.0,62.76,1.14,27.11,1461000000.0,27437700.0,2530000000.0,154.36
sz300721,怡达股份,19.25,14.79,2.48,0.79,19.24,7.06,18.66,478000000.0,137000000.0,2640000000.0,亏损
sz300905,宝丽迪,23.53,14.5,2.98,0.0,39.43,3.88,24.14,419000000.00000006,47855300.0,1126000000.0,50.86
sz301013,利和兴,17.73,13.87,2.16,-0.23,28.39,1.25,15.93,788000000.0,166000000.0,2950000000.0,亏损
sz300655,晶瑞电材,12.43,13.52,1.48,0.0,14.77,3.01,20.73,1641000000.0,941000000.0,11696000000.0,576.93
sh688195,腾景科技,40.6,13.41,4.8,0.03,14.07,2.91,15.95,446000000.0,81840000.0,3322999999.9999995,128.77
sz300814,中富电路,43.4,13.08,5.02,0.02,58.89,1.29,21.76,1210000000.0,50796000.0,2205000000.0,162.08
sh688548,广钢气体,13.68,12.78,1.55,0.15,26.29,1.33,17.15,833000000.0,243000000.00000003,3327000000.0000005,56.91
