代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
sz301292,N海科,29.7,48.57,9.71,0.0,70.67,--,15.51,925000000.0,42886700.0,1274000000.0,53.01
sz300780,德恩精工,20.56,20.02,3.43,0.0,37.91,1.35,19.61,636000000.0,86320700.0,1775000000.0,100.48
sz301192,泰祥股份,36.22,20.01,6.04,0.0,80.05,2.48,17.30,682000000.0,24975000.0,905000000.0000001,84.86
sz301016,雷尔伟,24.66,20.0,4.11,0.0,27.87,6.53,18.30,199000000.0,30000000.0,740000000.0,153.93
sz301398,星源卓镁,48.91,20.0,8.15,0.0,63.37,3.76,22.33,574000000.0,19273300.0,943000000.0,57.74
871694,中裕科技,17.2,16.37,2.42,0.0,10.76,3.35,17.25,34589300.0,20305100.0,349000000.0,15.22
sz300879,大叶股份,21.29,14.59,2.71,-0.23,38.93,4.46,21.37,449000000.0,55000000.0,1171000000.0,52.15
sz300270,中威电子,10.16,14.41,1.28,0.0,38.1,3.78,24.10,799000000.0,223000000.0,2270000000.0,2230.53
sz301298,东利机械,18.76,12.4,2.07,0.21,20.21,8.45,17.32,365000000.0,98263600.0,1843000000.0,72.57
sz300817,双飞股份,20.23,12.14,2.19,0.0,35.2,4.31,20.84,670000000.0,99366900.0,2010000000.0000002,77.22
sz300189,神农科技,3.65,11.96,0.39,-0.27,11.32,12.81,18.71,392000000.0,963000000.0000001,3515000000.0,亏损
831087,秋乐种业,7.15,11.72,0.75,0.0,8.75,9.09,17.66,43765800.0,71150100.0,509000000.0,30.25
836077,吉林碳谷,21.51,10.88,2.11,0.0,2.12,4.91,18.97,72394200.0,161000000.0,3471000000.0,16.82
sz301072,中捷精工,31.59,10.15,2.91,-0.03,45.77,2.15,18.90,465000000.00000006,33354800.0,1053999999.9999999,114.39
sz000767,晋控电力,3.49,10.1,0.32,0.0,3.7,6.53,9.78,373000000.0,2912000000.0,10164000000.0,亏损
sz000570,苏常柴Ａ,6.11,10.09,0.56,0.0,15.43,2.27,12.07,459999999.99999994,499000000.0,3048000000.0,45.04
sh600719,大连热电,6.46,10.05,0.59,0.0,0.59,0.32,--,15395600.0,405000000.0,2614000000.0,亏损
sz000020,深华发Ａ,14.47,10.04,1.32,0.0,6.06,0.78,6.54,155000000.0,181000000.0,2621000000.0,159.25
sh600313,农发种业,9.54,10.04,0.87,0.0,13.44,12.67,9.92,1345000000.0,1067000000.0,10179000000.0,66.00
sh601567,三星医疗,14.37,10.03,1.31,0.0,0.39,0.81,--,77736400.0,1395000000.0,20045000000.0,18.83
sh601116,三江购物,12.73,10.03,1.16,0.0,4.81,2.23,8.90,328000000.0,548000000.0,6972000000.0,33.08
sz001313,粤海饲料,8.79,10.01,0.8,0.0,5.66,9.28,10.76,107000000.0,218000000.00000003,1917000000.0000002,亏损
sz003012,东鹏控股,8.9,10.01,0.81,0.0,4.38,5.42,4.08,248000000.0,643000000.0,5719000000.0,2216.13
sh603029,天鹅股份,22.42,10.01,2.04,0.0,11.31,3.54,12.46,295000000.0,121000000.0,2720000000.0,114.20
sz002893,京能热力,12.42,10.01,1.13,0.0,14.5,1.61,10.54,356000000.0,202000000.0,2503000000.0,3.71
sh603215,比依股份,24.18,10.01,2.2,0.0,26.78,2.40,12.01,430000000.0,70464100.0,1704000000.0,24.59
sz000537,广宇发展,13.42,10.0,1.22,0.0,3.17,3.96,9.18,776000000.0,1863000000.0,24995000000.0,26.64
sz002976,瑞玛精密,35.76,10.0,3.25,0.0,2.33,0.31,--,53845100.0,64642200.0,2312000000.0,44.82
sz002380,科远智慧,23.77,9.99,2.16,0.0,16.97,1.38,13.47,561000000.0,142000000.0,3364000000.0,140.67
sz001360,南矿集团,19.28,9.98,1.75,0.0,25.16,3.53,12.21,231999999.99999997,49975500.0,964000000.0,66.67
sz002616,长青集团,5.63,9.96,0.51,0.0,2.31,2.22,--,61031899.99999999,470000000.0,2647000000.0,64.86
sh600257,大湖股份,6.74,9.95,0.61,0.0,13.77,1.59,11.58,430999999.99999994,480999999.99999994,3244000000.0,亏损
sh688327,云从科技-UW,19.01,9.95,1.72,-0.32,12.93,3.14,15.79,1807000000.0,747000000.0,14191999999.999998,亏损
sh600239,云南城投,2.34,9.86,0.21,0.0,3.38,3.60,10.80,124000000.0,1605999999.9999998,3757000000.0,6.11
sz301486,N致尚,63.2,9.61,5.54,-0.08,70.05,--,16.79,1384000000.0,30512300.0,1928000000.0,121.62
sz300170,汉得信息,11.94,9.44,1.03,-0.17,15.73,2.10,18.06,1655999999.9999998,932000000.0,11129000000.0,91.84
sh688103,国力股份,62.11,8.77,5.01,0.06,5.9,2.86,13.98,218000000.00000003,60377600.0,3750000000.0,129.63
sz300475,香农芯创,33.57,8.29,2.57,-0.3,11.25,2.88,10.58,1602000000.0,442000000.0,14832000000.0,44.96
sz300010,*ST豆神,2.9,8.21,0.22,0.0,5.31,2.15,14.55,119000000.0,809000000.0,2346000000.0,亏损
sz301229,纽泰格,37.58,8.18,2.84,0.0,30.27,1.60,12.52,378000000.0,34113700.0,1282000000.0,51.43
838670,恒进感应,9.4,8.05,0.7,0.0,10.62,3.71,14.14,36842600.0,37327600.0,351000000.0,61.70
sz000037,深南电A,13.44,8.04,1.0,0.0,29.67,1.28,11.82,1327000000.0,339000000.0,4555000000.0,亏损
sz300514,友讯达,15.4,7.99,1.14,0.07,20.12,4.64,6.66,471000000.0,154000000.0,2371000000.0,35.45
430510,丰光精密,9.48,7.73,0.68,0.0,4.18,2.44,17.61,25971100.0,62926400.0,597000000.0,亏损
sz301099,雅创电子,64.36,7.27,4.36,-0.05,34.62,1.65,11.45,612000000.0,28000000.0,1802000000.0,120.67
834033,康普化学,39.73,7.26,2.69,0.0,2.41,1.73,12.31,28299699.999999996,30833900.0,1225000000.0,26.50
sh601600,中国铝业,6.06,7.26,0.41,0.0,4.16,4.12,9.91,3276000000.0,13079000000.0,79257000000.0,14.34
sz300875,捷强装备,42.99,7.21,2.89,0.0,17.98,2.77,13.27,349000000.0,46149100.0,1984000000.0,433.60
sz300317,珈伟新能,5.97,7.18,0.4,0.0,9.85,2.56,7.9,476999999.99999994,826000000.0,4931000000.0,亏损
sz300979,华利集团,53.01,7.09,3.51,0.02,2.67,1.69,8.3,202000000.0,146000000.0,7744000000.0,32.14
sh603277,银都股份,25.55,7.08,1.69,0.0,1.53,3.27,9.39,159000000.0,417000000.0,10664000000.0,27.56
