代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
sz301329,N信音,28.51,35.76,7.51,0.0,71.75,--,16.67,871000000.0000001,40782900.0,1163000000.0,66.93
833751,N惠同,7.81,34.66,2.01,0.0,46.67,5071.21,26.72,170000000.0,42374500.0,331000000.0,19.66
873576,天力复合,24.0,26.98,5.1,0.0,24.7,1.45,33.28,157000000.0,29817199.999999996,716000000.0,35.09
sz301503,N智迪,39.07,23.68,7.48,-0.08,63.81,--,21.97,555000000.0,20000000.0,781000000.0,79.06
sz301203,国泰环保,44.45,20.0,7.41,0.0,45.9,8.88,20.55,332000000.0,17067700.0,759000000.0,28.81
sz300521,爱司凯,15.3,20.0,2.55,0.0,7.04,13.17,18.35,154000000.0,144000000.0,2203000000.0,亏损
sz300880,迦南智能,31.44,20.0,5.24,0.0,30.07,1.31,18.7,748000000.0,85126600.0,2676000000.0,78.39
sh688291,金橙子,41.05,19.99,6.84,0.0,18.81,1.75,13.01,183000000.0,24383400.0,1001000000.0,85.92
sz301182,凯旺科技,28.76,19.98,4.79,0.0,23.55,6.61,19.82,238000000.0,35971700.0,1035000000.0,亏损
sz301053,远信工业,29.88,18.48,4.66,-0.07,42.76,9.47,20.26,291000000.0,23264899.999999996,695000000.0,66.65
sz300457,赢合科技,25.75,15.37,3.43,0.0,12.69,1.84,15.77,1660000000.0000002,553000000.0,14250000000.0,40.59
sz300004,南风股份,6.18,13.81,0.75,0.0,11.46,28.40,20.07,343000000.0,478000000.0,2951000000.0,亏损
sz300882,万胜智能,33.2,13.27,3.89,0.15,50.14,2.40,18.83,940000000.0,57606400.0,1913000000.0,45.41
sz300659,中孚信息,27.12,12.62,3.04,0.0,28.18,8.00,11.79,1132000000.0,154000000.0,4172000000.0,亏损
sz300709,精研科技,27.39,12.44,3.03,0.0,18.06,5.59,13.59,715000000.0,149000000.0,4078000000.0,亏损
833455,汇隆活塞,3.77,11.54,0.39,0.0,22.39,2.62,12.72,35146500.0,43159100.0,163000000.0,18.40
sh688456,有研粉材,40.15,11.0,3.98,0.0,10.07,4.42,11.06,254999999.99999997,64408800.0,2586000000.0,97.42
sh688433,华曙高科,42.39,10.59,4.06,0.59,22.02,2.74,9.63,318000000.0,34555500.0,1465000000.0,214.52
sz300307,慈星股份,7.52,10.43,0.71,0.0,11.6,5.53,13.36,677000000.0,772000000.0,5804000000.0,38.48
sz301379,天山电子,39.79,10.19,3.68,0.1,71.1,3.61,12.32,728000000.0,25340000.0,1008000000.0,38.24
sh600280,中央商场,3.14,10.18,0.29,0.0,6.12,3.88,8.07,209000000.0,1128000000.0,3543000000.0,亏损
sz002211,宏达新材,4.14,10.11,0.38,0.0,10.4,2.19,12.77,179000000.0,432000000.0,1789999999.9999998,亏损
sz002474,榕基软件,8.86,10.06,0.81,0.0,18.41,8.07,4.60,805000000.0000001,504000000.0,4465000000.0,亏损
sz000980,众泰汽车,3.61,10.06,0.33,0.0,10.68,0.94,15.24,1538000000.0,4286999999.9999995,15478000000.0,亏损
sz002535,林州重机,5.69,10.06,0.52,0.0,20.94,0.9,17.21,645000000.0,571000000.0,3247999999.9999995,43.92
sz002191,劲嘉股份,6.9,10.05,0.63,0.0,3.55,4.03,10.85,337000000.0,1430000000.0,9866000000.0,15.88
sh603496,恒为科技,22.63,10.02,2.06,0.0,13.64,1.69,12.15,960000000.0,320000000.0,7245999999.999999,103.38
sz000550,江铃汽车,15.72,10.01,1.43,0.0,1.95,1.79,4.90,158000000.0,518000000.0,8150000000.0,18.56
sz001373,翔腾新材,49.26,10.01,4.48,0.0,31.94,2.59,6.61,266000000.0,17171700.0,846000000.0000001,83.66
sh603160,汇顶科技,53.67,10.0,4.88,0.0,3.85,6.06,5.47,941000000.0,458000000.0,24580000000.0,亏损
sz000004,国华网安,21.01,10.0,1.91,0.0,1.4,0.09,--,34846700.0,119000000.0,2498000000.0,亏损
sh605196,华通线缆,7.81,10.0,0.71,0.0,14.63,11.08,2.25,368000000.0,324000000.0,2529000000.0,24.57
sz000811,冰轮环境,17.16,10.0,1.56,0.0,4.15,5.11,4.87,525000000.0,746000000.0,12798000000.0,29.72
sh600268,国电南自,8.25,10.0,0.75,0.0,12.44,3.09,10.80,841000000.0,834000000.0,6883000000.0,亏损
sz002347,泰尔股份,6.05,10.0,0.55,0.0,10.66,2.86,10.73,211000000.0,335000000.0,2025000000.0,286.03
sz002654,万润科技,13.09,10.0,1.19,0.0,19.97,1.16,9.75,1963000000.0,784000000.0,10264000000.0,亏损
sz002146,荣盛发展,1.76,10.0,0.16,0.0,5.36,1.46,6.25,361000000.0,3897000000.0,6858000000.0,亏损
sh603800,道森股份,32.79,10.0,2.98,0.55,4.93,2.86,10.53,326000000.0,208000000.0,6820000000.0,96.16
sz001296,长江材料,24.11,9.99,2.19,0.0,28.11,3.59,11.45,245000000.00000003,37640700.0,908000000.0,34.66
sz002339,积成电子,8.15,9.99,0.74,0.0,9.49,3.75,11.34,361000000.0,478000000.0,3896000000.0,亏损
sh600895,张江高科,15.53,9.99,1.41,0.0,3.44,2.69,11.12,798000000.0,1549000000.0,24051000000.0,30.38
sh603380,易德龙,26.55,9.98,2.41,0.0,4.64,3.92,12.14,193000000.0,160000000.0,4260000000.0,48.20
sz002134,天津普林,12.02,9.97,1.09,0.0,11.26,0.77,10.43,328000000.0,246000000.0,2955000000.0,105.29
sz000544,中原环保,7.94,9.97,0.72,0.0,2.03,3.74,5.12,154000000.0,975000000.0,7739000000.0,12.17
