代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
837592,华信永道,17.1,20.08,2.86,0.0,42.63,1.13,25.14,101000000.0,14934000.0,254999999.99999997,28.68
sz301289,国缆检测,61.44,20.0,10.24,0.0,52.61,2.08,32.32,661000000.0,25349899.999999996,1557000000.0,79.03
sz301299,卓创资讯,73.8,20.0,12.3,0.0,49.17,2.34,21.89,501999999.99999994,15000000.0,1107000000.0,65.23
sz300380,安硕信息,23.72,19.98,3.95,0.0,14.09,1.44,17.96,407000000.0,125000000.0,2955000000.0,亏损
sz300465,高伟达,11.15,15.54,1.5,-0.09,20.19,8.05,17.82,973000000.0,447000000.0,4981000000.0,118.60
sz300773,拉卡拉,20.59,14.58,2.62,-0.05,9.99,3.3,16.08,1524000000.0,758000000.0,15601000000.0,16.10
sz300394,天孚通信,107.2,13.38,12.65,0.16,7.33,1.52,15.76,2613000000.0,358000000.0,38424000000.0,90.48
sz301067,显盈科技,23.75,12.45,2.63,0.0,15.78,11.69,15.96,166000000.0,45201100.0,1074000000.0,1100.30
sh688159,有方科技,39.01,11.84,4.13,0.18,3.28,2.35,14.48,109000000.00000001,88179700.0,3440000000.0,亏损
sz300675,建科院,18.53,11.22,1.87,0.0,20.8,3.03,19.63,581000000.0,147000000.0,2718000000.0,亏损
sz301208,中亦科技,42.28,10.51,4.02,0.05,27.96,3.88,13.51,415000000.00000006,35443800.0,1499000000.0,39.95
sz300085,银之杰,15.49,10.25,1.44,0.13,20.64,2.06,16.51,1648000000.0,526999999.99999994,8165000000.000001,2240.10
sz000627,天茂集团,3.91,10.14,0.36,0.0,3.49,2.17,10.14,610000000.0,4553000000.0,17800000000.0,106.83
sh603828,柯利达,5.13,10.09,0.47,0.0,15.3,1.09,8.15,459999999.99999994,596000000.0,3057000000.0,127.16
sh603106,恒银科技,6.45,10.07,0.59,0.0,3.72,2.31,10.24,123000000.0,521000000.0,3357000000.0,亏损
