代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
831445,龙竹科技,4.97,29.77,1.14,0.0,3.75,8.23,27.68,16598800.000000002,92456500.0,459999999.99999994,101.11
836675,秉扬科技,5.79,26.42,1.21,0.0,9.94,26.76,20.31,41659300.0,78294500.0,453000000.0,13.21
835174,五新隧装,14.02,25.97,2.89,0.0,14.22,4.99,13.12,102000000.0,51813600.0,726000000.0,8.74
sz300045,华力创通,16.72,20.03,2.79,0.0,35.64,1.61,15.87,2786000000.0,493000000.0,8240000000.000001,亏损
sz300212,易华录,36.47,20.01,6.08,0.0,12.99,2.33,18.0,2813000000.0,641000000.0,23367000000.0,亏损
sz300749,顶固集创,11.28,20.0,1.88,0.0,22.75,5.81,17.87,380000000.0,155000000.0,1750000000.0,54.33
832735,德源药业,29.72,18.12,4.56,0.0,2.16,4.59,15.82,33805500.0,54769200.0,1628000000.0,16.18
sz301236,软通动力,23.74,16.6,3.38,0.0,6.5,2.34,19.4,966000000.0,680000000.0,16151000000.0,55.83
838171,邦德股份,10.43,15.63,1.41,0.0,7.88,13.1,21.95,43333000.0,51900500.0,541000000.0,13.16
sz300050,世纪鼎利,5.8,15.31,0.77,0.52,36.69,8.38,14.31,1122000000.0,545000000.0,3158000000.0,亏损
835670,数字人,10.52,15.1,1.38,0.0,5.92,6.07,15.32,40639200.0,66408400.0,699000000.0,亏损
871478,巨能股份,17.82,14.52,2.26,0.0,21.46,1.97,14.01,72688400.0,19800000.0,353000000.0,40.05
sz300814,中富电路,37.0,13.15,4.3,0.65,56.42,2.15,19.36,1015000000.0,50796000.0,1879000000.0,138.18
sz300137,先河环保,6.5,12.85,0.74,-0.31,15.07,3.61,19.44,480999999.99999994,486000000.00000006,3158000000.0,60.74
838701,豪声电子,7.65,12.83,0.87,0.0,29.06,4.3,15.04,42221899.99999999,19601000.0,150000000.0,21.60
sz300084,海默科技,7.42,12.42,0.82,-0.14,15.13,6.49,19.7,364000000.0,329000000.0,2443000000.0,亏损
sz300339,润和软件,23.16,12.15,2.51,0.04,9.9,2.72,15.88,1687000000.0,773000000.0,17914000000.0,115.76
