代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
sz301509,C金凯,79.2,24.04,15.35,-0.08,67.32,1.23,29.08,984000000.0,20398700.0,1616000000.0,41.89
sz301022,海泰科,32.8,20.02,5.47,0.0,19.87,1.2,20.78,266000000.0,42418100.00000001,1391000000.0,76.97
sz301262,海看股份,36.05,20.01,6.01,0.0,46.29,2.27,21.14,618000000.0,39154200.0,1412000000.0,35.04
sz301281,科源制药,33.0,20.0,5.5,0.0,55.43,2.9,22.51,436000000.00000006,25691200.0,848000000.0,27.84
sz301370,国科恒泰,20.53,19.99,3.42,0.0,56.1,3.42,20.51,723000000.0,66249799.99999999,1360000000.0,91.71
sz300985,致远新能,29.84,19.98,4.97,0.0,24.1,5.69,22.07,246000000.0,36333400.0,1084000000.0,亏损
sz300343,联创股份,9.1,15.48,1.22,0.0,10.18,6.23,19.54,950000000.0,1066000000.0,9703000000.0,276.28
sz300528,幸福蓝海,14.67,11.56,1.52,0.0,20.6,3.11,15.06,1106000000.0,373000000.0,5466000000.0,472.84
sz301231,荣信文化,33.55,10.98,3.32,0.03,37.76,4.35,19.85,270000000.0,21100000.0,708000000.0,207.15
sz300016,北陆药业,7.21,10.75,0.7,0.28,9.43,6.82,9.98,330000000.0,491000000.0,3540999999.9999995,70.51
sz301008,宏昌科技,30.69,10.32,2.87,-0.03,25.39,3.39,12.15,195000000.0,24644000.0,756000000.0,63.89
sh605001,威奥股份,7.54,10.07,0.69,0.0,2.67,0.69,8.61,77931600.0,393000000.0,2962000000.0,亏损
sz002349,精华制药,10.07,10.05,0.92,0.0,8.01,2.45,11.04,631000000.0,811000000.0,8170000000.0,23.38
sz002693,双成药业,7.23,10.05,0.66,0.0,12.42,1.6,11.42,353000000.0,411000000.00000006,2969000000.0,166.96
sh601999,出版传媒,7.67,10.04,0.7,0.0,3.63,2.2,10.9,151000000.0,551000000.0,4226000000.0,亏损
sh603336,宏辉果蔬,6.36,10.04,0.58,0.0,18.68,9.65,6.92,660000000.0,570000000.0,3628000000.0,90.42
sh600160,巨化股份,16.35,10.03,1.49,0.0,1.77,3.35,10.7,754000000.0,2700000000.0,44141000000.0,72.31
sz002907,华森制药,16.25,10.02,1.48,0.0,5.15,3.49,12.66,242000000.0,302000000.0,4911000000.0,56.36
sh605020,永和股份,32.51,10.02,2.96,0.0,5.5,3.77,10.86,303000000.0,174000000.0,5660000000.0,105.46
sh600860,京城股份,13.4,10.02,1.22,0.0,5.87,1.89,13.63,320000000.0,428000000.0,5738000000.0,亏损
sh600851,海欣股份,7.58,10.02,0.69,0.0,7.66,2.38,14.66,401000000.0,738000000.0,5596000000.0,86.23
sh600613,神奇制药,8.46,10.01,0.77,0.0,11.15,1.58,11.7,434000000.0,479000000.0,4054999999.9999995,47.48
sz002750,龙津药业,10.11,10.01,0.92,0.0,3.58,2.74,11.43,140000000.0,398000000.0,4026000000.0,亏损
sz002365,永安药业,10.88,10.01,0.99,0.0,8.3,2.17,8.9,216000000.0,244000000.0,2658000000.0,53.50
sz001223,欧克科技,83.16,10.0,7.56,0.0,10.07,3.04,9.83,136000000.0,16680000.0,1387000000.0,47.06
sh600191,华资实业,7.15,10.0,0.65,0.0,3.71,1.35,11.54,122000000.0,484999999.99999994,3467000000.0,19.52
sz002542,中化岩土,3.08,10.0,0.28,0.0,6.93,4.68,10.36,335000000.0,1590000000.0,4899000000.0,亏损
sz002905,金逸影视,12.54,10.0,1.14,0.0,9.88,3.18,6.67,420000000.0,349000000.0,4382000000.0,57.73
sh603106,恒银科技,7.81,10.0,0.71,0.0,22.09,6.83,7.04,886000000.0,521000000.0,4065000000.0,亏损
sz002902,铭普光磁,27.39,10.0,2.49,0.0,43.45,3.12,11.0,1750000000.0,149000000.0,4095000000.0000005,255.21
