代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
837748,N路信息,15.98,128.29,8.98,0.0,92.97,5464.46,121.57,217000000.0,13436000.0,215000000.0,32.56
sz301498,N乖宝,58.45,46.16,18.46,0.03,75.34,--,51.16,1842000000.0000002,37560100.0,2195000000.0,56.82
sh688592,N司南,64.46,27.64,13.96,0.0,83.72,--,53.31,795000000.0,12737700.0,821000000.0000001,亏损
sz300942,易瑞生物,15.54,20.0,2.59,0.0,20.97,5.89,17.38,346000000.0,109000000.00000001,1697000000.0,亏损
sz301316,慧博云通,34.86,20.0,5.81,0.0,56.93,1.09,22.72,679000000.0,36654700.0,1278000000.0,268.78
sz301487,盟固利,50.9,19.99,8.48,0.0,55.51,0.86,19.99,1441000000.0,54458900.0,2772000000.0,282.49
sz300209,ST有棵树,3.51,17.0,0.51,-0.57,12.86,7.78,21.33,169000000.0,390000000.0,1370000000.0,亏损
sz300844,山水比德,53.41,13.78,6.47,0.02,66.94,1.79,23.14,573000000.0,16760000.0,894999999.9999999,亏损
sz300377,赢时胜,10.0,13.25,1.17,0.0,20.02,2.90,19.48,1329000000.0,668000000.0,6684000000.0,亏损
sz301505,苏州规划,58.8,13.19,6.85,0.0,51.84,1.39,21.23,577000000.0,19715600.0,1159000000.0,331.83
sz301208,中亦科技,48.8,11.67,5.1,0.21,37.82,1.64,22.95,630000000.0,35443800.0,1730000000.0,46.11
sz000982,中银绒业,1.84,10.18,0.17,0.0,5.03,3.84,11.98,387000000.0,4261999999.9999995,7842000000.0,262.82
sz002652,扬子新材,3.25,10.17,0.3,0.0,5.75,0.68,9.49,94412500.0,512000000.0,1662000000.0,亏损
sh600322,天房发展,2.82,10.16,0.26,0.0,17.42,0.93,12.89,519000000.00000006,1106000000.0,3118000000.0,亏损
sz301299,卓创资讯,78.06,10.14,7.19,0.01,63.25,1.60,22.2,720000000.0,15000000.0,1171000000.0,68.99
sh600156,华升股份,5.13,10.09,0.47,0.0,6.12,7.89,11.37,124000000.0,401999999.99999994,2063000000.0,32.50
sh600683,京投发展,7.21,10.08,0.66,0.0,11.37,1.41,10.69,589000000.0,741000000.0,5341000000.0,15.32
sz002451,摩恩电气,8.86,10.06,0.81,0.0,21.13,2.51,14.78,784000000.0,438999999.99999994,3890999999.9999995,342.31
sz000812,陕西金叶,5.92,10.04,0.54,0.0,8.75,1.68,10.97,390000000.0,768000000.0,4548000000.0,49.57
sh603569,长久物流,14.81,10.03,1.35,0.0,6.15,1.68,11.44,491000000.0,560000000.0,8298999999.999999,160.05
sh600367,红星发展,15.58,10.03,1.42,0.0,9.16,5.4,12.64,404000000.0,293000000.0,4569000000.0,亏损
sz002945,华林证券,19.32,10.02,1.76,0.0,4.95,1.97,10.37,2515000000.0,2700000000.0,52164000000.0,207.35
sh600272,开开实业,15.7,10.02,1.43,0.0,35.07,1.64,4.83,868000000.0,160000000.0,2512000000.0,97.37
sz001324,长青科技,28.89,10.02,2.63,0.0,34.15,2.07,4.3,328000000.0,33804600.0,977000000.0,76.73
sz002235,安妮股份,8.47,10.0,0.77,0.0,33.65,1.82,12.47,1471000000.0,548000000.0,4644000000.0,229.51
sz000710,贝瑞基因,11.9,9.98,1.08,0.0,3.35,3.42,10.81,122000000.0,311000000.0,3697999999.9999995,亏损
sh600107,美尔雅,5.96,9.96,0.54,0.0,3.9,3.61,10.89,82370900.0,360000000.0,2146000000.0,亏损
sh600689,上海三毛,11.59,9.96,1.05,0.0,16.04,5.32,8.16,276000000.0,152000000.0,1764000000.0,218.63
sz000514,渝 开 发,5.41,9.96,0.49,0.0,5.93,1.34,10.37,263000000.0,844000000.0,4565000000.0,亏损
sh688767,博拓生物,31.29,9.94,2.83,-0.03,10.97,6.21,15.95,134000000.00000001,39108900.0,1224000000.0,70.12
sz000609,中迪投资,5.87,9.93,0.53,0.0,11.27,1.06,11.24,185000000.0,292000000.0,1714999999.9999998,亏损
sh600159,大龙地产,3.66,9.91,0.33,0.0,13.96,2.46,10.81,412000000.0,830000000.0000001,3038000000.0,88.89
sz002325,洪涛股份,1.79,9.82,0.16,0.0,7.19,2.82,10.43,183000000.0,1434000000.0,2567000000.0,亏损
sh601059,信达证券,21.2,9.39,1.82,-0.38,52.2,1.83,14.45,3481000000.0,324000000.0,6875000000.0,79.61
sz300917,特发服务,32.22,9.26,2.73,0.0,22.53,1.16,12.04,605000000.0,86612500.0,2791000000.0,40.96
sz000006,深振业Ａ,5.87,8.7,0.47,-0.68,16.6,1.74,12.41,1283000000.0,1350000000.0,7923999999.999999,亏损
sz300960,通业科技,25.7,7.89,1.88,-0.7,51.16,2.08,17.46,340000000.0,25600000.0,658000000.0,亏损
sh603879,永悦科技,10.03,7.62,0.71,0.1,7.76,2.85,10.09,275000000.0,359000000.0,3604000000.0,亏损
sh601136,首创证券,28.37,7.46,1.97,0.0,61.88,1.18,15.0,4637000000.0,273000000.0,7754000000.000001,140.97
sh600791,京能置业,5.35,7.21,0.36,0.0,8.75,0.87,8.22,208000000.0,451999999.99999994,2420000000.0,亏损
sz301228,实朴检测,16.94,7.08,1.12,0.0,14.95,4.62,19.09,144000000.0,54865000.0,928999999.9999999,亏损
sz300958,建工修复,19.51,7.08,1.29,0.1,13.45,1.54,12.79,200000000.0,76969300.0,1502000000.0,40.88
sh600376,首开股份,4.99,6.85,0.32,0.2,2.66,2.06,10.71,337000000.0,2580000000.0,12872000000.0,亏损
sz300167,ST迪威迅,3.12,6.85,0.2,-0.32,8.48,3.27,9.59,82198100.0,314000000.0,980000000.0000001,亏损
sz301113,雅艺科技,36.8,6.79,2.34,-0.65,50.11,7.9,13.23,360000000.0,18484500.0,680000000.0,182.67
sh600602,云赛智联,14.65,6.78,0.93,0.07,15.4,2.81,10.42,2398000000.0,1074000000.0,15738999999.999998,120.22
sh603125,常青科技,35.29,6.71,2.22,0.11,30.96,2.83,10.1,499000000.0,47174100.0,1664999999.9999998,31.05
sh600829,人民同泰,8.88,6.6,0.55,0.11,13.63,4.12,7.44,704000000.0,580000000.0,5149000000.0,16.79
sz301329,信音电子,26.9,6.41,1.62,0.0,39.73,1.31,8.98,420000000.0,40782900.0,1097000000.0,60.09
sz300977,深圳瑞捷,20.32,6.39,1.22,0.2,18.53,1.29,10.26,144000000.0,38775900.0,788000000.0,112.01
sz300069,金利华电,13.71,6.28,0.81,0.0,2.62,0.97,9.3,41113300.0,117000000.0,1604000000.0,亏损
