代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
sz300540,蜀道装备,22.92,-9.94,-2.53,-0.04,5.93,1.48,8.96,153000000.0,109000000.00000001,2499000000.0,261.88
sh605168,三人行,69.72,-9.99,-7.74,0.01,3.15,3.4,6.83,324000000.0,146000000.0,10192000000.0,23.59
sh600378,昊华科技,35.89,-10.01,-3.99,0.0,0.58,1.01,7.42,191000000.0,903999999.9999999,32443000000.0,35.90
sh603388,元成股份,9.25,-10.02,-1.03,0.0,3.65,3.22,11.19,114999999.99999999,326000000.0,3013000000.0,195.84
sz301372,C科净源,75.17,-10.99,-9.28,-0.01,55.19,0.77,9.47,702000000.0,16257900.0,1222000000.0,亏损
sh688037,芯源微,129.2,-11.7,-17.12,0.0,5.08,4.46,15.95,927000000.0,137000000.0,17758000000.0,67.29
sh688223,晶科能源,10.42,-11.99,-1.42,-0.29,6.72,5.29,12.59,1410000000.0,1960000000.0000002,20423000000.0,13.56
sh688699,明微电子,38.82,-12.01,-5.3,0.0,8.09,7.71,14.69,168000000.0,52387299.99999999,2034000000.0,亏损
sh688662,富信科技,34.79,-13.37,-5.37,0.0,15.33,3.32,14.89,299000000.0,54230000.0,1887000000.0,亏损
sz300904,C威力,81.42,-13.66,-12.88,-0.1,60.67,0.81,13.13,880000000.0000001,17162100.0,1397000000.0,364.00
sz301487,C盟固利,42.42,-14.2,-7.02,0.0,48.55,0.71,13.23,1197000000.0,54458900.0,2310000000.0,235.43
sh600010,包钢股份,1.84,0.0,0.0,0.55,0.77,1.35,2.72,446000000.0,31497000000.000004,57954999999.99999,71.83
sh600064,南京高科,6.65,0.0,0.0,0.0,0.6,0.83,1.65,68592600.0,1730000000.0,11507000000.0,4.49
sh600075,新疆天业,4.77,0.0,0.0,0.0,0.41,0.91,1.26,25024800.0,1269000000.0,6052000000.0,亏损
sh600101,明星电力,8.71,0.0,0.0,0.0,1.09,1.12,1.49,39942300.0,421000000.0,3671000000.0,18.06
sh600106,重庆路桥,4.81,0.0,0.0,0.0,0.57,1.45,1.46,36634700.0,1329000000.0,6393000000.0,48.48
sh600120,浙江东方,4.12,0.0,0.0,0.24,0.58,0.85,2.19,81316800.0,3415000000.0,14071000000.0,16.52
sh600125,铁龙物流,6.03,0.0,0.0,0.17,0.64,0.83,1.49,50575000.0,1306000000.0,7872000000.0,11.44
sh600155,华创云信,7.78,0.0,0.0,-0.38,3.86,0.62,3.86,671000000.0,2261000000.0,17594000000.0,32.63
sh600168,武汉控股,6.36,0.0,0.0,0.16,0.33,0.91,1.42,14799900.0,710000000.0,4513000000.0,亏损
sh600169,太原重工,2.49,0.0,0.0,-0.4,0.5,0.85,1.61,32138800.0,2564000000.0,6384000000.0,58.31
sh600219,南山铝业,3.15,0.0,0.0,-0.32,0.26,0.81,1.27,96257600.0,11709000000.0,36882000000.0,17.77
sh600232,金鹰股份,5.58,0.0,0.0,0.0,0.55,1.02,1.79,11123400.0,365000000.0,2035000000.0000002,60.72
sh600249,两面针,5.29,0.0,0.0,-0.19,1.08,0.75,1.51,31356000.0,550000000.0,2909000000.0,158.46
sh600297,广汇汽车,2.08,0.0,0.0,0.0,0.93,0.72,1.44,156000000.0,8111000000.0,16872000000.0,7.96
sh600300,维维股份,3.15,0.0,0.0,0.0,0.75,0.98,1.59,37926600.0,1617000000.0000002,5094000000.0,35.33
sh600327,大东方,4.64,0.0,0.0,0.22,0.52,0.77,1.08,21141200.0,885000000.0,4104999999.9999995,39.86
sh600372,中航电子,14.96,0.0,0.0,0.0,0.34,0.89,1.8,227000000.0,4485000000.0,67096000000.0,85.86
sh600397,安源煤业,3.07,0.0,0.0,0.0,1.1,0.84,1.95,33391300.0,990000000.0,3039000000.0,13.36
sh600408,安泰集团,2.42,0.0,0.0,0.42,0.49,0.63,2.48,11803300.0,1007000000.0,2436000000.0,亏损
sh600426,华鲁恒升,32.0,0.0,0.0,0.0,0.47,1.34,3.56,318000000.0,2112000000.0,67579999999.99999,21.73
sh600517,国网英大,5.32,0.0,0.0,-0.19,0.29,0.49,1.88,86689900.0,5718000000.0,30422000000.000004,20.15
sh600569,安阳钢铁,2.25,0.0,0.0,0.0,0.61,0.69,1.78,39150500.0,2872000000.0,6463000000.0,亏损
sh600609,金杯汽车,4.95,0.0,0.0,0.0,0.99,0.35,3.64,64169000.0,1311000000.0,6490000000.000001,28.34
sh600626,申达股份,3.61,0.0,0.0,-0.28,0.62,1.0,1.66,18945100.0,852000000.0,3077000000.0,亏损
sh600651,飞乐音响,3.68,0.0,0.0,0.0,0.55,0.65,1.36,24931300.0,1242000000.0,4569000000.0,亏损
sh600676,交运股份,4.34,0.0,0.0,0.23,0.34,0.68,1.15,15142400.0,1027999999.9999999,4464000000.0,亏损
sh600679,上海凤凰,8.64,0.0,0.0,0.23,0.54,1.23,2.08,13944800.0,299000000.0,2587000000.0,73.46
sh600704,物产中大,4.93,0.0,0.0,-0.2,0.35,0.69,1.22,87772700.0,5115000000.0,25216000000.0,6.61
sh600721,百花医药,7.18,0.0,0.0,0.14,0.69,0.46,1.81,18614000.0,378000000.0,2716000000.0,101.53
sh600739,辽宁成大,14.13,0.0,0.0,0.0,0.27,0.59,1.56,57704700.0,1530000000.0,21615000000.0,17.80
sh600740,山西焦化,5.12,0.0,0.0,0.0,0.22,0.59,1.17,28677900.0,2562000000.0,13118000000.0,4.30
sh600758,辽宁能源,4.48,0.0,0.0,-0.22,0.7,0.8,2.01,41798000.0,1321000000.0,5917000000.0,5.16
sh600868,梅雁吉祥,2.78,0.0,0.0,-0.36,0.75,0.93,1.08,39410200.0,1898000000.0,5277000000.0,159.19
sh600874,创业环保,5.94,0.0,0.0,0.17,0.48,1.0,1.51,34756500.0,1230000000.0,7309000000.0,11.21
sh600879,航天电子,7.41,0.0,0.0,-0.14,0.76,0.92,1.89,154000000.0,2719000000.0,20150000000.0,33.58
sh600905,三峡能源,5.19,0.0,0.0,0.0,0.49,1.0,0.77,343000000.0,13572999999.999998,70444000000.0,15.26
sh600925,苏能股份,5.87,0.0,0.0,0.0,1.03,0.78,0.68,41520500.0,689000000.0,4044000000.0,11.75
sh600938,中国海油,18.66,0.0,0.0,0.0,0.63,0.62,1.07,333000000.0,2842000000.0,53029000000.0,6.91
sh600941,中国移动,99.59,0.0,0.0,0.12,1.13,0.95,1.53,850000000.0,759000000.0,75551000000.0,13.97
sh600980,北矿科技,15.15,0.0,0.0,-0.07,0.98,1.07,2.11,23082900.0,156000000.0,2363000000.0,31.38
sh600982,宁波能源,4.45,0.0,0.0,0.0,0.71,0.87,2.02,34938100.0,1107000000.0,4927000000.0,124.32
sh600997,开滦股份,6.21,0.0,0.0,0.32,0.36,0.99,2.25,35166900.0,1588000000.0,9860000000.0,6.29
sh601008,连云港,4.43,0.0,0.0,0.45,0.57,0.77,1.81,31015700.0,1241000000.0,5496000000.0,41.05
sh601038,一拖股份,11.27,0.0,0.0,0.0,0.33,0.88,1.95,22332800.000000004,594000000.0,6693000000.000001,6.52
sh601101,昊华能源,5.9,0.0,0.0,0.0,0.56,1.1,1.36,47579799.99999999,1440000000.0,8495999999.999999,4.94
sh601212,白银有色,2.9,0.0,0.0,0.0,0.3,0.67,1.72,64106400.0,7405000000.0,21474000000.0,亏损
sh601330,绿色动力,7.27,0.0,0.0,-0.14,0.27,0.94,1.1,19629300.0,989000000.0,7191000000.0,14.85
sh601368,绿城水务,5.36,0.0,0.0,0.0,0.35,0.67,1.68,16680400.0,883000000.0,4733000000.0,66.50
sh601375,中原证券,4.51,0.0,0.0,0.22,5.77,0.83,3.55,884000000.0,3447999999.9999995,15547999999.999998,74.26
sh601399,国机重装,3.17,0.0,0.0,0.32,0.18,0.74,1.58,40048900.0,7214000000.0,22867000000.0,70.27
sh601669,中国电建,5.78,0.0,0.0,0.17,0.39,0.73,1.9,292000000.0,13072000000.0,75553000000.0,8.24
sh601828,美凯龙,4.96,0.0,0.0,0.0,0.25,0.67,1.41,45351200.0,3613000000.0000005,17923000000.0,37.02
sh601857,中国石油,7.84,0.0,0.0,0.13,0.04,0.69,1.4,488999999.99999994,161922000000.0,1269469000000.0,8.22
sh601868,中国能建,2.37,0.00,0.00,-0.42,0.87,0.81,1.69,294000000.0,14222999999.999998,33707000000.0,21.83
sh601899,紫金矿业,12.32,0.00,0.00,0.16,0.33,0.69,2.19,836000000.0,20525000000.0,252871999999.99997,14.90
sh601992,金隅集团,2.34,0.00,0.00,0.00,0.34,0.85,1.71,65585900.0,8334000000.0,19502000000.0,亏损
sh601996,丰林集团,2.55,0.00,0.00,0.39,0.54,1.05,1.57,15714500.0,1146000000.0,2921000000.0,亏损
sh603058,永吉股份,8.83,0.00,0.00,-0.11,0.65,1.08,1.93,23886600.0,416000000.0,3677000000.0000005,30.00
sh603128,华贸物流,9.20,0.00,0.00,0.11,0.28,1.03,3.15,34012900.0,1309000000.0,12047000000.0,13.63
sh603223,恒通股份,13.54,0.00,0.00,0.52,0.33,1.26,2.51,24221100.0,553000000.0,7490000000.000001,84.82
sh603270,金帝股份,--,--,--,--,--,--,--,,,,--
sh603275,众辰科技,--,--,--,--,--,--,--,,,,--
