代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
sz301456,N盘古,50.48,32.98,12.52,0.0,68.41,--,26.42,1249000000.0,34593600.0,1746000000.0,64.50
873576,天力复合,18.9,20.08,3.16,0.0,23.58,1.91,24.65,125000000.0,29817199.999999996,564000000.0,27.64
832225,利通科技,12.21,20.06,2.04,0.0,8.4,5.13,14.45,59360500.0,57639399.99999999,704000000.0,12.39
sz301379,天山电子,36.11,20.01,6.02,0.0,53.39,5.44,20.61,454000000.0,25340000.0,915000000.0,34.70
sz301132,满坤科技,39.35,20.01,6.56,0.0,51.98,2.67,20.4,712000000.0,36870000.0,1451000000.0,59.72
sh688292,浩瀚深度,33.96,20.0,5.66,0.0,27.74,5.05,19.36,325000000.0,36133200.0,1227000000.0,亏损
sz301323,新莱福,55.76,19.99,9.29,0.0,65.7,2.64,21.84,805000000.0000001,23385200.0,1304000000.0,51.74
sh688590,新致软件,25.69,19.99,4.28,0.0,10.19,1.61,18.96,397000000.0,161000000.0,4135000000.0,210.80
sz301218,华是科技,33.74,19.99,5.62,0.0,44.96,5.65,16.5,772000000.0,56040500.0,1891000000.0,亏损
sz300659,中孚信息,24.08,19.98,4.01,0.0,12.9,10.07,18.34,468000000.0,154000000.0,3704000000.0,亏损
sz300097,智云股份,7.81,19.97,1.3,0.0,13.21,13.49,21.5,266000000.0,270000000.0,2109000000.0,亏损
sz300231,银信科技,10.82,19.96,1.8,0.0,17.54,4.96,10.42,633000000.0,342000000.0,3704999999.9999995,53.79
sz300368,汇金股份,7.7,19.94,1.28,0.0,10.02,11.01,17.91,387000000.0,519000000.00000006,3996000000.0,359.56
sz300814,中富电路,32.88,15.09,4.31,-0.36,63.13,5.05,17.78,974000000.0,50796000.0,1670000000.0,99.20
sz300378,鼎捷软件,34.25,13.75,4.14,-0.12,17.56,1.87,17.47,1553000000.0,268000000.00000003,9170000000.0,亏损
430418,苏轴股份,17.6,12.1,1.9,0.0,4.86,1.30,17.13,41649900.0,51142500.0,900000000.0,19.67
872808,曙光数创,60.66,12.0,6.5,0.0,10.89,1.93,12.39,438999999.99999994,68686300.0,4167000000.0,49.08
sh688233,神工股份,38.33,11.46,3.94,-0.05,5.87,4.11,12.79,352000000.0,160000000.0,6133000000.0,亏损
sz300419,浩丰科技,6.92,11.43,0.71,0.0,12.7,9.09,14.81,315000000.0,368000000.0,2545000000.0,亏损
sz301419,阿莱德,49.03,11.28,4.97,0.06,41.11,2.35,19.77,475000000.0,23709500.0,1162000000.0,119.53
sz300606,金太阳,23.75,11.19,2.39,0.21,23.89,3.12,21.54,652000000.0,118000000.0,2793000000.0,2053.62
sz301107,瑜欣电子,37.42,11.04,3.72,-0.11,35.12,1.67,17.83,276000000.0,21559899.999999996,807000000.0,42.92
sz300731,科创新源,21.75,10.91,2.14,0.14,7.79,4.33,12.65,194000000.0,120000000.0,2613000000.0,亏损
sz301106,骏成科技,41.22,10.66,3.97,0.07,20.48,7.54,14.31,173000000.0,20846700.0,859000000.0,64.58
sz301213,观想科技,45.8,10.26,4.26,0.04,23.11,5.09,13.53,299000000.0,28756400.0,1317000000.0,641.50
sh600050,中国联通,5.12,10.11,0.47,0.0,2.47,5.23,9.89,3804000000.0,30966000000.000004,158544000000.0,17.97
sz000609,中迪投资,5.13,10.09,0.47,0.0,7.22,2.02,12.45,104000000.0,292000000.0,1498000000.0,亏损
sh600707,彩虹股份,6.67,10.07,0.61,0.0,3.37,1.19,4.62,797000000.0,3588000000.0000005,23930000000.0,亏损
sz002355,兴民智通,5.91,10.06,0.54,0.0,14.98,1.09,13.22,529000000.0,618000000.0,3653000000.0,361.38
sz002527,新时达,12.38,10.04,1.13,0.0,26.32,1.03,13.07,1660000000.0000002,525000000.0,6505000000.0,15.81
sh600280,中央商场,2.85,10.04,0.26,0.0,3.96,4.04,9.27,122000000.0,1128000000.0,3215999999.9999995,亏损
sh603699,纽威股份,15.79,10.04,1.44,0.0,3.53,4.01,10.38,407000000.0,749000000.0,11828000000.0,30.13
sz002513,蓝丰生化,7.35,10.03,0.67,0.0,18.42,2.99,11.53,405999999.99999994,315000000.0,2312000000.0,亏损
sz000004,国华网安,19.1,10.02,1.74,0.0,2.54,0.12,--,57651400.0,119000000.0,2271000000.0,亏损
sz002154,报 喜 鸟,6.37,10.02,0.58,0.0,5.71,2.91,6.04,389000000.0,1083000000.0,6897000000.0,9.09
sz002777,久远银海,33.94,10.02,3.09,0.0,7.15,2.06,9.82,933000000.0,399000000.0,13535000000.0,206.81
sh600487,亨通光电,15.82,10.01,1.44,0.0,8.96,6.82,5.77,3438000000.0000005,2467000000.0,39024000000.0,24.70
sh601567,三星医疗,16.04,10.01,1.46,0.0,3.48,1.43,10.90,756000000.0,1395000000.0,22374000000.0,21.02
sz002912,中新赛克,48.68,10.01,4.43,0.0,4.78,1.55,9.90,369000000.0,162000000.0,7897000000.0,35.20
sz002199,东晶电子,11.21,10.01,1.02,0.0,9.63,0.77,7.07,256000000.0,243000000.00000003,2729000000.0,亏损
sh601138,工业富联,27.26,10.01,2.48,0.0,1.05,1.64,7.30,5475000000.0,19805000000.0,539892000000.0,43.28
sh603000,人民网,34.08,10.01,3.1,0.0,7.17,1.08,6.52,2632000000.0,1106000000.0,37682000000.0,342.57
sh605289,罗曼股份,44.97,10.01,4.09,0.0,8.5,1.57,11.60,187000000.0,50610000.0,2276000000.0,97.71
sh603619,中曼石油,20.46,10.0,1.86,0.0,7.28,5.06,9.57,584000000.0,400000000.0,8184000000.0,9.63
sh603496,恒为科技,20.57,10.0,1.87,0.0,9.93,1.46,9.09,646000000.0,320000000.0,6587000000.0,93.97
