代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
870204,沪江材料,8.39,25.98,1.73,0.0,23.72,46.2,28.53,46181000.0,24399100.0,204999999.99999997,21.42
sz300827,上能电气,42.0,16.5,5.95,0.02,17.38,2.83,15.67,1857000000.0,259000000.0,10860000000.0,102.35
sz300254,仟源医药,8.47,14.77,1.09,-0.12,21.94,4.53,20.87,403000000.0,224000000.00000003,1898000000.0,亏损
sz300282,*ST三盛,3.51,14.71,0.45,-0.28,9.56,1.48,18.95,118000000.0,374000000.0,1314000000.0,亏损
sh688663,新风光,36.24,14.0,4.45,0.11,13.68,5.09,17.33,413999999.99999994,86420400.00000001,3132000000.0,61.54
sz300693,盛弘股份,41.85,13.35,4.93,0.12,13.59,3.79,14.33,1391000000.0,248000000.0,10359000000.0,51.68
sz300340,科恒股份,14.29,11.9,1.52,0.0,16.49,4.03,17.54,438999999.99999994,187000000.0,2674000000.0,亏损
sz301311,昆船智能,32.84,11.4,3.36,0.03,55.1,1.62,14.45,1025000000.0,60000000.0,1970000000.0,307.03
sh688506,百利天恒-U,80.17,10.79,7.81,0.38,5.98,3.38,15.17,157000000.0,33063300.0,2651000000.0,亏损
sz301255,通力科技,50.3,10.67,4.85,0.0,54.55,1.02,15.40,725000000.0,27200000.0,1368000000.0,78.68
sh688032,禾迈股份,392.82,10.61,37.67,0.21,6.48,2.85,15.62,1057000000.0,41478300.0,16294000000.0,46.41
sh688676,金盘科技,33.5,10.6,3.21,0.0,5.9,3.48,11.29,378000000.0,192000000.0,6431999999.999999,41.03
sz000980,众泰汽车,2.71,10.16,0.25,0.0,4.42,1.08,10.16,501999999.99999994,4286999999.9999995,11619000000.0,亏损
sz000859,国风新材,5.45,10.1,0.5,0.0,2.53,5.32,9.29,121000000.0,896000000.0000001,4882000000.0,126.59
sz002356,赫美集团,4.8,10.09,0.44,0.0,2.11,3.46,9.17,127000000.0,1310000000.0,6290000000.0,422.07
sz002256,兆新股份,2.4,10.09,0.22,0.0,4.04,3.91,10.09,133000000.0,1396000000.0,3350000000.0,亏损
sz002037,保利联合,9.74,10.06,0.89,0.0,2.33,1.93,--,110000000.00000001,484000000.0,4713000000.0,亏损
sz000928,中钢国际,10.62,10.05,0.97,0.0,5.85,1.94,9.64,777000000.0,1291000000.0,13712000000.0,16.48
