代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
sh688631,N莱斯,33.46,32.36,8.18,0.12,70.24,--,20.93,834000000.0,33543100.0,1122000000.0,亏损
871478,巨能股份,26.3,22.61,4.85,0.0,34.44,1.13,24.71,160000000.0,19800000.0,521000000.0,57.54
sz301295,N美硕,44.92,20.11,7.52,0.0,70.4,--,19.68,553000000.0,17070600.0,767000000.0,66.69
sz300467,迅游科技,20.56,20.02,3.43,0.0,24.23,2.14,22.77,738000000.0,163000000.0,3343000000.0,84.60
sz300549,优德精密,23.3,19.98,3.88,0.0,17.18,1.64,24.2,371000000.0,101000000.0,2355000000.0,104.47
837663,明阳科技,13.25,17.88,2.01,0.0,35.06,7.58,17.7,59367200.0,12971900.0,172000000.0,13.64
sz301255,通力科技,42.96,16.71,6.15,0.0,57.02,1.10,27.87,584000000.0,27200000.0,1169000000.0,67.20
sz301229,纽泰格,32.94,15.18,4.34,-0.09,28.79,5.17,19.58,322000000.0,34113700.0,1124000000.0,45.08
sz300315,掌趣科技,8.02,13.12,0.93,0.0,25.29,1.61,15.09,5021000000.0,2607000000.0,20904000000.0,69.86
sz301353,普莱得,38.0,12.06,4.09,0.0,35.49,3.77,17.25,250000000.0,19000000.0,722000000.0,47.11
sz301183,东田微,80.0,11.13,8.01,0.0,35.28,1.23,23.61,1080000000.0,40088000.0,3207000000.0,亏损
sh688071,华依科技,62.0,11.01,6.15,0.0,8.31,0.95,16.62,177000000.0,36119600.0,2239000000.0,109.45
sz300095,华伍股份,9.7,10.23,0.9,0.0,9.8,9.50,12.5,309000000.0,333000000.0,3233000000.0,24.08
sh600792,云煤能源,3.38,10.1,0.31,0.0,2.11,4.76,10.75,69361700.0,990000000.0,3346000000.0,亏损
sh601015,陕西黑猫,4.58,10.1,0.42,0.0,2.32,5.41,10.34,214000000.0,2042000000.0000002,9355000000.0,41.77
