代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
sh688646,N逸飞,56.5,20.73,9.7,0.0,81.62,--,29.91,803999999.9999999,17889300.0,1011000000.0,154.93
sz300169,天晟新材,5.63,20.04,0.94,0.0,15.52,1.98,21.54,243000000.00000003,302000000.0,1698999999.9999998,亏损
sz301315,威士顿,65.8,20.01,10.97,0.0,48.88,1.26,21.54,616000000.0,20863900.0,1373000000.0,163.47
sh688318,财富趋势,126.48,20.0,21.08,0.0,13.03,2.20,21.22,948000000.0,62925800.0,7959000000.0,73.56
sz301056,森赫股份,11.76,20.0,1.96,0.0,35.56,3.83,19.8,270000000.0,66696700.0,784000000.0,74.48
sz300803,指南针,58.28,19.99,9.71,0.0,8.27,4.20,20.09,1820000000.0,403000000.0,23516000000.0,103.69
sz300740,水羊股份,18.97,19.99,3.16,0.0,15.78,9.17,8.66,1027999999.9999999,357000000.0,6765000000.000001,25.93
830799,艾融软件,8.64,17.23,1.27,0.0,4.77,14.64,19.54,47092000.0,117000000.0,1015000000.0,68.90
sz300033,同花顺,192.1,16.76,27.57,0.06,7.71,2.45,19.44,3796000000.0,272000000.0,52164000000.0,211.22
sz300380,安硕信息,20.18,15.51,2.71,-0.3,11.43,11.37,21.01,279000000.0,125000000.0,2514000000.0,亏损
837592,华信永道,11.9,13.44,1.41,0.0,43.9,3.70,19.16,76616500.0,14934000.0,178000000.0,19.96
sz300375,鹏翎股份,5.26,12.88,0.6,0.19,39.47,13.79,16.74,1024000000.0,505000000.0,2657000000.0,51.81
sz300085,银之杰,12.71,11.88,1.35,-0.08,9.92,4.00,14.88,644000000.0,526999999.99999994,6698999999.999999,1838.07
sz301276,嘉曼服饰,29.98,11.78,3.16,0.0,53.3,2.71,21.18,442000000.0,27000000.0,809000000.0,12.56
sz301499,维科精密,45.59,11.2,4.59,0.51,76.67,1.25,26.1,1082000000.0,32781800.0,1495000000.0,161.06
sz300368,汇金股份,8.39,10.69,0.81,-0.12,19.33,1.56,18.07,816000000.0,519000000.00000006,4354000000.0,391.78
sz300588,熙菱信息,12.16,10.55,1.16,-0.33,15.62,3.80,13.09,265000000.0,144000000.0,1757000000.0,亏损
sz300304,云意电气,6.14,10.23,0.57,0.0,12.24,2.88,17.95,631000000.0,851000000.0,5228000000.0,16.80
sh601162,天风证券,3.58,10.15,0.33,0.0,8.07,1.82,10.46,2400000000.0,8666000000.0,31023000000.0,14.17
sh600067,冠城大通,3.26,10.13,0.3,0.0,5.82,3.74,9.46,259000000.0,1392000000.0,4537000000.0,亏损
sz002377,国创高新,3.37,10.13,0.31,0.0,6.63,1.34,5.88,200999999.99999997,916000000.0,3087000000.0,亏损
sh601375,中原证券,4.35,10.13,0.4,0.0,7.96,6.04,10.63,1162000000.0,3447999999.9999995,14997000000.0,71.62
sz002671,龙泉股份,5.56,10.1,0.51,0.0,29.71,10.74,11.09,738000000.0,459000000.0,2552000000.0,亏损
sz000609,中迪投资,5.9,10.07,0.54,0.0,16.93,1.47,9.14,284000000.0,292000000.0,1723000000.0,亏损
sz002488,金固股份,7.88,10.06,0.72,0.0,9.11,4.64,12.99,633000000.0,911000000.0,7180000000.0,亏损
sh600266,城建发展,6.79,10.05,0.62,0.0,5.05,1.02,11.02,740000000.0,2257000000.0,15322000000.0,61.20
sh603716,塞力医疗,10.52,10.04,0.96,0.0,9.43,7.7,10.15,194000000.0,200999999.99999997,2118000000.0,亏损
sh603378,亚士创能,10.85,10.04,0.99,0.0,4.97,0.94,11.05,220000000.00000003,429000000.0,4650000000.0,亏损
sh601059,信达证券,16.34,10.03,1.49,0.0,27.39,2.34,9.97,1411000000.0,324000000.0,5299000000.0,61.36
sz002762,金发拉比,10.53,10.03,0.96,0.0,14.0,1.27,9.2,291000000.0,200999999.99999997,2118000000.0,171.84
sz001322,箭牌家居,18.87,10.03,1.72,0.0,18.1,1.57,9.74,320000000.0,96609500.0,1823000000.0,1471.06
sz000572,海马汽车,5.16,10.02,0.47,0.0,11.05,6.88,12.15,899000000.0,1642000000.0000002,8473999999.999999,亏损
sz300059,东方财富,16.14,10.02,1.47,0.0,7.9,3.19,12.2,16512000000.0,13306000000.0,214765000000.0,31.54
sz000700,模塑科技,6.59,10.02,0.6,0.0,7.34,2.43,10.52,430000000.0,918000000.0,6050000000.0,22.69
sh603132,金徽股份,13.29,10.02,1.21,0.0,11.12,17.45,10.35,233000000.0,160000000.0,2121000000.0,78.83
sh603116,红蜻蜓,6.7,10.02,0.61,0.0,1.42,0.98,10.84,53503400.0,576000000.0,3861000000.0,45.62
sh601881,中国银河,14.17,10.02,1.29,0.0,4.08,2.31,10.33,3729000000.0,6656000000.0,94317000000.0,16.30
sh601519,大智慧,7.8,10.01,0.71,0.0,6.82,2.81,10.86,1033000000.0,2004000000.0,15630000000.000002,12.92
sz002961,瑞达期货,16.37,10.01,1.49,0.0,2.15,4.6,10.21,153000000.0,445000000.0,7284999999.999999,33.29
sh600381,青海春天,8.9,10.01,0.81,0.0,4.82,3.83,10.51,245000000.00000003,587000000.0,5225000000.0,亏损
sh601555,东吴证券,9.13,10.0,0.83,0.0,6.41,2.51,10.24,2846000000.0,5008000000.0,45718000000.0,19.60
sz000010,美丽生态,2.86,10.0,0.26,0.0,10.0,0.59,12.31,147000000.0,522000000.0,1493000000.0,亏损
sh600446,金证股份,13.97,10.0,1.27,0.0,8.48,2.84,10.71,1081000000.0,941000000.0,13143000000.0,亏损
sh601127,赛力斯,42.24,10.0,3.84,0.0,5.38,1.47,11.56,3310000000.0,1507000000.0,63671000000.0,亏损
sz000861,海印股份,2.31,10.0,0.21,0.0,8.12,2.66,10.48,426999999.99999994,2368000000.0,5471000000.0,亏损
sh603383,顶点软件,63.94,9.99,5.81,0.0,3.96,3.09,10.92,418000000.0,169000000.0,10797000000.0,123.64
sh601136,首创证券,17.72,9.99,1.61,0.0,37.46,1.41,8.94,1744000000.0000002,273000000.0,4843000000.0,68.84
sh600030,中信证券,23.67,9.99,2.15,0.0,3.88,3.92,10.27,10176000000.0,11367000000.0,269048999999.99997,16.19
sh688443,智翔金泰-U,32.6,9.99,2.96,0.0,10.06,3.21,11.4,258000000.0,82767099.99999999,2698000000.0,亏损
sz000850,华茂股份,4.19,9.97,0.38,0.0,4.07,7.02,10.76,157000000.0,943000000.0,3953000000.0,20.28
