日期,概念名称,净流入
2023-09-06,国产芯片,89亿
2023-09-06,半导体概念,84亿
2023-09-06,中芯概念,46亿
2023-09-06,宁组合,27亿
2023-09-06,5G概念,26亿
2023-09-06,光刻胶,24亿
2023-09-06,苹果概念,23亿
2023-09-06,OLED,22亿
2023-09-06,百元股,22亿
2023-09-06,第三代半导体,21亿
2023-09-06,华为概念,21亿
2023-09-06,华为汽车,17亿
2023-09-06,LED,16亿
2023-09-06,新能源车,15亿
2023-09-06,CPO概念,14亿
2023-09-06,科创板做市股,14亿
2023-09-06,无人机,14亿
2023-09-06,IGBT概念,14亿
2023-09-06,算力概念,13亿
2023-09-06,边缘计算,12亿
2023-09-06,氮化镓,12亿
2023-09-06,固态电池,12亿
2023-09-06,汽车芯片,12亿
2023-09-06,Chiplet概念,11亿
2023-09-06,存储芯片,11亿
2023-09-06,蚂蚁概念,11亿
2023-09-06,AI芯片,10亿
2023-09-06,租售同权,10亿
2023-09-06,虚拟现实,9亿
2023-09-06,无线充电,9亿
2023-09-06,华为欧拉,9亿
2023-09-06,减速器,9亿
2023-09-06,东数西算,8亿
2023-09-06,工业母机,8亿
2023-09-06,蓝宝石,7亿
2023-09-06,混合现实,7亿
2023-09-06,养老概念,7亿
2023-09-06,地摊经济,7亿
2023-09-06,EDA概念,7亿
2023-09-06,汽车热管理,7亿
2023-09-06,汽车一体化压铸,6亿
2023-09-06,华为昇腾,6亿
2023-09-06,增强现实,6亿
2023-09-06,被动元件,6亿
2023-09-06,鸿蒙概念,6亿
2023-09-06,湖北自贸,6亿
2023-09-06,工程机械概念,6亿
2023-09-06,物联网,5亿
2023-09-06,纾困概念,5亿
2023-09-06,激光雷达,5亿
2023-09-06,移动支付,5亿
2023-09-06,3D摄像头,5亿
2023-09-06,基金重仓,5亿
2023-09-06,光通信模块,5亿
2023-09-06,电子车牌,5亿
2023-09-06,大飞机,4亿
2023-09-06,WiFi,4亿
2023-09-06,航天概念,4亿
2023-09-06,PVDF概念,4亿
2023-09-06,机器人执行器,3亿
2023-09-06,PCB,3亿
2023-09-06,3D打印,3亿
2023-09-06,氟化工,3亿
2023-09-06,沪企改革,3亿
2023-09-06,刀片电池,3亿
2023-09-06,北斗导航,2亿
2023-09-06,IPv6,2亿
2023-09-06,毫米波概念,2亿
2023-09-06,REITs概念,2亿
2023-09-06,碳化硅,2亿
2023-09-06,国家安防,2亿
2023-09-06,免税概念,2亿
2023-09-06,eSIM,2亿
2023-09-06,麒麟电池,2亿
2023-09-06,茅指数,2亿
2023-09-06,上海自贸,1亿
2023-09-06,送转预期,1亿
2023-09-06,液冷概念,1亿
2023-09-06,数据中心,1亿
2023-09-06,有机硅,1亿
2023-09-06,工业气体,1亿
2023-09-06,特斯拉,1亿
2023-09-06,复合集流体,1亿
2023-09-06,化工原料,1亿
2023-09-06,PLC概念,1亿
2023-09-06,EDR概念,1亿
2023-09-06,VPN,1亿
2023-09-06,网络安全,1亿
2023-09-06,养老金,1亿
2023-09-06,数据确权,1亿
2023-09-06,MLCC,1亿
2023-09-06,空间站概念,1亿
2023-09-06,人造肉,1亿
2023-09-06,上证380,1亿
2023-09-06,3D玻璃,1亿
2023-09-06,全息技术,1亿
2023-09-06,环氧丙烷,1亿
2023-09-06,国资云概念,9950万
2023-09-06,同步磁阻电机,9741万
2023-09-06,钒电池,8771万
2023-09-06,尾气治理,8688万
2023-09-06,人造太阳,7957万
2023-09-06,冷链物流,7581万
2023-09-06,社保重仓,7298万
2023-09-06,天基互联,7243万
2023-09-06,在线旅游,6745万
2023-09-06,京津冀,6452万
2023-09-06,体外诊断,5984万
2023-09-06,第四代半导体,4795万
2023-09-06,空气能热泵,4428万
2023-09-06,阿兹海默,4275万
2023-09-06,中超概念,3809万
2023-09-06,富士康,3803万
2023-09-06,基因测序,3245万
2023-09-06,充电桩,3215万
2023-09-06,代糖概念,3134万
2023-09-06,气溶胶检测,2905万
2023-09-06,培育钻石,2898万
2023-09-06,高压快充,1712万
2023-09-06,智能电视,1645万
2023-09-06,胎压监测,1509万
2023-09-06,石墨烯,1013万
2023-09-06,生态农业,268万
2023-09-06,稀土永磁,164万
