日期,概念名称,净流入
2023-07-04,混合现实,27亿
2023-07-04,华为汽车,23亿
2023-07-04,无线充电,18亿
2023-07-04,钠离子电池,16亿
2023-07-04,3D摄像头,15亿
2023-07-04,屏下摄像,13亿
2023-07-04,AI芯片,12亿
2023-07-04,IGBT概念,10亿
2023-07-04,超级电容,10亿
2023-07-04,电子纸概念,9亿
2023-07-04,电子烟,8亿
2023-07-04,存储芯片,6亿
2023-07-04,油价相关,6亿
2023-07-04,富士康,5亿
2023-07-04,MicroLED,4亿
2023-07-04,MiniLED,4亿
2023-07-04,AB股,3亿
2023-07-04,智能电视,3亿
2023-07-04,传感器,3亿
2023-07-04,汽车一体化压铸,3亿
2023-07-04,3D玻璃,3亿
2023-07-04,气溶胶检测,3亿
2023-07-04,裸眼3D,2亿
2023-07-04,GDR,2亿
2023-07-04,跨境支付,2亿
2023-07-04,白酒,2亿
2023-07-04,麒麟电池,2亿
2023-07-04,电子后视镜,1亿
2023-07-04,全息技术,1亿
2023-07-04,时空大数据,1亿
2023-07-04,空间站概念,1亿
2023-07-04,刀片电池,1亿
2023-07-04,举牌,1亿
2023-07-04,超级真菌,1亿
2023-07-04,EDA概念,1亿
2023-07-04,在线旅游,1亿
2023-07-04,赛马概念,9389万
2023-07-04,同步磁阻电机,8429万
2023-07-04,轮毂电机,8068万
2023-07-04,单抗概念,5394万
2023-07-04,发电机概念,3631万
2023-07-04,高压快充,2805万
2023-07-04,中芯概念,2238万
2023-07-04,氮化镓,665万
