日期,概念名称,净流入
2023-07-05,混合现实,30亿
2023-07-05,小金属概念,26亿
2023-07-05,华为汽车,18亿
2023-07-05,稀土永磁,16亿
2023-07-05,3D摄像头,15亿
2023-07-05,电子烟,15亿
2023-07-05,存储芯片,12亿
2023-07-05,无线充电,12亿
2023-07-05,稀缺资源,11亿
2023-07-05,电子纸概念,10亿
2023-07-05,AI芯片,10亿
2023-07-05,IGBT概念,8亿
2023-07-05,屏下摄像,8亿
2023-07-05,钠离子电池,7亿
2023-07-05,超级电容,7亿
2023-07-05,MiniLED,6亿
2023-07-05,传感器,6亿
2023-07-05,基本金属,6亿
2023-07-05,油价相关,5亿
2023-07-05,气溶胶检测,4亿
2023-07-05,3D玻璃,4亿
2023-07-05,MicroLED,4亿
2023-07-05,eSIM,4亿
2023-07-05,全息技术,3亿
2023-07-05,裸眼3D,3亿
2023-07-05,智能电视,3亿
2023-07-05,GDR,3亿
2023-07-05,汽车芯片,3亿
2023-07-05,富士康,3亿
2023-07-05,单抗概念,3亿
2023-07-05,跨境支付,2亿
2023-07-05,超级真菌,2亿
2023-07-05,在线旅游,1亿
2023-07-05,EDA概念,1亿
2023-07-05,汽车一体化压铸,1亿
2023-07-05,钛白粉,1亿
2023-07-05,空间站概念,9906万
2023-07-05,赛马概念,9748万
2023-07-05,时空大数据,8004万
2023-07-05,ETC,7974万
2023-07-05,毫米波概念,7155万
2023-07-05,举牌,6600万
2023-07-05,麒麟电池,5752万
2023-07-05,高压快充,5203万
2023-07-05,电子后视镜,4224万
2023-07-05,苹果概念,3237万
2023-07-05,拼多多概念,2931万
2023-07-05,低碳冶金,2674万
2023-07-05,广电,1736万
2023-07-05,中超概念,1167万
2023-07-05,蓝宝石,1127万
2023-07-05,第四代半导体,36万
