日期,概念名称,净流入
2023-07-06,混合现实,24亿
2023-07-06,华为汽车,19亿
2023-07-06,电子纸概念,17亿
2023-07-06,AI芯片,16亿
2023-07-06,移动支付,16亿
2023-07-06,存储芯片,15亿
2023-07-06,MiniLED,11亿
2023-07-06,MicroLED,9亿
2023-07-06,华为欧拉,9亿
2023-07-06,3D摄像头,9亿
2023-07-06,屏下摄像,8亿
2023-07-06,3D玻璃,8亿
2023-07-06,气溶胶检测,8亿
2023-07-06,油价相关,7亿
2023-07-06,IGBT概念,7亿
2023-07-06,汽车芯片,7亿
2023-07-06,全息技术,6亿
2023-07-06,裸眼3D,6亿
2023-07-06,AB股,6亿
2023-07-06,钠离子电池,5亿
2023-07-06,电子烟,5亿
2023-07-06,华为昇腾,4亿
2023-07-06,富士康,4亿
2023-07-06,WiFi,4亿
2023-07-06,PCB,4亿
2023-07-06,超级电容,3亿
2023-07-06,eSIM,3亿
2023-07-06,智能电视,3亿
2023-07-06,传感器,3亿
2023-07-06,蓝宝石,3亿
2023-07-06,GDR,3亿
2023-07-06,时空大数据,2亿
2023-07-06,基本金属,1亿
2023-07-06,LED,1亿
2023-07-06,纾困概念,1亿
2023-07-06,高压快充,1亿
2023-07-06,空间站概念,1亿
2023-07-06,在线旅游,1亿
2023-07-06,电子后视镜,1亿
2023-07-06,稀缺资源,9961万
2023-07-06,跨境支付,8589万
2023-07-06,钛白粉,6772万
2023-07-06,刀片电池,6589万
2023-07-06,赛马概念,5919万
2023-07-06,小米概念,5697万
2023-07-06,医疗美容,5323万
2023-07-06,ETC,3168万
2023-07-06,EDA概念,1616万
2023-07-06,粮食概念,1285万
2023-07-06,中超概念,1097万
