日期,概念名称,净流入
2023-08-03,券商概念,143亿
2023-08-03,互联金融,105亿
2023-08-03,参股期货,69亿
2023-08-03,科创板做市商,53亿
2023-08-03,CRO,15亿
2023-08-03,CAR-T细胞疗法,10亿
2023-08-03,宁组合,9亿
2023-08-03,网红直播,8亿
2023-08-03,蚂蚁概念,5亿
2023-08-03,GDR,4亿
2023-08-03,基因测序,4亿
2023-08-03,精准医疗,4亿
2023-08-03,区块链,3亿
2023-08-03,京东金融,3亿
2023-08-03,华为汽车,1亿
2023-08-03,磁悬浮概念,1亿
2023-08-03,独角兽,9188万
2023-08-03,HIT电池,6929万
2023-08-03,同步磁阻电机,6736万
2023-08-03,复合集流体,4971万
2023-08-03,屏下摄像,3592万
2023-08-03,深证100R,3578万
2023-08-03,富士康,3382万
2023-08-03,氦气概念,3337万
2023-08-03,超级电容,1094万
