日期,概念名称,净流入
2023-07-13,茅指数,49亿
2023-07-13,宁组合,22亿
2023-07-13,白酒,19亿
2023-07-13,百元股,12亿
2023-07-13,深证100R,7亿
2023-07-13,麒麟电池,7亿
2023-07-13,气溶胶检测,5亿
2023-07-13,科创板做市商,5亿
2023-07-13,券商概念,5亿
2023-07-13,电子纸概念,4亿
2023-07-13,超级品牌,4亿
2023-07-13,屏下摄像,3亿
2023-07-13,裸眼3D,3亿
2023-07-13,HIT电池,3亿
2023-07-13,光伏建筑一体化,3亿
2023-07-13,电子烟,2亿
2023-07-13,基金重仓,2亿
2023-07-13,水产养殖,2亿
2023-07-13,盲盒经济,2亿
2023-07-13,快递概念,1亿
2023-07-13,地塞米松,1亿
2023-07-13,转基因,1亿
2023-07-13,PVDF概念,1亿
2023-07-13,MicroLED,1亿
2023-07-13,混合现实,7971万
2023-07-13,钠离子电池,7784万
2023-07-13,血氧仪,6976万
2023-07-13,免税概念,3284万
2023-07-13,超级真菌,3114万
2023-07-13,存储芯片,1582万
2023-07-13,送转预期,720万
2023-07-13,京东金融,100万
