日期,概念名称,净流入
2023-07-03,证金持股,53亿
2023-07-03,破净股,38亿
2023-07-03,混合现实,23亿
2023-07-03,AH股,16亿
2023-07-03,钠离子电池,16亿
2023-07-03,电子烟,15亿
2023-07-03,无线充电,15亿
2023-07-03,3D摄像头,15亿
2023-07-03,跨境支付,12亿
2023-07-03,屏下摄像,12亿
2023-07-03,茅指数,12亿
2023-07-03,中字头,10亿
2023-07-03,超级电容,10亿
2023-07-03,油价相关,8亿
2023-07-03,参股券商,7亿
2023-07-03,电子纸概念,6亿
2023-07-03,AI芯片,5亿
2023-07-03,光伏建筑一体化,5亿
2023-07-03,装配建筑,4亿
2023-07-03,工程机械概念,4亿
2023-07-03,华为汽车,4亿
2023-07-03,在线旅游,4亿
2023-07-03,超级品牌,3亿
2023-07-03,GDR,3亿
2023-07-03,万达概念,3亿
2023-07-03,气溶胶检测,3亿
2023-07-03,上证50_,3亿
2023-07-03,汽车一体化压铸,2亿
2023-07-03,裸眼3D,2亿
2023-07-03,富士康,2亿
2023-07-03,新零售,2亿
2023-07-03,租售同权,2亿
2023-07-03,麒麟电池,1亿
2023-07-03,举牌,1亿
2023-07-03,低碳冶金,1亿
2023-07-03,白酒,1亿
2023-07-03,赛马概念,1亿
2023-07-03,乳业,1亿
2023-07-03,化工原料,1亿
2023-07-03,EDA概念,1亿
2023-07-03,全息技术,1亿
2023-07-03,啤酒概念,9733万
2023-07-03,AB股,8977万
2023-07-03,消毒剂,7803万
2023-07-03,深证100R,7467万
2023-07-03,3D玻璃,6210万
2023-07-03,同步磁阻电机,5148万
2023-07-03,血氧仪,5122万
2023-07-03,PVDF概念,5073万
2023-07-03,MicroLED,5038万
2023-07-03,页岩气,4825万
2023-07-03,草甘膦,4715万
2023-07-03,中超概念,4145万
2023-07-03,调味品概念,3950万
2023-07-03,6G概念,3456万
2023-07-03,磁悬浮概念,3110万
2023-07-03,湖北自贸,2670万
2023-07-03,第四代半导体,1137万
2023-07-03,水利建设,1011万
2023-07-03,东北振兴,463万
2023-07-03,代糖概念,157万
