日期,概念名称,净流入
2023-08-04,算力概念,18亿
2023-08-04,CRO,14亿
2023-08-04,IPv6,13亿
2023-08-04,数据安全,7亿
2023-08-04,CPO概念,7亿
2023-08-04,CAR-T细胞疗法,7亿
2023-08-04,eSIM,6亿
2023-08-04,减速器,6亿
2023-08-04,大数据,5亿
2023-08-04,云计算,5亿
2023-08-04,区块链,4亿
2023-08-04,数据确权,4亿
2023-08-04,字节概念,4亿
2023-08-04,知识产权,4亿
2023-08-04,WiFi,4亿
2023-08-04,基因测序,3亿
2023-08-04,富士康,3亿
2023-08-04,5G概念,3亿
2023-08-04,F5G概念,2亿
2023-08-04,数字货币,2亿
2023-08-04,精准医疗,1亿
2023-08-04,光通信模块,1亿
2023-08-04,同步磁阻电机,1亿
2023-08-04,RCS概念,1亿
2023-08-04,复合集流体,1亿
2023-08-04,彩票概念,9904万
2023-08-04,智能电视,8290万
2023-08-04,体育产业,7059万
2023-08-04,屏下摄像,6521万
2023-08-04,科创板做市商,5624万
2023-08-04,液冷概念,2691万
2023-08-04,电子车牌,2338万
2023-08-04,尾气治理,1940万
2023-08-04,数字经济,1226万
2023-08-04,氦气概念,858万
2023-08-04,PVDF概念,834万
