日期,概念名称,净流入
2023-09-04,宁组合,20亿
2023-09-04,中芯概念,19亿
2023-09-04,科创板做市股,9亿
2023-09-04,华为汽车,8亿
2023-09-04,固态电池,6亿
2023-09-04,减速器,6亿
2023-09-04,3D摄像头,5亿
2023-09-04,光刻胶,4亿
2023-09-04,无线充电,4亿
2023-09-04,工程机械概念,3亿
2023-09-04,租售同权,3亿
2023-09-04,地摊经济,3亿
2023-09-04,PVDF概念,3亿
2023-09-04,汽车一体化压铸,3亿
2023-09-04,机器人执行器,2亿
2023-09-04,麒麟电池,2亿
2023-09-04,人造肉,2亿
2023-09-04,Chiplet概念,2亿
2023-09-04,送转预期,1亿
2023-09-04,蚂蚁概念,1亿
2023-09-04,空气能热泵,1亿
2023-09-04,CAR-T细胞疗法,1亿
2023-09-04,氟化工,1亿
2023-09-04,混合现实,1亿
2023-09-04,鸿蒙概念,1亿
2023-09-04,华为昇腾,1亿
2023-09-04,CRO,1亿
2023-09-04,茅指数,1亿
2023-09-04,阿兹海默,1亿
2023-09-04,汽车热管理,1亿
2023-09-04,刀片电池,8786万
2023-09-04,环氧丙烷,8330万
2023-09-04,有机硅,6774万
2023-09-04,同步磁阻电机,6004万
2023-09-04,代糖概念,5530万
2023-09-04,免税概念,5087万
2023-09-04,在线旅游,1927万
2023-09-04,PLC概念,686万
2023-09-04,复合集流体,669万
2023-09-04,北交所概念,339万
