,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),公司家数,领涨股,涨跌幅.1,当前价(元)
0,证券,1417.1,3.73%,399.92,339.66,60.26,50,方正证券,10.06%,7.88
1,医疗服务,16535.9,2.68%,53.06,36.63,16.43,51,金凯生科,28.22%,72.52
2,食品加工制造,5134.26,2.62%,36.61,27.91,8.7,82,品渥食品,20.00%,30.96
3,医药商业,4757.05,2.17%,13.68,9.13,4.54,31,健之佳,10.00%,59.19
4,房地产服务,3446.07,2.11%,7.08,6.56,0.52,8,珠江股份,9.30%,4.35
5,保险及其他,1885.28,1.86%,63.16,49.33,13.83,38,新力金融,9.96%,8.06
6,生物制品,5876.75,1.79%,21.91,17.86,4.06,55,双成药业,9.95%,6.74
7,化学制药,4776.18,1.61%,59.61,51.47,8.13,154,赛托生物,15.39%,34.27
8,房地产开发,1873.36,1.59%,150.35,131.71,18.64,98,荣盛发展,10.14%,3.04
9,中药,3537.23,1.54%,34.41,23.54,10.87,74,精华制药,6.37%,9.52
10,银行,967.4169999999999,1.26%,73.29,56.24,17.05,84,兰州银行,4.26%,3.18
11,饮料制造,4745.76,1.18%,69.96,63.24,6.72,47,欢乐家,3.68%,14.92
12,养殖业,2679.92,0.98%,13.35,12.47,0.88,27,大湖股份,4.44%,6.58
13,农产品加工,3971.08,0.98%,9.75,8.79,0.96,41,金新农,4.04%,7.22
14,医疗器械,10132.8,0.42%,25.51,26.97,-1.46,125,华大智造,4.39%,92.0
15,电力,1583.88,0.38%,42.78,38.27,4.5,95,天富能源,4.06%,7.18
16,酒店及餐饮,2088.66,0.38%,7.41,8.68,-1.27,9,西安饮食,2.57%,14.75
17,农业服务,7370.98,0.36%,1.3,1.02,0.28,16,中牧股份,1.82%,12.29
18,零售,1674.22,0.31%,46.58,59.28,-12.69,71,云南城投,9.97%,3.53
19,汽车服务,1080.49,0.28%,3.53,4.12,-0.59,11,*ST中期,5.02%,4.81
20,电力设备,4757.42,0.21%,235.65,205.95,29.69,361,未来电器,15.73%,31.93
21,非金属材料,14359.0,0.14%,2.43,2.41,0.02,12,中触媒,2.37%,22.07
22,种植业与林业,3716.67,0.08%,5.79,6.01,-0.21,24,雪榕生物,1.85%,7.69
23,美容护理,4733.54,-0.05%,9.9,10.84,-0.95,32,水羊股份,3.62%,22.02
24,计算机应用,10472.0,-0.05%,160.54,175.2,-14.66,257,指南针,10.51%,62.99
25,公路铁路运输,1079.1,-0.06%,4.87,5.57,-0.7,33,湖南投资,1.12%,5.41
26,煤炭开采加工,2130.13,-0.07%,9.48,11.85,-2.36,35,中煤能源,1.47%,8.3
27,景点及旅游,2870.45,-0.11%,3.11,4.8,-1.69,21,曲江文旅,0.82%,17.23
28,包装印刷,3067.72,-0.11%,22.33,24.22,-1.88,48,鸿博股份,3.27%,37.6
29,钢铁,1498.76,-0.11%,19.77,22.86,-3.09,46,重庆钢铁,1.71%,1.78
