,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),公司家数,领涨股,涨跌幅.1,当前价(元)
0,环保,3290.41,1.78%,46.21,41.98,4.23,145,国泰环保,20.01%,47.86
1,燃气,1274.0,1.46%,7.81,6.54,1.27,29,美能能源,9.98%,20.06
2,港口航运,931.294,1.23%,21.37,17.06,4.31,36,海通发展,10.03%,20.63
3,非汽车交运,2269.95,1.03%,15.92,19.28,-3.36,46,高铁电气,20.02%,10.37
4,银行,940.8380000000001,0.62%,64.43,45.93,18.5,84,常熟银行,2.23%,7.33
5,油气开采及服务,1121.44,0.30%,9.03,9.1,-0.07,20,首华燃气,3.42%,13.61
6,公路铁路运输,1066.72,0.25%,7.16,9.08,-1.92,33,中铁特货,10.11%,4.9
7,物流,4584.28,0.22%,13.37,13.97,-0.6,47,炬申股份,10.02%,17.46
8,石油加工贸易,2872.81,-0.33%,8.17,8.7,-0.53,28,东华能源,2.64%,10.49
9,通用设备,4712.13,-0.40%,38.1,46.6,-8.5,175,哈焊华通,19.99%,21.67
10,专用设备,4398.59,-0.43%,36.34,40.54,-4.2,202,威马农机,155.93%,75.5
11,化工合成材料,3854.61,-0.46%,11.17,14.68,-3.52,107,上纬新材,3.82%,8.16
12,小家电,3166.22,-0.51%,3.54,3.78,-0.24,26,彩虹集团,10.02%,21.96
13,电子化学品,29224.7,-0.52%,11.95,12.94,-0.99,35,广钢气体,7.32%,12.75
14,汽车零部件,3781.37,-0.60%,62.7,71.51,-8.82,227,浙江世宝,10.01%,17.48
15,电力设备,4507.18,-0.60%,162.6,184.62,-22.02,361,信宇人,37.17%,57.2
16,仪器仪表,3920.56,-0.67%,7.1,8.11,-1.01,52,埃科光电,3.92%,64.17
17,国防军工,1622.66,-0.76%,66.43,74.2,-7.77,140,长城军工,5.60%,14.7
18,建筑材料,4303.92,-0.77%,15.58,18.58,-3.0,76,中铁装配,4.25%,15.44
19,美容护理,4630.38,-0.78%,9.2,12.18,-2.97,32,*ST美谷,4.92%,4.05
20,化学制品,5209.71,-0.79%,29.35,40.28,-10.93,221,松井股份,9.39%,54.03
21,钢铁,1413.33,-0.86%,10.73,12.17,-1.44,46,宝地矿业,1.06%,7.65
22,煤炭开采加工,2041.77,-0.86%,10.31,12.03,-1.72,35,平煤股份,1.98%,7.73
23,化学原料,2525.5,-0.89%,7.13,9.86,-2.73,58,江盐集团,2.70%,12.93
24,电力,1505.48,-0.91%,22.0,27.72,-5.72,95,*ST惠天,2.30%,2.67
25,半导体及元件,6721.49,-0.95%,87.25,102.3,-15.05,198,锴威特,109.41%,85.5
26,建筑装饰,3295.01,-1.00%,42.04,58.04,-16.0,155,美丽生态,10.11%,3.16
27,纺织制造,1792.59,-1.08%,3.6,4.36,-0.76,35,彩蝶实业,3.01%,20.9
28,自动化设备,15058.9,-1.10%,37.11,48.73,-11.62,91,新时达,9.98%,13.67
29,家用轻工,3103.51,-1.15%,10.99,12.97,-1.98,108,公牛集团,6.57%,107.6
30,非金属材料,13896.6,-1.17%,1.86,2.2,-0.34,12,中触媒,1.65%,21.61
31,其他电子,8316.22,-1.19%,5.94,7.81,-1.87,37,海洋王,9.99%,8.15
32,综合,2125.48,-1.28%,4.71,6.84,-2.13,28,ST富润,5.02%,3.14
33,金属新材料,7614.47,-1.30%,4.62,5.46,-0.83,27,中科磁业,2.45%,70.28
34,白色家电,4469.42,-1.34%,10.31,14.95,-4.64,35,星帅尔,2.19%,13.07
35,汽车服务,1012.14,-1.35%,1.69,3.11,-1.42,11,*ST中期,0.92%,4.41
36,光学光电子,2984.9,-1.37%,17.27,27.85,-10.58,106,民爆光电,3.73%,51.1
37,其他社会服务,14793.0,-1.38%,5.57,6.2,-0.63,66,西高院,3.10%,17.95
38,贸易,2400.06,-1.39%,3.02,3.71,-0.69,16,中信金属,1.60%,8.91
39,农业服务,7012.29,-1.41%,0.61,1.03,-0.42,16,大禹节水,0.20%,5.04
40,教育,4385.56,-1.44%,3.1,4.95,-1.85,19,ST开元,1.69%,5.41
41,机场航运,2072.89,-1.46%,5.95,9.34,-3.39,13,春秋航空,-0.23%,59.39
42,消费电子,5638.62,-1.49%,28.66,43.12,-14.46,99,光峰科技,8.01%,21.98
43,养殖业,2534.96,-1.52%,6.12,8.65,-2.52,27,*ST正邦,1.96%,3.12
44,包装印刷,2987.56,-1.53%,15.53,19.68,-4.15,48,宏裕包材,9.62%,8.77
45,工业金属,2252.84,-1.57%,15.51,21.92,-6.4,60,鼎胜新材,1.43%,17.03
46,种植业与林业,3563.32,-1.60%,3.21,5.54,-2.33,24,华绿生物,1.67%,22.57
47,服装家纺,2320.56,-1.62%,6.74,11.19,-4.45,61,*ST柏龙,5.00%,1.89
48,保险及其他,1774.04,-1.64%,31.36,37.24,-5.87,38,中国人寿,2.53%,36.11
49,农产品加工,3767.92,-1.70%,8.28,14.94,-6.66,41,播恩集团,1.19%,16.99
0,造纸,1830.33,-1.78%,6.75,8.25,-1.49,24,安妮股份,1.21%,8.39
1,贵金属,1929.7,-1.79%,3.56,5.73,-2.17,11,中润资源,-0.23%,4.31
2,汽车整车,2328.08,-1.80%,25.4,40.97,-15.57,25,众泰汽车,1.25%,4.06
3,黑色家电,2952.19,-1.81%,1.65,3.0,-1.35,10,ST同洲,0.51%,1.96
4,食品加工制造,4782.56,-1.94%,13.8,23.69,-9.89,82,劲仔食品,2.47%,11.61
5,医疗器械,9729.24,-2.00%,21.78,30.45,-8.68,126,昊海生科,5.99%,98.1
6,小金属,3987.49,-2.04%,17.79,30.09,-12.31,42,云南锗业,3.12%,13.87
7,生物制品,5544.57,-2.05%,9.75,17.16,-7.41,55,百奥泰,3.66%,26.9
8,饮料制造,4557.22,-2.07%,48.71,73.54,-24.83,47,皇台酒业,10.02%,18.89
9,厨卫电器,5676.43,-2.10%,0.54,1.16,-0.63,9,帅丰电器,-0.61%,16.22
10,计算机设备,2543.58,-2.19%,33.53,52.55,-19.02,80,中润光学,4.14%,32.46
11,互联网电商,6371.4,-2.26%,6.16,9.06,-2.9,21,跨境通,1.28%,3.95
12,通信设备,3825.14,-2.34%,62.92,84.02,-21.1,87,美利信,2.36%,33.79
13,景点及旅游,2764.74,-2.37%,3.3,7.47,-4.17,21,*ST凯撒,5.06%,4.57
14,房地产开发,1737.04,-2.42%,54.25,74.11,-19.86,96,天房发展,2.98%,3.11
15,计算机应用,10249.1,-2.43%,149.63,212.57,-62.95,257,凌志软件,9.44%,15.76
16,零售,1562.21,-2.54%,25.85,40.81,-14.96,71,小商品城,3.32%,8.71
17,证券,1387.17,-2.79%,172.8,217.03,-44.23,50,中金公司,1.24%,40.83
18,化学制药,4607.17,-2.92%,29.62,54.78,-25.15,155,亚虹医药,1.23%,10.74
19,通信服务,1966.29,-2.96%,23.23,39.56,-16.33,47,*ST新海,2.54%,1.21
20,传媒,2302.97,-3.08%,83.59,136.53,-52.94,133,ST九有,4.79%,2.19
21,医疗服务,15628.9,-3.08%,19.17,27.82,-8.65,51,南模生物,0.98%,39.17
22,房地产服务,3072.61,-3.10%,1.96,3.14,-1.18,8,中天服务,-1.40%,6.32
23,酒店及餐饮,1929.67,-3.49%,2.34,5.82,-3.48,9,锦江酒店,-1.57%,45.23
24,中药,3490.16,-3.61%,27.47,54.44,-26.97,73,*ST太安,5.04%,2.92
