,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),公司家数,领涨股,涨跌幅.1,当前价(元)
0,种植业与林业,3769.52,2.39%,21.77,14.72,7.05,24,神农科技,11.17%,4.18
1,传媒,2499.04,2.19%,189.72,173.76,15.97,133,幸福蓝海,19.98%,13.15
2,金属新材料,8203.62,2.02%,12.02,8.69,3.33,27,中科磁业,20.00%,81.0
3,证券,1460.21,1.39%,322.14,319.05,3.09,50,国盛金控,10.02%,11.31
4,农产品加工,3993.33,0.95%,17.08,15.0,2.08,41,宏辉果蔬,10.10%,5.78
5,养殖业,2670.56,0.93%,11.19,11.84,-0.64,27,*ST天山,6.32%,5.55
6,计算机应用,10871.8,0.82%,234.91,249.57,-14.66,257,华是科技,20.01%,38.32
7,通信服务,2053.69,0.82%,29.77,38.57,-8.8,47,世纪恒通,20.00%,46.8
8,计算机设备,2711.93,0.60%,75.6,86.66,-11.06,80,恒银科技,10.08%,7.1
9,非汽车交运,2280.61,0.58%,7.31,7.63,-0.32,46,雷尔伟,12.65%,25.02
10,贵金属,2045.38,0.56%,9.7,7.52,2.18,11,晓程科技,1.83%,10.01
11,消费电子,5940.97,0.52%,55.89,52.24,3.65,99,利通电子,10.00%,22.55
12,工业金属,2385.5,0.38%,29.66,28.83,0.83,60,创新新材,10.04%,6.25
13,景点及旅游,2866.77,0.30%,3.75,3.76,-0.0,21,*ST西域,2.33%,25.08
14,通信设备,4140.23,0.20%,137.59,157.87,-20.28,88,太辰光,11.56%,45.66
15,其他社会服务,15175.5,0.04%,5.75,7.23,-1.48,66,国缆检测,20.00%,73.73
16,小金属,4317.98,0.03%,32.22,34.81,-2.59,42,东方钽业,7.51%,13.89
17,其他电子,8807.66,-0.03%,11.05,13.23,-2.18,36,杰美特,2.64%,20.2
18,黑色家电,3144.07,-0.07%,3.38,4.04,-0.66,10,海信视像,1.75%,22.11
19,油气开采及服务,1137.06,-0.11%,6.36,9.5,-3.14,20,通源石油,1.44%,4.92
20,小家电,3210.65,-0.12%,3.62,4.1,-0.48,26,莱克电气,3.29%,27.93
21,教育,4581.84,-0.14%,3.37,5.17,-1.8,19,ST开元,1.29%,5.5
22,通用设备,4789.88,-0.20%,25.13,30.32,-5.19,174,开勒股份,6.07%,45.45
23,光学光电子,3173.47,-0.23%,31.16,37.68,-6.52,106,奥比中光,4.96%,39.15
24,白色家电,4648.56,-0.26%,12.37,15.68,-3.31,34,康盛股份,2.53%,3.24
25,国防军工,1640.18,-0.28%,42.65,54.72,-12.07,139,国光电气,7.12%,91.9
26,包装印刷,3046.97,-0.28%,13.96,18.01,-4.05,48,盛通股份,9.97%,7.94
27,半导体及元件,7283.15,-0.28%,110.69,119.38,-8.7,196,中富电路,6.28%,32.0
28,自动化设备,15712.3,-0.31%,33.1,38.55,-5.45,91,赛腾股份,10.01%,39.35
29,电力,1570.32,-0.32%,31.62,35.21,-3.59,95,新筑股份,10.06%,5.25
30,互联网电商,6569.85,-0.32%,5.45,7.58,-2.13,22,盛讯达,3.23%,21.08
31,汽车零部件,3915.11,-0.38%,61.91,74.71,-12.8,227,建邦科技,13.87%,10.43
32,汽车整车,2572.24,-0.42%,38.96,41.88,-2.91,25,宇通客车,1.84%,13.85
33,电力设备,4745.65,-0.49%,148.85,182.49,-33.65,361,金利华电,12.77%,15.72
34,专用设备,4513.9,-0.52%,26.62,36.2,-9.58,202,凯格精机,6.73%,45.05
35,机场航运,2122.08,-0.53%,4.39,7.46,-3.06,13,吉祥航空,0.76%,17.14
36,石油加工贸易,2914.63,-0.55%,9.09,8.72,0.38,28,中国石化,1.32%,6.13
37,仪器仪表,4074.66,-0.56%,6.22,7.67,-1.45,52,海能技术,1.63%,12.45
38,环保,3270.52,-0.59%,17.98,22.99,-5.01,145,久吾高科,6.04%,34.25
39,化学制品,5342.34,-0.61%,33.95,45.18,-11.23,222,长华化学,18.96%,38.58
40,非金属材料,14204.3,-0.64%,1.14,2.26,-1.13,12,联瑞新材,0.48%,43.5
41,化工合成材料,3932.26,-0.65%,19.91,27.22,-7.31,107,华西股份,10.03%,11.96
42,电子化学品,30881.2,-0.66%,5.87,8.41,-2.54,34,德邦科技,3.66%,58.61
43,综合,2188.25,-0.68%,3.95,6.57,-2.62,28,*ST园城,3.79%,12.58
44,服装家纺,2325.96,-0.73%,6.43,8.66,-2.22,62,ST贵人,3.91%,1.86
45,燃气,1262.15,-0.74%,1.62,2.49,-0.87,29,深圳燃气,1.24%,7.38
46,煤炭开采加工,2098.5,-0.75%,8.07,11.77,-3.7,35,华电能源,0.78%,2.57
47,汽车服务,1068.18,-0.75%,2.62,3.58,-0.96,11,申华控股,0.96%,2.1
48,物流,4543.26,-0.76%,6.33,10.21,-3.88,47,ST万林,2.69%,3.44
49,农业服务,7253.46,-0.78%,1.08,1.48,-0.41,16,大禹节水,1.17%,5.19
0,造纸,1868.47,-0.79%,6.79,6.65,0.14,24,安妮股份,10.03%,7.13
1,纺织制造,1783.39,-0.84%,2.97,3.58,-0.61,34,金春股份,2.24%,17.79
2,化学原料,2592.09,-0.86%,6.81,11.92,-5.11,58,中毅达,10.04%,12.06
3,酒店及餐饮,2052.42,-0.87%,3.35,5.1,-1.75,9,西安旅游,0.52%,17.43
4,食品加工制造,5001.96,-0.92%,22.61,29.2,-6.59,82,金字火腿,6.43%,5.13
5,贸易,2462.38,-0.94%,3.31,3.76,-0.45,16,中信金属,1.53%,9.29
6,公路铁路运输,1057.54,-0.95%,4.2,5.88,-1.68,33,重庆路桥,0.21%,4.81
7,港口航运,919.9830000000001,-0.98%,5.13,8.42,-3.3,36,唐山港,0.29%,3.51
8,建筑材料,4417.11,-1.05%,17.71,24.37,-6.66,76,华立股份,4.12%,11.62
9,厨卫电器,5965.04,-1.07%,1.13,1.7,-0.57,9,日出东方,0.00%,6.24
10,家用轻工,3137.45,-1.08%,10.85,13.82,-2.98,108,海鸥住工,10.09%,5.13
11,美容护理,4639.88,-1.18%,8.65,12.13,-3.48,32,名臣健康,2.36%,36.9
12,银行,961.432,-1.21%,36.67,52.71,-16.04,84,成都银行,0.07%,13.86
13,零售,1636.54,-1.22%,31.97,39.54,-7.57,71,*ST全新,5.04%,5.0
14,钢铁,1467.63,-1.31%,12.18,19.32,-7.14,46,盛德鑫泰,1.77%,36.16
15,饮料制造,4672.44,-1.33%,58.33,77.4,-19.07,47,*ST西发,5.01%,6.71
16,建筑装饰,3373.16,-1.79%,42.49,66.78,-24.29,155,*ST天沃,5.03%,3.13
17,保险及其他,1893.05,-1.98%,50.35,62.51,-12.17,38,渤海租赁,2.98%,2.76
18,医药商业,4612.31,-2.15%,5.87,10.6,-4.73,31,益丰药房,-0.03%,39.58
19,中药,3460.32,-2.33%,28.15,45.16,-17.01,73,东阿阿胶,4.24%,52.33
20,医疗服务,15825.0,-2.39%,30.8,36.02,-5.22,51,美迪西,0.02%,92.29
21,医疗器械,9798.62,-2.57%,44.34,54.59,-10.25,126,宝莱特,4.50%,12.08
22,化学制药,4592.6,-2.85%,59.84,87.64,-27.79,154,圣诺生物,0.93%,23.99
23,房地产服务,3348.45,-2.93%,4.74,5.9,-1.17,8,珠江股份,0.66%,4.6
24,房地产开发,1795.28,-3.39%,79.31,121.94,-42.63,97,*ST新联,1.18%,1.71
25,生物制品,5615.75,-3.55%,20.42,36.1,-15.69,55,义翘神州,0.62%,89.4
