,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),公司家数,领涨股,涨跌幅.1,当前价(元)
0,煤炭开采加工,2058.63,1.46%,33.69,19.36,14.33,35,陕西黑猫,10.07%,4.48
1,环保,3350.55,1.15%,61.12,61.38,-0.27,145,中电环保,20.08%,6.16
2,养殖业,2524.98,0.65%,15.67,15.39,0.28,27,国联水产,11.03%,5.94
3,其他社会服务,14931.1,0.51%,7.58,9.75,-2.17,66,实朴检测,20.02%,21.22
4,医药商业,4707.03,0.20%,14.71,17.99,-3.28,31,药易购,13.85%,37.65
5,银行,936.672,-0.12%,48.5,43.0,5.5,84,兰州银行,2.60%,3.16
6,化学原料,2485.84,-0.46%,18.09,19.74,-1.66,58,江盐集团,10.03%,15.69
7,油气开采及服务,1105.43,-0.55%,7.12,6.33,0.79,20,ST洲际,3.03%,2.72
8,种植业与林业,3468.16,-0.62%,3.74,3.64,0.11,24,新赛股份,3.54%,5.26
9,物流,4421.96,-0.82%,10.45,14.39,-3.94,47,炬申股份,10.01%,17.58
10,农产品加工,3686.63,-0.83%,7.86,10.9,-3.05,41,百洋股份,10.00%,7.04
11,中药,3396.77,-0.90%,18.9,23.42,-4.52,73,龙津药业,10.01%,10.33
12,传媒,2345.7,-0.97%,127.08,144.99,-17.92,133,卓创资讯,11.30%,93.65
13,汽车服务,999.127,-0.98%,2.95,3.45,-0.5,11,阿尔特,5.32%,18.01
14,零售,1533.22,-1.04%,15.79,21.22,-5.44,71,上海九百,10.01%,7.8
15,石油加工贸易,2817.42,-1.04%,8.03,7.73,0.3,28,恒逸石化,2.06%,7.45
16,白色家电,4407.12,-1.13%,9.94,12.84,-2.9,36,盾安环境,1.37%,12.56
17,公路铁路运输,1048.85,-1.13%,5.73,7.36,-1.63,33,山东高速,1.33%,6.86
18,燃气,1260.43,-1.25%,4.46,5.38,-0.91,29,洪通燃气,1.83%,10.59
19,通信服务,2034.41,-1.26%,46.93,53.49,-6.55,47,中贝通信,6.79%,22.32
20,汽车零部件,3712.15,-1.29%,57.21,60.78,-3.56,228,兴民智通,9.98%,6.94
21,农业服务,6845.67,-1.32%,0.58,1.0,-0.41,16,金河生物,0.64%,4.7
22,酒店及餐饮,1892.44,-1.33%,3.49,3.53,-0.03,9,华天酒店,3.25%,4.77
23,钢铁,1380.1,-1.35%,9.59,11.95,-2.36,46,南钢股份,0.28%,3.63
24,化学制品,5057.68,-1.36%,26.8,35.7,-8.9,221,农心科技,10.00%,23.1
25,通用设备,4598.15,-1.37%,34.16,38.81,-4.65,175,丰立智能,19.99%,52.46
26,美容护理,4405.27,-1.43%,7.71,9.49,-1.78,32,登康口腔,9.99%,37.64
27,仪器仪表,3838.55,-1.43%,5.62,5.96,-0.35,52,莱伯泰科,5.54%,40.0
28,计算机设备,2573.13,-1.45%,40.4,58.43,-18.03,80,天迈科技,19.99%,35.36
29,电力,1468.03,-1.45%,26.25,33.65,-7.39,95,杭州热电,7.47%,30.93
30,综合,2062.2,-1.46%,3.83,4.88,-1.05,28,鲁银投资,3.61%,6.89
31,教育,4395.17,-1.49%,6.35,6.29,0.06,19,博瑞传播,3.86%,5.38
32,小家电,3057.53,-1.50%,3.37,3.7,-0.32,26,开能健康,4.53%,5.77
33,化工合成材料,3740.43,-1.54%,12.83,16.04,-3.21,107,新莱福,6.87%,48.7
34,专用设备,4289.15,-1.66%,28.18,35.96,-7.77,202,威派格,10.04%,8.11
35,化学制药,4437.04,-1.69%,21.21,31.06,-9.85,155,力生制药,5.23%,24.35
36,贵金属,1951.25,-1.70%,5.27,6.87,-1.6,11,四川黄金,0.83%,32.6
37,纺织制造,1747.18,-1.75%,2.51,3.71,-1.19,35,稳健医疗,-0.20%,40.36
38,光学光电子,2935.28,-1.76%,19.43,28.04,-8.61,106,波长光电,77.98%,52.29
39,港口航运,901.9780000000001,-1.81%,7.97,12.34,-4.37,36,招商轮船,0.82%,6.15
40,饮料制造,4455.09,-1.81%,39.47,50.44,-10.97,47,皇台酒业,1.22%,19.91
41,贸易,2333.62,-1.82%,2.03,3.32,-1.29,16,凯瑞德,0.16%,6.3
42,工业金属,2208.2,-1.84%,18.58,26.49,-7.91,60,华峰铝业,1.67%,15.24
43,机场航运,1953.05,-1.88%,5.52,10.07,-4.55,13,海航控股,0.00%,1.58
44,生物制品,5336.26,-1.88%,10.12,13.11,-2.99,55,神州细胞,1.72%,52.52
45,食品加工制造,4611.55,-1.91%,11.08,15.95,-4.87,82,海欣食品,1.11%,5.46
46,黑色家电,2895.53,-1.93%,1.58,3.3,-1.72,10,ST同洲,0.00%,1.92
47,包装印刷,2892.7,-1.94%,19.39,26.57,-7.18,48,宏裕包材,7.38%,7.86
48,房地产服务,3009.88,-1.97%,1.84,2.19,-0.36,8,珠江股份,-0.25%,4.04
49,房地产开发,1682.95,-1.99%,38.93,48.27,-9.34,96,大龙地产,3.98%,3.66
0,保险及其他,1733.17,-2.00%,17.37,26.77,-9.39,37,渤海租赁,0.00%,2.67
1,景点及旅游,2696.98,-2.05%,2.36,3.75,-1.38,21,*ST西域,0.62%,24.45
2,非金属材料,13348.7,-2.15%,1.02,1.67,-0.65,12,石英股份,-0.59%,88.3
3,计算机应用,10462.2,-2.18%,220.76,278.64,-57.88,257,国子软件,70.48%,17.9
4,自动化设备,14533.7,-2.18%,31.86,34.88,-3.02,91,众辰科技,29.22%,64.57
5,厨卫电器,5484.28,-2.21%,0.59,1.07,-0.48,9,万和电气,-0.92%,7.56
6,互联网电商,6233.11,-2.21%,4.56,7.88,-3.32,21,ST有棵树,4.11%,3.29
7,建筑装饰,3253.55,-2.22%,38.53,59.2,-20.67,154,恒尚节能,10.02%,27.01
8,医疗器械,9340.9,-2.22%,18.77,24.32,-5.54,126,易瑞生物,6.84%,14.68
9,非汽车交运,2157.38,-2.27%,9.11,12.02,-2.9,46,时代电气,5.68%,41.68
10,其他电子,8139.56,-2.28%,5.97,8.58,-2.61,37,世华科技,1.72%,18.92
11,家用轻工,2976.08,-2.28%,7.38,11.23,-3.85,108,老凤祥,1.66%,61.23
12,服装家纺,2247.49,-2.29%,4.59,7.58,-2.99,61,海澜之家,0.99%,7.12
13,建筑材料,4171.23,-2.32%,11.02,16.46,-5.44,76,宁夏建材,2.83%,16.0
14,电力设备,4299.66,-2.37%,125.82,173.93,-48.11,361,沐邦高科,5.82%,23.45
15,电子化学品,28469.3,-2.38%,6.95,10.07,-3.12,35,西陇科学,4.56%,6.42
16,汽车整车,2254.48,-2.38%,19.58,28.85,-9.27,25,宇通客车,-0.39%,12.93
17,消费电子,5484.37,-2.59%,29.45,41.46,-12.01,99,协创数据,0.40%,25.3
18,小金属,3828.48,-2.69%,15.97,27.86,-11.89,42,ST鼎龙,-0.89%,2.24
19,金属新材料,7317.82,-2.70%,2.33,3.81,-1.48,27,屹通新材,-0.50%,23.84
20,半导体及元件,6517.75,-2.75%,62.05,84.45,-22.4,198,铜峰电子,2.67%,7.7
21,医疗服务,14867.0,-2.75%,14.61,19.8,-5.19,51,成都先导,3.59%,14.7
22,通信设备,3809.29,-2.88%,48.24,72.59,-24.35,87,浩瀚深度,8.77%,29.03
23,证券,1331.9,-2.98%,123.55,169.57,-46.02,50,光大证券,1.28%,17.37
24,国防军工,1572.08,-3.00%,38.32,66.04,-27.72,140,捷强装备,11.63%,43.78
25,造纸,1754.67,-3.05%,8.03,13.18,-5.15,24,松炀资源,-0.39%,20.42
