,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),公司家数,领涨股,涨跌幅.1,当前价(元)
0,房地产服务,3369.95,4.97%,8.21,8.53,-0.32,8,世联行,10.18%,3.14
1,非金属材料,14598.4,4.95%,4.91,3.56,1.35,12,秉扬科技,26.42%,5.79
2,油气开采及服务,1169.22,4.12%,26.55,16.05,10.51,20,准油股份,10.07%,7.87
3,小金属,4056.88,3.93%,66.13,44.08,22.05,42,吉翔股份,10.04%,10.85
4,钢铁,1445.2,3.78%,42.88,27.09,15.79,46,宝地矿业,10.03%,8.89
5,煤炭开采加工,2212.38,3.47%,62.43,52.06,10.37,35,云煤能源,10.03%,4.06
6,家用轻工,3286.31,3.41%,27.61,25.8,1.81,108,龙竹科技,29.77%,4.97
7,厨卫电器,6155.79,3.30%,4.99,3.15,1.84,9,奥普家居,7.00%,12.68
8,建筑材料,4409.4,3.09%,38.98,27.91,11.07,76,亚士创能,10.03%,11.74
9,工业金属,2370.65,3.02%,74.33,53.15,21.18,60,北方铜业,9.93%,5.98
10,化学原料,2587.54,2.96%,28.2,19.63,8.56,58,鲁西化工,10.01%,11.76
11,贸易,2400.49,2.76%,4.87,2.62,2.26,16,云维股份,9.85%,3.01
12,饮料制造,4700.5,2.72%,144.34,104.21,40.14,47,金徽酒,10.02%,29.54
13,汽车整车,2378.21,2.60%,62.17,47.31,14.86,25,赛力斯,10.00%,40.58
14,黑色家电,2999.49,2.54%,5.04,2.77,2.27,10,四川九洲,6.46%,6.76
15,物流,4543.02,2.38%,21.78,15.23,6.55,47,庚星股份,10.02%,12.85
16,金属新材料,7724.81,2.37%,7.93,6.65,1.29,27,昆工科技,7.04%,20.82
17,石油加工贸易,2902.17,2.27%,21.28,12.51,8.77,28,华锦股份,6.11%,6.25
18,景点及旅游,2853.62,2.23%,7.55,6.03,1.52,21,*ST凯撒,5.13%,4.1
19,非汽车交运,2239.75,2.14%,9.7,7.26,2.44,46,交大思诺,10.70%,28.24
20,公路铁路运输,1058.28,2.08%,11.77,10.17,1.6,33,龙江交通,10.12%,3.59
21,通信服务,2103.5,2.05%,46.94,40.73,6.21,47,世纪鼎利,15.31%,5.8
22,贵金属,2083.28,2.05%,13.0,10.87,2.14,11,中润资源,9.92%,5.21
23,酒店及餐饮,1972.83,2.04%,8.16,6.94,1.22,9,首旅酒店,3.59%,18.16
24,造纸,1846.4,2.02%,7.82,6.87,0.95,24,安妮股份,9.95%,8.51
25,港口航运,913.049,1.95%,18.13,12.7,5.43,36,招商南油,5.92%,3.4
26,银行,942.5260000000001,1.87%,103.96,65.09,38.88,84,宁波银行,4.48%,28.91
27,化学制品,5284.03,1.85%,58.91,41.23,17.68,222,阳煤化工,10.03%,3.4
28,消费电子,5922.75,1.80%,44.48,40.6,3.88,98,豪声电子,12.83%,7.65
29,化工合成材料,3932.53,1.70%,20.36,16.76,3.6,108,天洋新材,10.01%,9.01
30,专用设备,4522.23,1.70%,71.0,54.47,16.53,201,五新隧装,25.97%,14.02
31,服装家纺,2341.99,1.69%,11.77,9.08,2.69,61,探路者,6.10%,8.18
32,小家电,3207.46,1.58%,7.78,6.87,0.91,26,倍轻松,7.72%,35.74
33,教育,4545.43,1.58%,6.93,5.52,1.41,19,中公教育,3.49%,4.45
34,综合,2114.05,1.55%,6.46,4.96,1.51,28,青岛中程,5.07%,8.29
35,建筑装饰,3302.42,1.55%,61.9,54.12,7.79,154,华阳国际,10.00%,16.5
36,保险及其他,1750.77,1.54%,48.89,37.4,11.49,37,中国太保,3.90%,30.39
37,纺织制造,1820.43,1.52%,3.53,2.7,0.83,35,欣龙控股,4.96%,4.87
38,环保,3321.82,1.46%,37.5,35.56,1.94,146,先河环保,12.85%,6.5
39,计算机应用,10619.3,1.46%,219.8,202.33,17.47,257,易华录,20.01%,36.47
40,通用设备,4829.04,1.44%,52.38,50.94,1.44,177,华锐精密,8.37%,97.55
41,包装印刷,3063.09,1.44%,12.72,12.54,0.18,48,宏裕包材,8.94%,7.8
42,燃气,1280.68,1.38%,6.64,6.47,0.18,29,新奥股份,3.52%,17.94
43,计算机设备,2648.12,1.37%,51.85,46.69,5.16,80,朗鸿科技,9.13%,6.69
