,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),公司家数,领涨股,涨跌幅.1,当前价(元)
0,环保,3368.55,2.38%,57.3,51.58,5.73,145,超越科技,20.00%,30.12
1,燃气,1294.15,1.58%,7.84,7.56,0.28,29,美能能源,10.02%,22.07
2,通信服务,1978.78,0.64%,36.61,28.58,8.02,47,首都在线,8.70%,14.37
3,建筑装饰,3313.19,0.55%,46.99,45.66,1.33,154,美丽生态,10.13%,3.48
4,贵金属,1939.79,0.52%,4.47,4.07,0.4,11,晓程科技,3.81%,9.8
5,纺织制造,1799.46,0.38%,4.68,4.79,-0.11,35,联发股份,9.98%,9.26
6,计算机应用,10286.2,0.36%,161.33,158.64,2.69,257,华是科技,20.01%,58.66
7,服装家纺,2328.87,0.36%,7.56,8.77,-1.21,61,如意集团,7.32%,7.04
8,通信设备,3836.51,0.30%,68.17,59.3,8.87,87,兆龙互连,12.34%,39.32
9,计算机设备,2548.35,0.19%,38.81,39.39,-0.59,80,汇金股份,13.24%,8.55
10,教育,4389.39,0.09%,4.21,4.53,-0.32,19,创业黑马,4.36%,31.1
11,饮料制造,4560.59,0.07%,52.44,59.4,-6.96,47,皇台酒业,10.01%,20.78
12,其他社会服务,14767.0,-0.18%,4.29,4.43,-0.14,66,建科股份,6.78%,24.89
13,白色家电,4458.5,-0.24%,11.99,13.41,-1.43,35,宏昌科技,3.03%,27.92
14,传媒,2295.07,-0.34%,78.08,83.94,-5.87,133,海看股份,2.65%,34.45
15,电子化学品,29117.4,-0.37%,7.18,9.92,-2.73,35,江化微,10.02%,16.03
16,家用轻工,3090.81,-0.41%,9.98,10.94,-0.96,108,三柏硕,3.06%,13.45
17,建筑材料,4286.25,-0.41%,16.68,19.03,-2.35,76,北新建材,6.12%,28.1
18,景点及旅游,2752.06,-0.46%,3.41,4.49,-1.08,21,*ST雪发,4.96%,5.08
19,贸易,2388.67,-0.47%,1.82,3.07,-1.25,16,云维股份,0.73%,2.76
20,造纸,1821.52,-0.48%,6.79,7.01,-0.22,24,安妮股份,2.03%,8.56
21,公路铁路运输,1061.05,-0.53%,9.98,11.83,-1.85,33,招商公路,1.47%,9.68
22,消费电子,5604.46,-0.61%,28.76,31.94,-3.18,99,利通电子,4.59%,23.46
23,其他电子,8265.7,-0.61%,5.44,6.51,-1.07,37,海洋王,3.44%,8.43
24,农业服务,6968.93,-0.62%,0.61,0.88,-0.27,16,海利生物,0.95%,9.55
25,综合,2112.24,-0.62%,4.08,6.81,-2.73,28,神雾节能,3.37%,3.99
26,专用设备,4370.34,-0.64%,29.55,35.97,-6.43,202,大宏立,13.62%,26.28
27,石油加工贸易,2854.04,-0.65%,7.37,8.12,-0.75,28,东华能源,1.91%,10.69
28,食品加工制造,4751.09,-0.66%,12.66,16.01,-3.35,82,日辰股份,2.56%,32.07
29,医疗器械,9664.79,-0.66%,23.83,22.02,1.81,126,美康生物,3.98%,11.51
30,互联网电商,6328.56,-0.67%,4.94,5.66,-0.71,21,狮头股份,2.03%,7.03
31,化学原料,2508.08,-0.69%,9.89,10.22,-0.32,58,远兴能源,4.08%,7.14
32,化工合成材料,3827.75,-0.70%,11.99,14.11,-2.12,107,光华股份,9.99%,28.08
33,包装印刷,2966.12,-0.72%,17.36,17.62,-0.26,48,鸿博股份,9.99%,41.17
34,零售,1550.77,-0.73%,20.52,22.99,-2.46,71,汇通能源,5.11%,19.14
35,医疗服务,15512.2,-0.75%,19.26,18.84,0.41,51,诺思格,6.43%,53.99
36,化学制品,5170.73,-0.75%,27.85,36.6,-8.75,221,万丰股份,10.01%,20.34
37,工业金属,2235.85,-0.75%,13.6,18.3,-4.71,60,盛达资源,1.97%,13.45
38,光学光电子,2962.01,-0.77%,16.39,21.76,-5.36,106,芯瑞达,4.30%,23.75
39,电力,1493.86,-0.77%,19.7,29.62,-9.92,95,*ST惠天,4.87%,2.8
40,生物制品,5501.72,-0.77%,11.05,11.51,-0.47,55,康华生物,2.77%,60.53
41,房地产服务,3048.82,-0.77%,1.74,1.9,-0.17,8,中天服务,0.00%,6.32
42,农产品加工,3738.11,-0.79%,8.15,10.4,-2.25,41,天马科技,2.42%,16.05
43,港口航运,923.73,-0.81%,11.91,18.52,-6.61,36,海通发展,9.99%,22.69
44,非金属材料,13778.5,-0.85%,1.27,1.72,-0.45,12,龙高股份,0.75%,21.4
45,中药,3459.68,-0.87%,20.6,24.24,-3.64,73,*ST目药,5.01%,10.48
46,汽车零部件,3748.17,-0.88%,43.82,57.09,-13.27,228,德宏股份,4.93%,13.62
47,化学制药,4565.77,-0.90%,32.33,40.87,-8.55,155,通化金马,9.93%,5.98
48,厨卫电器,5622.33,-0.95%,0.76,0.92,-0.16,9,帅丰电器,0.06%,16.23
49,通用设备,4666.69,-0.96%,28.26,35.23,-6.97,175,汉钟精机,4.74%,25.18
0,黑色家电,2923.42,-0.97%,1.56,2.37,-0.81,10,九联科技,0.12%,8.45
1,油气开采及服务,1110.32,-0.99%,6.33,8.54,-2.21,20,首华燃气,3.09%,14.03
2,养殖业,2509.77,-0.99%,6.05,9.01,-2.96,27,天域生态,4.19%,7.21
3,汽车服务,1001.99,-1.00%,1.49,2.34,-0.85,11,中国汽研,0.76%,21.12
4,小家电,3132.97,-1.05%,2.79,3.51,-0.72,26,利仁科技,1.13%,29.62
5,煤炭开采加工,2020.26,-1.05%,6.91,11.82,-4.9,35,云煤能源,0.88%,3.45
6,仪器仪表,3878.91,-1.06%,4.9,6.0,-1.1,52,南华仪器,3.95%,11.85
7,美容护理,4579.97,-1.09%,9.41,10.41,-1.0,32,贝泰妮,1.84%,98.5
8,半导体及元件,6648.0,-1.09%,70.25,79.7,-9.45,198,晶升股份,5.31%,46.97
9,钢铁,1397.09,-1.15%,9.6,12.18,-2.58,46,宝地矿业,1.57%,7.77
10,小金属,3940.65,-1.18%,17.34,24.26,-6.91,42,腾远钴业,5.22%,37.5
11,金属新材料,7516.12,-1.29%,2.56,3.9,-1.33,27,银河磁体,0.61%,18.26
12,保险及其他,1751.02,-1.30%,25.38,38.14,-12.76,38,亚联发展,10.00%,5.83
13,非汽车交运,2239.72,-1.33%,11.82,15.43,-3.61,46,长青科技,10.01%,38.46
14,酒店及餐饮,1903.92,-1.33%,2.89,3.86,-0.98,9,全聚德,0.32%,12.43
