,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),公司家数,领涨股,涨跌幅.1,当前价(元)
0,房地产服务,3279.06,6.35%,7.4,9.3,-1.9,8,特发服务,10.22%,34.4
1,房地产开发,1761.89,5.02%,129.01,121.02,8.0,96,中南建设,10.29%,1.93
2,煤炭开采加工,2080.67,3.33%,45.63,33.92,11.7,35,新集能源,9.22%,4.62
3,厨卫电器,5602.15,2.92%,3.11,2.42,0.69,9,万和电气,7.84%,7.98
4,证券,1393.37,2.77%,409.03,576.85,-167.82,50,锦龙股份,10.02%,16.58
5,建筑材料,4205.81,2.51%,31.48,28.08,3.4,76,罗普斯金,9.99%,8.15
6,保险及其他,1752.99,2.43%,67.44,60.17,7.27,37,香溢融通,4.70%,6.69
7,造纸,1774.2,2.32%,13.57,13.92,-0.35,24,恒达新材,24.05%,59.89
8,家用轻工,2992.87,2.29%,18.91,20.15,-1.24,108,德尔未来,10.09%,5.89
9,环保,3405.07,2.04%,95.29,96.24,-0.95,145,碧兴物联,20.01%,67.3
10,建筑装饰,3216.14,1.95%,78.66,87.23,-8.57,154,招标股份,19.99%,18.97
11,钢铁,1383.69,1.70%,22.97,22.8,0.17,46,金岭矿业,3.90%,6.66
12,汽车整车,2245.84,1.67%,47.23,48.67,-1.44,25,赛力斯,5.03%,33.65
13,贸易,2318.55,1.64%,3.43,4.28,-0.85,16,云维股份,4.53%,2.77
14,纺织制造,1730.47,1.62%,4.55,4.74,-0.19,35,华茂股份,7.16%,4.19
15,银行,951.565,1.58%,109.53,104.07,5.47,84,华夏银行,3.94%,5.8
16,教育,4322.75,1.54%,7.27,7.47,-0.2,19,创业黑马,13.28%,34.13
17,白色家电,4389.09,1.52%,23.55,22.09,1.47,36,康盛股份,3.89%,2.94
18,石油加工贸易,2827.83,1.46%,19.0,17.78,1.22,28,泰山石油,5.19%,5.88
19,港口航运,897.6010000000001,1.45%,15.11,14.88,0.23,36,招商南油,4.22%,3.21
20,综合,2057.16,1.37%,8.47,9.32,-0.85,28,亚泰集团,6.08%,2.27
21,油气开采及服务,1107.39,1.30%,11.38,12.14,-0.75,20,石化油服,3.33%,2.17
22,黑色家电,2841.76,1.28%,3.58,3.69,-0.12,10,四川长虹,2.63%,3.9
23,服装家纺,2223.52,1.21%,9.21,10.08,-0.86,61,扬州金泉,10.01%,47.61
24,包装印刷,2876.96,1.20%,18.59,23.99,-5.4,48,昇兴股份,6.48%,4.93
25,公路铁路运输,1050.73,1.18%,11.95,15.42,-3.47,33,江西长运,3.86%,5.65
26,化工合成材料,3725.28,1.17%,23.6,25.02,-1.42,107,新莱福,8.94%,53.27
27,工业金属,2218.49,1.12%,36.86,38.76,-1.91,60,闽发铝业,3.61%,3.73
28,养殖业,2681.52,1.09%,32.01,35.36,-3.35,27,中水渔业,10.04%,12.16
29,非金属材料,13263.3,1.04%,4.3,4.31,-0.01,12,石英股份,5.19%,91.0
30,零售,1524.67,1.03%,29.44,32.04,-2.61,71,德必集团,6.93%,16.5
