,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),公司家数,领涨股,涨跌幅.1,当前价(元)
0,房地产开发,1778.9,2.29%,93.94,70.49,23.45,96,天房发展,10.16%,2.82
1,房地产服务,3193.96,2.23%,3.98,2.88,1.1,8,特发服务,9.26%,32.22
2,证券,1421.23,1.47%,288.79,260.12,28.67,50,华林证券,10.02%,19.32
3,建筑材料,4309.91,0.33%,17.73,14.53,3.2,76,扬子新材,10.17%,3.25
4,造纸,1847.39,0.26%,8.73,7.02,1.71,24,安妮股份,10.00%,8.47
5,建筑装饰,3299.23,0.23%,38.49,41.17,-2.68,155,山水比德,13.78%,53.41
6,银行,943.365,0.19%,39.75,37.26,2.49,84,贵阳银行,2.66%,5.79
7,服装家纺,2341.99,0.19%,10.4,11.03,-0.63,61,美尔雅,9.96%,5.96
8,纺织制造,1800.38,0.16%,3.8,4.31,-0.52,35,华升股份,10.09%,5.13
9,厨卫电器,5716.48,0.12%,1.33,1.1,0.23,9,日出东方,1.96%,6.24
10,保险及其他,1802.29,0.10%,28.43,28.58,-0.15,38,香溢融通,1.93%,6.88
11,医疗器械,9986.82,0.10%,36.56,36.44,0.11,126,易瑞生物,20.00%,15.54
12,美容护理,4636.85,0.04%,7.09,7.93,-0.84,32,倍加洁,6.08%,24.26
13,食品加工制造,4833.22,0.01%,17.97,18.62,-0.65,82,麦趣尔,4.70%,13.6
14,家用轻工,3102.46,-0.03%,14.89,15.49,-0.6,108,雅艺科技,6.79%,36.8
15,钢铁,1422.31,-0.07%,10.94,9.46,1.48,46,友发集团,3.24%,7.65
16,互联网电商,6457.23,-0.08%,8.63,9.34,-0.71,21,ST有棵树,17.00%,3.51
17,饮料制造,4542.1,-0.15%,38.69,36.39,2.3,47,*ST西发,5.05%,9.16
18,物流,4487.37,-0.16%,8.14,9.12,-0.98,47,长久物流,10.03%,14.81
19,贸易,2399.46,-0.22%,1.79,2.26,-0.47,16,ST沪科,5.07%,4.56
20,农产品加工,3824.08,-0.23%,12.9,11.0,1.89,41,乖宝宠物,46.16%,58.45
21,医疗服务,16173.7,-0.31%,26.78,31.11,-4.33,51,贝瑞基因,9.98%,11.9
22,综合,2133.49,-0.36%,5.66,9.71,-4.05,28,上海三毛,9.96%,11.59
23,机场航运,2102.99,-0.39%,5.66,7.38,-1.72,13,海南机场,0.72%,4.17
24,化学原料,2522.61,-0.39%,6.31,6.44,-0.12,58,红星发展,10.03%,15.58
25,环保,3184.16,-0.40%,16.74,17.84,-1.1,145,建工修复,7.08%,19.51
26,其他社会服务,14829.0,-0.44%,4.65,5.04,-0.4,66,实朴检测,7.08%,16.94
27,燃气,1256.73,-0.48%,3.82,5.72,-1.89,29,ST升达,3.29%,3.45
28,贵金属,1957.93,-0.49%,5.24,7.43,-2.18,11,四川黄金,0.60%,31.79
29,非汽车交运,2215.97,-0.51%,7.43,10.59,-3.16,46,长青科技,10.02%,28.89
30,养殖业,2557.99,-0.54%,6.0,7.68,-1.68,27,大湖股份,1.06%,6.66
31,煤炭开采加工,2062.15,-0.54%,5.47,9.4,-3.93,35,山煤国际,1.52%,15.35
32,农业服务,7059.13,-0.56%,0.72,1.0,-0.28,16,中牧股份,0.52%,11.7
33,生物制品,5653.59,-0.59%,17.01,18.2,-1.19,55,未名医药,3.47%,18.47
34,种植业与林业,3578.91,-0.59%,3.4,4.49,-1.09,24,万辰生物,0.94%,39.75
35,公路铁路运输,1057.05,-0.63%,4.58,5.09,-0.51,33,锦江在线,0.73%,9.7
36,包装印刷,2996.99,-0.68%,24.64,31.04,-6.4,48,陕西金叶,10.04%,5.92
37,非金属材料,14054.6,-0.74%,1.42,1.9,-0.47,12,坤彩科技,0.23%,51.63
38,酒店及餐饮,1987.61,-0.77%,3.7,4.48,-0.78,9,华天酒店,4.17%,5.0
39,白色家电,4445.88,-0.77%,9.2,11.11,-1.91,35,毅昌科技,1.87%,5.98
