,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),公司家数,领涨股,涨跌幅.1,当前价(元)
0,医药商业,4948.38,2.38%,25.5,23.3,2.2,31,浙江震元,10.00%,9.24
1,化学制药,4773.35,0.79%,64.08,64.56,-0.48,155,新天地,20.02%,26.98
2,房地产开发,1776.82,0.39%,82.29,89.84,-7.55,97,粤宏远A,10.08%,4.26
3,中药,3583.58,0.30%,44.76,40.14,4.62,73,众生药业,5.91%,17.21
4,医疗器械,9960.7,0.21%,30.34,31.3,-0.96,126,五洲医疗,20.01%,39.7
5,景点及旅游,2875.59,-0.01%,9.12,10.83,-1.7,21,桂林旅游,6.19%,8.23
6,医疗服务,16414.0,-0.13%,36.05,39.03,-2.98,51,创新医疗,10.00%,9.35
7,房地产服务,3240.38,-0.54%,4.55,4.97,-0.42,8,特发服务,3.44%,33.1
8,生物制品,5727.34,-0.81%,18.42,21.9,-3.48,55,海特生物,1.59%,37.8
9,酒店及餐饮,2008.56,-0.99%,4.44,5.25,-0.81,9,华天酒店,0.22%,4.48
10,非金属材料,14229.9,-1.00%,2.65,3.16,-0.51,12,石英股份,2.41%,93.94
11,自动化设备,15213.1,-1.12%,22.23,29.98,-7.75,91,新时达,10.02%,12.08
12,美容护理,4585.12,-1.14%,6.13,8.62,-2.49,32,*ST美谷,1.80%,3.4
13,仪器仪表,3951.33,-1.24%,4.68,6.52,-1.84,52,汇中股份,5.70%,13.9
14,国防军工,1602.27,-1.29%,30.34,52.32,-21.98,139,北方长龙,2.80%,57.65
15,纺织制造,1754.5,-1.31%,2.08,3.16,-1.07,35,新澳股份,1.00%,8.04
16,其他社会服务,14880.9,-1.32%,4.62,6.34,-1.72,66,*ST明诚,2.09%,2.93
17,汽车零部件,3785.46,-1.35%,46.13,61.28,-15.15,227,云内动力,5.67%,2.98
18,综合,2127.91,-1.36%,3.81,6.29,-2.48,28,*ST园城,5.00%,12.81
19,包装印刷,3006.7,-1.38%,10.64,14.18,-3.54,48,华源控股,9.98%,9.37
20,机场航运,2149.73,-1.39%,12.15,14.58,-2.43,13,吉祥航空,0.34%,17.86
21,服装家纺,2284.94,-1.44%,4.88,7.97,-3.1,61,ST贵人,4.55%,2.07
22,公路铁路运输,1044.13,-1.45%,3.63,6.6,-2.97,33,皖通高速,1.38%,10.28
23,家用轻工,3071.35,-1.48%,7.22,11.02,-3.79,108,森鹰窗业,2.69%,32.03
24,化工合成材料,3870.76,-1.49%,14.06,19.73,-5.67,107,争光股份,5.37%,28.06
25,通用设备,4691.21,-1.51%,26.38,36.75,-10.37,174,开创电气,7.55%,39.31
26,消费电子,5766.1,-1.51%,31.92,48.2,-16.29,99,英力股份,2.64%,16.34
