,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),公司家数,领涨股,涨跌幅.1,当前价(元)
0,贵金属,2056.16,5.38%,28.83,16.58,12.25,11,中润资源,9.93%,4.87
1,养殖业,2638.36,4.49%,27.81,23.39,4.42,27,国联水产,20.03%,7.13
2,传媒,2401.24,2.37%,192.44,166.9,25.54,133,幸福蓝海,20.02%,14.39
3,医疗服务,15212.2,2.32%,33.38,23.08,10.3,51,泰格医药,11.38%,66.57
4,农产品加工,3759.85,1.99%,15.88,14.01,1.87,41,百洋股份,9.94%,7.74
5,饮料制造,4538.79,1.88%,79.85,52.93,26.92,47,青岛啤酒,5.77%,96.99
6,食品加工制造,4691.39,1.73%,19.67,14.54,5.13,82,好想你,9.96%,8.61
7,美容护理,4467.68,1.42%,9.89,8.63,1.26,32,嘉亨家化,8.54%,23.27
8,景点及旅游,2734.49,1.39%,3.87,3.15,0.72,21,*ST西域,3.52%,25.31
9,种植业与林业,3509.81,1.20%,5.6,4.46,1.14,24,神农科技,4.70%,3.79
10,酒店及餐饮,1911.27,0.99%,4.68,4.12,0.56,9,同庆楼,4.30%,33.92
11,工业金属,2229.74,0.97%,33.36,24.1,9.27,60,西部矿业,6.04%,12.63
12,半导体及元件,6576.06,0.90%,107.8,95.43,12.37,198,紫光国微,10.00%,91.08
13,证券,1343.67,0.88%,173.07,160.16,12.92,50,国盛金控,10.00%,10.89
14,生物制品,5379.38,0.81%,19.85,17.88,1.97,55,长春高新,7.58%,139.58
15,农业服务,6892.8,0.69%,1.25,1.26,-0.01,16,绿康生化,3.65%,29.28
16,互联网电商,6275.83,0.69%,7.16,5.85,1.31,21,跨境通,4.85%,4.11
17,医疗器械,9402.83,0.66%,25.78,21.45,4.33,126,康为世纪,8.29%,31.99
18,厨卫电器,5517.33,0.60%,1.08,0.94,0.14,9,日出东方,2.70%,6.09
19,化学原料,2500.46,0.59%,24.41,23.93,0.48,58,江盐集团,10.01%,17.26
20,化学制药,4463.1,0.59%,35.99,29.91,6.08,155,东诚药业,6.24%,13.97
21,其他社会服务,15006.4,0.50%,10.27,14.08,-3.81,66,实朴检测,19.98%,25.46
22,计算机设备,2584.37,0.44%,60.95,57.88,3.07,80,创识科技,20.01%,26.63
23,机场航运,1961.51,0.43%,7.28,7.44,-0.17,13,中国国航,1.66%,8.57
24,消费电子,5506.42,0.40%,46.05,41.66,4.39,99,亿道信息,10.01%,40.33
25,小金属,3843.74,0.40%,23.98,21.73,2.25,42,金钼股份,3.89%,10.96
26,电子化学品,28558.5,0.31%,8.38,8.17,0.21,35,江化微,3.37%,16.27
27,小家电,3065.46,0.26%,3.46,3.6,-0.15,26,开能健康,2.25%,5.9
28,汽车服务,1001.42,0.23%,2.69,2.96,-0.26,11,*ST中期,1.50%,4.06
29,零售,1536.11,0.19%,17.77,19.92,-2.16,71,汇嘉时代,4.57%,7.09
30,黑色家电,2900.42,0.17%,2.63,2.38,0.25,10,海信视像,2.94%,21.33
31,非金属材料,13356.5,0.06%,2.43,2.05,0.38,12,中触媒,4.87%,21.3
32,化学制品,5058.85,0.02%,34.94,36.47,-1.52,221,洪汇新材,10.01%,11.98
33,电力设备,4299.77,0.00%,172.39,163.39,9.0,361,时创能源,12.42%,26.7
34,通信设备,3808.3,-0.03%,77.65,77.99,-0.34,87,阿莱德,10.10%,44.04
35,白色家电,4404.54,-0.06%,15.15,14.5,0.66,36,海尔智家,2.82%,23.0
36,化工合成材料,3737.64,-0.07%,13.68,14.27,-0.59,107,永悦科技,6.91%,10.06
37,其他电子,8133.28,-0.08%,11.34,9.32,2.02,37,香农芯创,6.21%,31.46
38,包装印刷,2890.46,-0.08%,20.04,24.93,-4.89,48,王子新材,10.00%,12.43
39,教育,4391.24,-0.09%,4.4,5.31,-0.91,19,博通股份,1.85%,23.65
40,光学光电子,2931.41,-0.13%,24.01,25.68,-1.67,106,波长光电,22.01%,63.8
41,家用轻工,2971.07,-0.17%,8.97,10.54,-1.58,108,好太太,9.99%,15.85
42,汽车整车,2250.38,-0.18%,30.33,28.11,2.21,25,长城汽车,2.52%,25.63
43,中药,3390.53,-0.18%,20.04,21.68,-1.64,73,*ST吉药,5.77%,2.75
44,国防军工,1568.06,-0.26%,46.47,50.75,-4.28,140,智明达,5.43%,49.52
45,综合,2056.71,-0.27%,3.58,4.79,-1.21,28,恒立实业,1.73%,4.12
46,房地产服务,2999.8,-0.34%,1.57,1.64,-0.08,8,珠江股份,0.99%,4.08
47,汽车零部件,3699.56,-0.34%,56.82,61.98,-5.16,229,宁波华翔,10.02%,14.38
48,贸易,2324.47,-0.39%,2.43,3.03,-0.6,16,鹏都农牧,3.43%,1.81
49,保险及其他,1725.24,-0.46%,23.26,29.05,-5.79,37,拉卡拉,1.90%,18.74
0,石油加工贸易,2800.84,-0.59%,8.36,8.28,0.08,28,荣盛石化,2.59%,11.88
1,仪器仪表,3814.18,-0.64%,5.59,6.13,-0.54,52,鼎阳科技,5.79%,46.99
2,油气开采及服务,1098.31,-0.64%,6.11,7.74,-1.63,20,海油发展,4.56%,2.98
3,服装家纺,2232.4,-0.67%,5.71,6.03,-0.32,61,报喜鸟,4.15%,6.27
4,造纸,1742.28,-0.71%,7.81,9.42,-1.61,24,美利云,3.60%,12.07
5,金属新材料,7262.03,-0.76%,3.49,3.71,-0.22,27,昆工科技,3.59%,19.06
6,计算机应用,10381.1,-0.78%,240.67,278.38,-37.71,257,亚华电子,13.21%,42.25
7,通信服务,2018.14,-0.80%,40.45,58.87,-18.42,47,中贝通信,9.81%,24.51
8,通用设备,4557.24,-0.89%,27.75,34.75,-7.0,175,东睦股份,5.24%,9.85
9,银行,928.297,-0.89%,35.99,54.14,-18.16,84,沪农商行,1.21%,5.85
10,电力,1454.42,-0.93%,25.72,38.58,-12.86,95,协鑫能科,2.86%,12.23
11,专用设备,4248.01,-0.96%,28.24,36.93,-8.69,202,威派格,9.99%,8.92
12,自动化设备,14385.5,-1.02%,27.59,34.41,-6.81,91,联赢激光,3.54%,23.42
13,港口航运,891.942,-1.11%,8.57,12.12,-3.55,36,兴通股份,1.99%,19.0
14,建筑材料,4124.58,-1.12%,12.1,17.72,-5.62,76,罗普斯金,9.95%,6.74
15,纺织制造,1726.82,-1.17%,2.42,3.52,-1.1,35,浙文影业,2.52%,3.66
16,房地产开发,1662.92,-1.19%,38.2,48.66,-10.46,96,渝开发,3.79%,5.48
17,钢铁,1363.51,-1.20%,9.45,14.84,-5.38,46,广大特材,1.62%,23.27
18,环保,3309.6,-1.22%,61.07,68.78,-7.71,145,中电环保,19.97%,7.39
19,物流,4366.67,-1.25%,9.25,12.73,-3.48,47,海程邦达,4.28%,15.34
20,公路铁路运输,1035.57,-1.27%,6.06,10.02,-3.96,33,三峡旅游,1.32%,5.36
21,煤炭开采加工,2031.21,-1.33%,11.12,17.89,-6.76,35,平煤股份,0.37%,8.13
22,医药商业,4643.88,-1.34%,11.85,15.59,-3.73,31,百洋医药,2.88%,22.5
23,燃气,1238.67,-1.73%,3.14,5.03,-1.88,29,佛燃能源,0.25%,12.03
24,非汽车交运,2110.52,-2.17%,9.27,12.68,-3.41,46,爱玛科技,4.42%,27.87
25,建筑装饰,3182.72,-2.18%,64.42,105.02,-40.59,154,招标股份,5.86%,16.45
