,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),公司家数,领涨股,涨跌幅.1,当前价(元)
0,酒店及餐饮,2065.89,2.85%,7.14,6.53,0.61,9,华天酒店,10.04%,4.93
1,通信服务,2045.39,2.85%,42.82,29.72,13.11,47,南凌科技,20.02%,29.14
2,计算机应用,10745.7,2.43%,224.11,176.94,47.17,257,华是科技,20.01%,43.9
3,传媒,2454.57,2.29%,149.63,106.56,43.07,133,中原传媒,10.03%,13.05
4,医药商业,5054.01,2.13%,27.48,29.45,-1.97,31,开开实业,10.01%,12.97
5,景点及旅游,2935.18,2.07%,12.63,12.36,0.27,21,桂林旅游,8.63%,8.94
6,教育,4490.87,1.63%,4.37,3.44,0.93,19,创业黑马,4.98%,30.15
7,计算机设备,2654.47,1.60%,49.84,46.98,2.86,80,中孚信息,12.04%,26.34
8,互联网电商,6439.32,1.54%,6.06,4.85,1.21,21,焦点科技,6.88%,34.0
9,纺织制造,1773.71,1.09%,2.69,2.59,0.09,35,*ST新纺,3.45%,2.4
10,通信设备,3980.49,1.09%,67.18,64.03,3.15,88,朗威股份,20.01%,43.3
11,非汽车交运,2217.03,1.00%,8.34,9.45,-1.11,46,通业科技,17.26%,25.0
12,服装家纺,2307.01,0.97%,6.23,7.01,-0.78,61,乔治白,6.72%,5.08
13,其他社会服务,15015.7,0.91%,5.1,4.84,0.26,66,科锐国际,6.18%,37.6
14,公路铁路运输,1053.07,0.86%,4.95,4.2,0.75,33,皖通高速,1.75%,10.46
15,包装印刷,3031.25,0.82%,11.11,15.32,-4.21,48,鸿博股份,10.02%,37.35
16,造纸,1839.87,0.81%,4.88,4.18,0.69,24,安妮股份,9.98%,7.49
17,建筑装饰,3322.37,0.75%,58.62,48.55,10.06,155,上海建科,10.02%,19.21
18,电力,1528.94,0.71%,34.89,30.46,4.43,95,新筑股份,10.08%,5.35
19,美容护理,4616.57,0.69%,7.7,7.42,0.27,32,*ST美谷,5.00%,3.57
20,通用设备,4721.54,0.65%,29.0,30.23,-1.23,174,恒工精密,9.60%,50.56
21,贸易,2409.14,0.64%,2.76,2.58,0.18,16,ST沪科,5.08%,4.34
22,零售,1589.98,0.64%,25.36,25.07,0.29,71,汇嘉时代,4.62%,6.57
23,仪器仪表,3971.77,0.52%,6.29,6.63,-0.34,52,瑞纳智能,6.37%,41.27
24,贵金属,2006.11,0.52%,7.0,7.69,-0.68,11,银泰黄金,1.57%,13.59
25,建筑材料,4325.08,0.48%,17.44,17.69,-0.26,76,青松建化,6.89%,4.81
26,港口航运,921.418,0.48%,8.15,8.64,-0.49,36,长航凤凰,2.93%,3.16
27,钢铁,1431.21,0.48%,12.62,11.17,1.44,46,大中矿业,5.04%,11.68
28,汽车服务,1025.02,0.46%,2.61,2.75,-0.13,11,阿尔特,4.92%,16.41
29,消费电子,5792.65,0.46%,38.7,45.53,-6.83,99,致尚科技,6.35%,56.24
30,中药,3598.73,0.42%,34.41,35.66,-1.25,73,济川药业,7.66%,27.0
31,物流,4486.94,0.42%,7.24,7.61,-0.37,47,长久物流,10.03%,13.82
32,国防军工,1608.58,0.39%,44.84,41.23,3.6,139,北方长龙,3.90%,59.9
33,家用轻工,3083.23,0.39%,9.26,9.68,-0.42,108,ST金运,7.00%,7.49
34,黑色家电,3021.17,0.39%,2.68,2.63,0.05,10,四川长虹,1.73%,4.11
35,化学制药,4789.33,0.34%,60.04,62.61,-2.57,155,微芯生物,13.48%,23.57
36,综合,2134.35,0.30%,3.43,4.0,-0.57,28,漳州发展,2.08%,4.41
37,光学光电子,3063.46,0.29%,27.46,27.58,-0.12,106,晨丰科技,6.72%,16.2
