,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),公司家数,领涨股,涨跌幅.1,当前价(元)
0,房地产开发,1843.96,1.40%,133.91,133.56,0.35,98,渝开发,7.79%,5.26
1,房地产服务,3374.89,1.32%,6.34,5.36,0.98,8,世联行,2.92%,3.17
2,电子化学品,31420.4,1.26%,11.77,9.52,2.25,34,方邦股份,9.06%,49.01
3,仪器仪表,4131.66,1.21%,12.54,12.04,0.51,52,南华仪器,19.98%,13.15
4,证券,1366.12,1.07%,266.85,262.95,3.9,50,财达证券,10.04%,9.75
5,自动化设备,15665.9,0.82%,33.49,29.77,3.72,90,新时达,10.00%,11.77
6,汽车零部件,3979.7,0.81%,90.33,86.69,3.65,227,维科精密,20.00%,50.93
7,其他社会服务,15040.2,0.79%,4.92,7.46,-2.54,66,国缆检测,19.99%,52.34
8,光学光电子,3187.75,0.60%,33.58,36.8,-3.22,106,茂莱光学,10.10%,197.5
9,保险及其他,1850.89,0.56%,39.25,42.89,-3.64,38,仁东控股,10.03%,6.47
10,计算机应用,10477.0,0.54%,170.19,164.25,5.93,256,大智慧,10.01%,9.01
11,通信设备,4075.77,0.53%,82.24,87.81,-5.57,88,永鼎股份,5.31%,7.34
12,零售,1669.02,0.46%,48.14,57.45,-9.31,71,赫美集团,10.04%,5.7
13,计算机设备,2641.53,0.45%,40.36,47.87,-7.52,80,恒为科技,10.03%,19.64
14,工业金属,2424.28,0.43%,50.79,61.57,-10.78,60,中孚实业,10.06%,3.61
15,小家电,3253.84,0.33%,3.84,4.01,-0.17,26,奥佳华,2.07%,8.37
16,半导体及元件,7309.53,0.31%,120.35,118.74,1.62,196,美芯晟,7.17%,81.87
17,非汽车交运,2301.37,0.31%,6.96,8.01,-1.06,46,交大思诺,6.75%,28.0
18,包装印刷,3070.96,0.31%,17.49,15.35,2.14,48,鸿博股份,10.00%,36.41
19,专用设备,4577.22,0.26%,41.58,41.83,-0.25,201,精智达,12.85%,101.9
20,黑色家电,3128.03,0.26%,3.36,2.79,0.58,10,兆驰股份,1.68%,5.44
21,通用设备,4840.59,0.25%,33.62,35.22,-1.59,174,通力科技,6.45%,48.35
22,消费电子,5893.85,0.25%,38.93,44.99,-6.06,99,胜利精密,6.25%,2.55
23,厨卫电器,6110.27,0.23%,1.76,1.56,0.2,9,老板电器,0.91%,28.75
24,汽车整车,2630.43,0.22%,74.73,89.5,-14.77,25,力帆科技,10.09%,4.8
25,互联网电商,6583.18,0.20%,7.67,7.6,0.07,21,赛维时代,4.95%,42.63
26,通信服务,1994.26,0.16%,13.67,18.55,-4.87,47,*ST新海,4.80%,1.31
27,其他电子,8844.53,0.11%,11.23,12.32,-1.1,36,太龙股份,2.46%,12.5
28,综合,2222.44,0.11%,6.46,7.97,-1.51,28,上海三毛,2.19%,11.18
29,建筑材料,4502.33,0.10%,24.11,25.64,-1.53,76,森泰股份,3.16%,25.82
30,化工合成材料,4000.26,-0.03%,16.47,18.11,-1.64,107,双星新材,6.07%,11.01
31,白色家电,4707.87,-0.08%,16.85,16.25,0.61,34,禾盛新材,3.24%,13.37
32,贸易,2505.09,-0.09%,4.96,6.15,-1.19,16,中成股份,1.42%,12.88
33,化学原料,2634.17,-0.17%,7.51,10.22,-2.71,58,新金路,2.40%,5.98
34,饮料制造,4690.36,-0.18%,49.39,60.15,-10.76,47,*ST西发,4.98%,6.11
35,电力设备,4747.56,-0.20%,149.5,183.62,-34.12,361,中科电气,10.31%,13.05
36,纺织制造,1834.92,-0.30%,2.79,3.78,-0.99,34,航民股份,1.39%,8.76
37,服装家纺,2399.55,-0.33%,10.48,13.62,-3.14,62,酷特智能,6.93%,13.74
38,非金属材料,14338.2,-0.33%,1.99,2.89,-0.9,12,联瑞新材,2.04%,43.99
39,家用轻工,3208.14,-0.33%,10.32,12.5,-2.17,108,实丰文化,2.48%,18.63
40,化学制品,5423.24,-0.36%,34.98,44.47,-9.49,222,天晟新材,6.48%,7.07
41,食品加工制造,5002.96,-0.37%,17.41,23.19,-5.78,82,惠发食品,9.99%,8.81
42,汽车服务,1077.48,-0.38%,3.2,3.91,-0.71,11,上海物贸,0.38%,13.16
43,环保,3316.52,-0.40%,17.46,25.76,-8.3,145,法尔胜,10.02%,5.93
44,国防军工,1646.22,-0.42%,64.0,91.38,-27.39,139,合众思壮,3.48%,7.13
45,油气开采及服务,1150.44,-0.45%,9.38,13.68,-4.3,20,仁智股份,2.19%,4.21
46,传媒,2410.99,-0.46%,85.13,106.95,-21.82,134,三六五网,11.31%,15.45
47,贵金属,2051.22,-0.48%,10.11,12.64,-2.53,11,中润资源,1.44%,4.94
48,医药商业,4656.19,-0.50%,5.87,8.41,-2.55,31,大参林,3.01%,28.74
49,金属新材料,8206.57,-0.55%,10.17,12.13,-1.96,27,安泰科技,4.59%,9.8
0,公路铁路运输,1079.75,-0.56%,4.61,7.45,-2.84,33,东莞控股,0.92%,9.91
1,建筑装饰,3428.9,-0.58%,51.62,68.98,-17.36,155,柯利达,10.13%,4.24
2,种植业与林业,3713.7,-0.63%,5.4,8.65,-3.25,24,平潭发展,0.76%,2.64
3,造纸,1899.34,-0.64%,4.58,5.64,-1.06,24,华旺科技,0.66%,21.52
4,农业服务,7344.41,-0.65%,1.28,1.58,-0.3,16,生物股份,0.79%,10.23
5,燃气,1288.04,-0.69%,1.53,2.55,-1.02,29,成都燃气,0.39%,10.4
6,小金属,4321.84,-0.71%,26.83,40.96,-14.13,42,雅化集团,1.45%,18.21
7,物流,4623.58,-0.75%,10.39,14.37,-3.98,47,龙洲股份,1.38%,4.41
8,养殖业,2653.77,-0.80%,11.29,16.86,-5.57,27,京基智农,3.70%,21.3
9,农产品加工,3932.67,-0.85%,7.56,11.45,-3.9,41,路斯股份,0.26%,7.88
10,港口航运,939.597,-0.86%,8.8,14.04,-5.23,36,海航科技,0.73%,2.75
11,中药,3483.5,-0.89%,16.37,29.18,-12.81,74,*ST吉药,3.29%,2.51
12,机场航运,2153.33,-0.92%,7.53,11.06,-3.53,13,上海机场,0.53%,47.1
13,石油加工贸易,2969.66,-0.93%,19.13,35.48,-16.35,28,ST海越,1.68%,5.45
14,电力,1577.89,-0.98%,31.75,51.12,-19.37,95,宝新能源,1.94%,6.85
15,美容护理,4735.75,-1.06%,11.85,15.09,-3.23,32,华业香料,3.00%,26.47
16,钢铁,1500.44,-1.19%,27.0,35.75,-8.75,46,方大炭素,2.55%,6.43
17,化学制药,4700.65,-1.31%,37.43,60.51,-23.08,154,永安药业,4.93%,10.43
18,银行,955.418,-1.35%,61.69,99.01,-37.32,84,瑞丰银行,1.75%,5.83
19,医疗器械,10090.8,-1.39%,23.16,31.42,-8.26,125,济南高新,4.36%,3.83
20,煤炭开采加工,2131.58,-1.45%,12.34,24.78,-12.44,35,宝泰隆,0.79%,3.84
21,教育,4593.96,-1.53%,3.03,5.98,-2.95,19,创业黑马,0.97%,29.27
22,医疗服务,16104.8,-1.64%,23.93,31.29,-7.36,51,数字人,0.85%,9.53
23,生物制品,5773.49,-1.76%,14.4,26.36,-11.96,55,康乐卫士,2.87%,17.56
24,酒店及餐饮,2080.79,-1.89%,7.51,10.92,-3.41,9,锦江酒店,0.87%,48.47
25,景点及旅游,2873.5,-1.95%,3.91,7.61,-3.7,21,*ST雪发,0.00%,4.45
