,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),公司家数,领涨股,涨跌幅.1,当前价(元)
0,房地产服务,3521.04,7.38%,12.67,13.18,-0.51,8,特发服务,13.43%,39.02
1,自动化设备,14848.4,7.15%,60.73,45.0,15.73,91,拓斯达,20.02%,15.77
2,汽车零部件,3826.66,5.63%,109.26,71.7,37.57,229,星源卓镁,20.00%,68.41
3,通用设备,4690.59,5.60%,56.07,37.33,18.74,175,哈焊华通,20.01%,19.19
4,半导体及元件,6700.15,5.58%,175.49,122.54,52.95,199,泰凌微,22.99%,41.3
5,电子化学品,29501.6,5.56%,16.42,11.35,5.07,35,唯特偶,15.96%,54.49
6,消费电子,5632.33,5.33%,67.87,46.53,21.34,99,传音控股,11.94%,139.9
7,计算机设备,2596.09,5.06%,84.55,64.29,20.26,80,安联锐视,19.99%,36.02
8,光学光电子,3014.65,5.00%,49.76,32.02,17.74,106,翰博高新,15.06%,14.06
9,计算机应用,10383.9,4.96%,291.8,243.98,47.82,257,先进数通,20.03%,18.22
10,仪器仪表,3936.78,4.91%,16.64,13.6,3.04,53,容知日新,14.14%,55.47
11,其他电子,8231.74,4.78%,12.66,8.01,4.64,37,国力股份,8.81%,57.79
12,通信服务,2010.65,4.78%,46.85,38.68,8.17,47,中富通,11.41%,18.36
13,专用设备,4387.9,4.72%,64.06,45.85,18.22,201,联测科技,17.41%,44.5
14,通信设备,3838.34,4.46%,95.89,77.68,18.21,87,中光防雷,19.96%,11.66
15,国防军工,1600.13,4.43%,89.34,60.69,28.66,140,华力创通,14.93%,12.7
16,医疗器械,9749.86,4.43%,51.69,39.64,12.05,126,福瑞股份,20.02%,25.12
17,金属新材料,7433.35,4.35%,9.06,6.85,2.21,27,中科磁业,10.96%,56.68
18,互联网电商,6323.06,4.25%,10.34,6.25,4.1,21,国联股份,10.00%,34.76
19,传媒,2435.69,4.23%,204.92,158.29,46.63,133,神州泰岳,12.16%,10.7
20,非汽车交运,2154.01,4.19%,11.91,8.6,3.31,46,研奥股份,10.91%,24.3
21,医疗服务,15510.5,4.18%,36.64,27.19,9.45,51,皓元医药,9.97%,52.61
22,电力设备,4409.95,3.89%,250.58,196.13,54.45,362,威力传动,20.00%,88.56
23,厨卫电器,5817.4,3.84%,2.58,2.54,0.04,9,帅丰电器,9.99%,17.4
24,房地产开发,1826.81,3.69%,127.72,112.86,14.85,96,金科股份,10.15%,2.17
25,白色家电,4549.65,3.66%,25.39,18.92,6.47,36,宏昌科技,18.22%,30.5
26,生物制品,5505.72,3.53%,24.57,17.48,7.09,55,金迪克,8.27%,31.02
27,教育,4472.23,3.46%,8.75,7.29,1.45,19,行动教育,10.01%,43.74
28,黑色家电,2939.07,3.42%,3.86,2.84,1.02,10,高斯贝尔,6.30%,9.79
29,非金属材料,13706.4,3.34%,4.83,3.91,0.92,12,凌玮科技,6.61%,32.9
30,包装印刷,2971.79,3.30%,21.64,17.77,3.87,48,新莱应材,12.86%,29.23
31,其他社会服务,15219.3,3.27%,13.44,11.85,1.59,66,零点有数,10.86%,65.96
32,家用轻工,3088.76,3.20%,17.05,14.17,2.88,108,我乐家居,10.02%,9.11
33,汽车整车,2317.44,3.19%,70.06,53.67,16.39,25,众泰汽车,10.12%,3.7
34,酒店及餐饮,1918.67,3.18%,7.03,5.37,1.66,9,西安饮食,5.78%,13.17
35,化学制药,4582.56,3.12%,48.07,35.3,12.77,155,兴齐眼药,11.82%,176.0
36,汽车服务,1016.03,3.04%,4.99,3.4,1.59,11,阿尔特,5.52%,17.59
37,建筑装饰,3313.64,3.03%,71.13,66.44,4.68,154,深圳瑞捷,17.73%,29.08
38,化工合成材料,3837.9,3.02%,18.91,18.3,0.61,107,泛亚微透,11.29%,39.43
39,美容护理,4627.89,2.97%,11.85,9.14,2.72,32,倍加洁,7.19%,23.71
40,小家电,3088.39,2.87%,9.59,9.55,0.03,26,德昌股份,10.00%,18.81
41,化学制品,5194.57,2.77%,53.65,45.04,8.61,221,联合化学,10.88%,26.18
42,景点及旅游,2774.08,2.62%,7.32,5.62,1.7,21,众信旅游,6.36%,8.2
43,医药商业,4733.71,2.61%,13.91,10.86,3.04,31,国科恒泰,6.73%,20.3
44,物流,4441.15,2.59%,13.88,13.37,0.51,47,庚星股份,10.05%,10.73
45,纺织制造,1774.21,2.53%,3.53,2.91,0.63,35,聚杰微纤,7.81%,14.35
46,造纸,1818.9,2.52%,10.9,10.08,0.82,24,松炀资源,9.15%,20.39
47,小金属,3900.53,2.44%,33.87,28.3,5.57,42,浩通科技,5.72%,31.04
48,服装家纺,2276.0,2.36%,9.24,7.83,1.41,61,扬州金泉,6.01%,50.47
49,中药,3460.59,2.21%,27.19,23.69,3.5,73,维康药业,9.18%,22.59
0,工业金属,2266.19,2.15%,30.48,27.13,3.36,60,华峰铝业,6.28%,16.26
1,机场航运,1974.99,2.04%,9.69,6.82,2.87,13,中国国航,3.55%,8.75
2,饮料制造,4520.31,2.02%,85.83,67.13,18.7,47,兰州黄河,5.49%,9.61
3,食品加工制造,4676.97,2.02%,28.98,26.63,2.34,82,新乳业,6.41%,14.45
4,农业服务,7048.8,2.01%,2.02,1.67,0.34,16,海利生物,5.98%,9.93
5,综合,2097.13,1.94%,6.18,5.73,0.45,28,*ST园城,4.84%,12.12
6,贵金属,2048.41,1.86%,12.11,10.62,1.49,11,晓程科技,4.13%,10.6
7,种植业与林业,3557.28,1.86%,5.89,5.94,-0.04,24,万辰生物,8.29%,35.0
8,建筑材料,4282.68,1.83%,24.39,24.2,0.2,76,旗滨集团,8.46%,8.72
9,贸易,2359.48,1.76%,2.94,2.68,0.26,16,南纺股份,4.59%,6.83
10,零售,1551.54,1.76%,28.37,23.82,4.55,71,云南城投,6.46%,3.13
11,燃气,1273.57,1.42%,6.29,5.77,0.53,29,新疆火炬,5.92%,15.74
12,农产品加工,3792.77,1.33%,14.33,15.43,-1.1,41,乖宝宠物,6.90%,46.79
13,环保,3446.41,1.21%,71.22,85.48,-14.27,145,九州一轨,11.34%,16.3
14,电力,1474.98,1.14%,34.89,36.21,-1.31,95,大连热电,4.07%,7.41
15,油气开采及服务,1119.8,1.12%,8.22,7.39,0.83,20,首华燃气,3.86%,13.17
16,石油加工贸易,2859.38,1.11%,11.95,14.49,-2.54,28,润贝航科,7.28%,36.69
17,化学原料,2523.45,1.02%,16.81,20.22,-3.41,58,大洋生物,5.34%,32.75
18,公路铁路运输,1057.86,0.68%,10.81,10.79,0.02,33,海汽集团,9.26%,18.29
19,港口航运,903.431,0.65%,10.59,11.9,-1.31,36,宁波远洋,3.86%,9.95
20,煤炭开采加工,2093.22,0.60%,21.75,25.08,-3.33,35,晋控煤业,3.59%,9.53
21,钢铁,1389.39,0.41%,16.85,18.39,-1.54,46,甬金股份,9.99%,22.12
22,保险及其他,1758.73,0.33%,36.07,38.97,-2.9,37,亚联发展,4.22%,5.68
23,证券,1386.13,-0.52%,266.48,325.7,-59.23,50,山西证券,8.05%,6.98
24,养殖业,2660.81,-0.77%,23.74,32.83,-9.09,27,天域生态,2.44%,7.14
25,银行,935.612,-1.68%,60.54,92.37,-31.83,84,长沙银行,0.24%,8.4
