,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),公司家数,领涨股,涨跌幅.1,当前价(元)
0,医药商业,5264.14,4.16%,39.57,36.46,3.11,31,华人健康,20.01%,23.63
1,证券,1400.68,1.68%,231.54,194.71,36.83,50,华林证券,10.03%,17.56
2,纺织制造,1797.56,1.34%,3.9,3.02,0.88,35,聚杰微纤,8.91%,14.55
3,服装家纺,2337.57,1.32%,9.43,8.73,0.7,61,盛泰集团,9.99%,9.91
4,中药,3644.15,1.26%,37.57,33.67,3.9,73,华森制药,10.01%,19.02
5,银行,941.581,1.16%,57.8,40.72,17.08,84,民生银行,2.83%,3.99
6,公路铁路运输,1063.7,1.01%,8.27,5.76,2.51,33,淮河能源,5.00%,2.73
7,零售,1601.7,0.74%,33.81,33.28,0.53,71,中央商场,9.94%,5.42
8,化学制药,4820.66,0.65%,55.58,56.44,-0.86,155,海森药业,10.01%,55.72
9,家用轻工,3103.28,0.65%,11.73,12.93,-1.2,108,雅艺科技,19.99%,34.46
10,非汽车交运,2227.34,0.47%,6.69,8.18,-1.48,46,长青科技,10.01%,26.26
11,美容护理,4634.77,0.39%,7.19,8.34,-1.15,32,*ST美谷,5.04%,3.75
12,互联网电商,6462.41,0.36%,9.09,11.0,-1.91,21,跨境通,7.12%,3.91
13,综合,2141.23,0.32%,4.57,6.84,-2.27,28,上海三毛,10.02%,10.54
14,物流,4494.5,0.17%,7.27,8.44,-1.17,47,中国外运,2.74%,4.88
15,造纸,1842.69,0.15%,6.76,7.48,-0.72,24,安妮股份,2.80%,7.7
16,农业服务,7099.17,0.08%,1.12,1.41,-0.28,16,生物股份,2.29%,9.82
17,煤炭开采加工,2073.35,0.07%,7.79,10.06,-2.27,35,潞安环能,0.93%,16.23
18,保险及其他,1800.51,0.02%,28.77,29.79,-1.02,38,新力金融,3.26%,7.6
19,医疗器械,9977.15,0.01%,24.86,26.83,-1.96,126,乐心医疗,7.21%,10.85
20,石油加工贸易,2894.58,-0.00%,9.85,8.86,0.99,28,宝莫股份,2.76%,4.84
21,小家电,3172.42,-0.05%,3.46,3.58,-0.12,26,欧圣电气,3.77%,17.36
22,饮料制造,4548.72,-0.18%,39.97,47.63,-7.67,47,*ST西发,5.06%,8.72
23,贸易,2404.8,-0.18%,1.65,2.45,-0.81,16,汇鸿集团,1.62%,3.14
24,港口航运,919.738,-0.18%,8.04,8.76,-0.72,36,唐山港,2.80%,3.67
25,电力,1525.24,-0.24%,33.62,33.98,-0.36,95,湖南发展,3.36%,11.99
26,化学制品,5258.48,-0.32%,33.03,41.49,-8.46,221,广康生化,20.01%,44.62
27,生物制品,5686.9,-0.34%,14.58,16.35,-1.78,55,百济神州,2.70%,126.18
28,养殖业,2571.78,-0.35%,8.15,8.7,-0.55,27,大湖股份,5.10%,6.59
29,汽车服务,1021.09,-0.38%,1.99,2.43,-0.44,11,*ST中期,1.81%,4.51
30,化学原料,2532.51,-0.39%,4.85,6.76,-1.9,58,红星发展,4.19%,14.16
31,非金属材料,14159.6,-0.43%,2.11,2.49,-0.39,12,凌玮科技,3.30%,35.38
32,包装印刷,3017.61,-0.45%,15.25,23.2,-7.95,48,鸿博股份,10.01%,41.09
33,化工合成材料,3855.65,-0.46%,11.77,16.16,-4.38,107,至正股份,3.77%,36.93
34,油气开采及服务,1123.53,-0.49%,5.12,7.18,-2.05,20,ST洲际,1.15%,2.64
35,燃气,1262.81,-0.50%,5.39,6.05,-0.66,29,新奥股份,2.44%,18.45
36,医疗服务,16223.9,-0.51%,27.57,32.33,-4.76,51,诚达药业,4.68%,29.09
37,白色家电,4480.31,-0.52%,10.28,11.7,-1.42,35,三星新材,3.63%,15.13
38,环保,3197.07,-0.55%,17.08,21.6,-4.52,145,兴源环境,4.09%,3.31
39,钢铁,1423.29,-0.55%,8.53,11.94,-3.41,46,本钢板材,1.75%,4.07
40,房地产开发,1739.08,-0.60%,51.86,55.3,-3.45,97,荣盛发展,6.75%,2.53
41,汽车整车,2376.71,-0.60%,29.59,35.61,-6.01,25,海马汽车,3.19%,4.86
42,厨卫电器,5709.76,-0.62%,1.11,1.46,-0.35,9,亿田智能,2.76%,38.0
43,种植业与林业,3600.14,-0.63%,3.41,4.96,-1.56,24,万辰生物,0.95%,39.38
44,建筑材料,4295.71,-0.68%,11.59,13.95,-2.36,76,友邦吊顶,1.98%,15.99
45,工业金属,2276.89,-0.73%,16.44,20.18,-3.74,60,创新新材,9.95%,6.19
46,汽车零部件,3762.69,-0.77%,46.79,57.56,-10.77,227,亚通精工,10.00%,31.13
47,农产品加工,3832.94,-0.80%,7.28,12.29,-5.01,41,冠农股份,1.89%,9.69
48,其他社会服务,14894.1,-0.81%,3.76,5.03,-1.27,66,实朴检测,2.00%,15.82
49,专用设备,4370.01,-0.83%,23.03,33.55,-10.51,202,天鹅股份,9.98%,23.14
0,消费电子,5743.23,-0.85%,38.54,46.36,-7.81,99,国光电器,2.68%,14.19
1,计算机设备,2630.38,-0.91%,47.38,63.67,-16.29,80,恒银科技,9.95%,8.51
2,国防军工,1593.81,-0.92%,29.34,44.62,-15.28,139,盟升电子,5.38%,55.03
3,建筑装饰,3291.54,-0.93%,34.04,43.51,-9.47,155,ST花王,2.37%,4.75
4,黑色家电,2992.14,-0.96%,1.72,3.21,-1.49,10,ST同洲,2.08%,1.96
5,通用设备,4675.11,-0.98%,23.61,33.66,-10.05,175,五洲新春,5.00%,14.29
6,光学光电子,3032.58,-1.01%,22.65,27.36,-4.71,106,翔腾新材,10.00%,48.41
7,通信设备,3938.81,-1.05%,78.36,87.39,-9.03,88,朗威股份,7.11%,46.38
8,通信服务,2023.87,-1.05%,26.6,34.5,-7.9,47,中富通,6.82%,17.69
