,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),公司家数,领涨股,涨跌幅.1,当前价(元)
0,酒店及餐饮,2164.15,5.61%,19.49,15.31,4.18,9,西安饮食,9.99%,15.3
1,零售,1685.63,3.75%,77.31,71.59,5.72,71,华联股份,10.26%,2.15
2,汽车整车,2614.61,3.75%,134.49,110.18,24.31,24,海马汽车,10.08%,5.68
3,房地产服务,3330.09,3.59%,8.72,8.64,0.08,9,国创高新,10.09%,3.71
4,种植业与林业,3762.07,3.53%,21.1,13.73,7.37,24,秋乐种业,13.31%,8.0
5,房地产开发,1825.7,3.05%,160.9,152.44,8.45,98,华远地产,10.26%,2.15
6,养殖业,2697.25,2.96%,26.51,19.34,7.18,27,獐子岛,8.08%,4.95
7,农产品加工,3999.63,2.64%,24.51,17.12,7.38,41,金健米业,10.00%,8.47
8,传媒,2441.44,2.54%,168.67,125.61,43.06,134,星辉娱乐,11.21%,3.77
9,景点及旅游,2963.58,2.45%,14.13,11.29,2.84,21,大连圣亚,6.18%,17.35
10,互联网电商,6651.68,2.37%,13.08,11.56,1.52,21,国联股份,10.00%,38.28
11,服装家纺,2429.23,2.04%,19.68,18.57,1.11,62,泰慕士,10.00%,33.1
12,建筑装饰,3490.15,2.02%,114.05,100.25,13.8,155,苏州规划,19.99%,71.72
13,建筑材料,4537.48,1.92%,55.53,51.83,3.71,76,扬子新材,10.07%,3.17
14,教育,4635.53,1.79%,7.78,5.92,1.85,19,学大教育,4.73%,29.25
15,食品加工制造,5057.32,1.68%,41.06,41.03,0.03,82,立高食品,8.90%,72.92
16,贸易,2507.61,1.64%,5.45,4.29,1.15,16,鹏都农牧,3.48%,2.08
17,工业金属,2375.27,1.57%,45.3,40.34,4.96,60,和胜股份,9.98%,21.6
18,综合,2212.45,1.44%,9.65,9.89,-0.24,28,南京新百,10.05%,9.09
19,小家电,3283.4,1.43%,7.9,8.22,-0.31,26,飞科电器,9.99%,77.26
20,物流,4658.82,1.36%,18.03,19.42,-1.39,47,建发股份,10.02%,11.2
21,医疗服务,16479.8,1.26%,48.51,44.57,3.94,51,毕得医药,13.75%,73.2
22,银行,972.203,1.21%,112.76,111.34,1.41,84,紫金银行,9.65%,3.18
23,保险及其他,1853.98,1.18%,90.53,85.29,5.24,38,瑞达期货,10.02%,18.01
24,证券,1347.43,1.17%,362.91,402.07,-39.16,50,西南证券,9.98%,4.74
25,机场航运,2177.85,1.15%,18.45,17.19,1.26,13,中国国航,2.30%,9.35
26,小金属,4327.71,1.15%,50.73,46.57,4.16,42,锡业股份,3.68%,16.64
27,汽车服务,1089.34,1.14%,5.72,5.12,0.59,11,申华控股,5.39%,2.15
28,饮料制造,4740.03,1.11%,149.16,156.89,-7.73,47,水井坊,9.51%,75.34
29,美容护理,4830.37,1.05%,17.29,17.86,-0.57,32,水羊股份,12.34%,21.31
30,电力,1565.42,1.02%,51.77,46.56,5.21,95,银星能源,4.00%,7.55
31,包装印刷,3080.42,1.02%,11.69,11.93,-0.24,48,鸿博股份,10.00%,33.33
32,造纸,1901.98,1.01%,5.82,5.78,0.04,24,华旺科技,6.02%,21.13
33,黑色家电,3129.35,0.99%,4.58,4.18,0.4,10,极米科技,3.38%,145.45
34,纺织制造,1849.07,0.91%,6.29,6.91,-0.62,34,浙文影业,4.47%,3.97
35,环保,3347.16,0.86%,32.99,30.14,2.85,145,舜禹股份,10.57%,38.7
36,电力设备,4765.91,0.86%,226.94,219.38,7.56,361,保力新,16.15%,1.87
37,石油加工贸易,2976.22,0.85%,12.79,15.32,-2.53,27,统一股份,2.40%,11.1
38,非汽车交运,2291.84,0.83%,9.88,9.72,0.17,47,时代电气,3.69%,45.0
39,油气开采及服务,1142.92,0.78%,11.49,11.82,-0.33,20,仁智股份,3.79%,4.11
40,家用轻工,3252.9,0.78%,24.7,24.18,0.52,108,*ST爱迪,5.00%,2.73
41,化工合成材料,4006.05,0.77%,19.86,19.8,0.06,107,奇德新材,20.01%,26.09
42,白色家电,4728.57,0.76%,25.82,25.85,-0.04,34,宏昌科技,5.30%,31.38
43,通用设备,4855.38,0.70%,34.61,35.55,-0.94,174,佳士科技,18.16%,8.85
44,公路铁路运输,1083.07,0.65%,8.48,10.49,-2.01,33,江西长运,1.96%,5.72
45,通信服务,1987.03,0.65%,27.08,38.79,-11.72,47,ST高升,4.73%,1.77
46,专用设备,4583.56,0.64%,51.65,51.31,0.34,201,新研股份,10.39%,3.72
47,燃气,1286.15,0.62%,3.14,3.26,-0.12,29,天壕能源,3.32%,11.2
48,港口航运,943.409,0.59%,15.2,14.96,0.24,36,中远海能,6.22%,14.68
49,非金属材料,14498.7,0.58%,3.2,4.52,-1.32,12,索通发展,4.90%,18.83
0,电子化学品,31007.6,0.57%,7.53,8.6,-1.07,34,德邦科技,5.74%,57.08
1,其他电子,8878.03,0.55%,12.78,13.53,-0.76,36,国力股份,8.29%,65.69
2,计算机设备,2626.29,0.52%,73.8,73.45,0.36,80,同辉信息,7.99%,2.84
3,计算机应用,10422.4,0.51%,214.62,217.67,-3.05,256,财富趋势,12.27%,142.0
