,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),公司家数,领涨股,涨跌幅.1,当前价(元)
0,电子化学品,31339.5,2.94%,34.32,28.19,6.13,35,容大感光,20.01%,42.41
1,中药,3513.64,1.64%,32.04,27.06,4.98,73,大理药业,10.05%,11.28
2,医药商业,4808.87,1.46%,18.29,17.15,1.14,31,开开实业,9.98%,16.42
3,半导体及元件,7022.32,1.30%,206.34,172.36,33.97,199,中富电路,20.02%,31.36
4,光学光电子,3125.62,0.81%,48.05,44.69,3.36,106,清越科技,19.97%,17.36
5,化学制药,4648.33,0.78%,42.78,40.39,2.39,155,新诺威,20.03%,15.34
6,消费电子,5820.22,0.73%,48.77,46.47,2.31,99,胜利精密,10.05%,2.41
7,小家电,3131.22,0.57%,12.3,11.31,0.99,26,石头科技,9.92%,293.49
8,医疗器械,9859.77,0.17%,29.11,26.19,2.92,126,春立医疗,6.18%,23.53
9,仪器仪表,3987.3,0.14%,11.14,11.96,-0.82,53,精测电子,5.20%,90.68
10,酒店及餐饮,1906.32,0.11%,6.57,7.08,-0.51,9,华天酒店,3.02%,5.12
11,自动化设备,15227.1,0.07%,39.28,44.12,-4.83,91,智云股份,20.02%,9.77
12,电力,1463.1,-0.01%,36.42,36.97,-0.54,95,豫能控股,9.98%,4.74
13,包装印刷,2991.27,-0.02%,15.2,17.02,-1.82,48,顺灏股份,10.15%,3.58
14,农产品加工,3755.43,-0.07%,9.41,10.88,-1.47,41,*ST佳沃,6.86%,14.8
15,专用设备,4433.15,-0.08%,48.43,51.5,-3.07,201,星球石墨,7.63%,32.0
16,汽车零部件,3848.41,-0.12%,53.3,63.51,-10.21,229,明阳科技,30.00%,15.6
17,通信服务,2063.82,-0.13%,41.51,41.66,-0.15,47,超讯通信,10.01%,25.71
18,食品加工制造,4696.72,-0.14%,18.71,24.73,-6.01,82,莲花健康,7.14%,3.75
19,非汽车交运,2181.33,-0.14%,6.56,7.62,-1.06,46,华洋赛车,5.04%,14.18
20,美容护理,4636.59,-0.16%,7.75,8.44,-0.7,32,*ST美谷,4.99%,4.42
21,生物制品,5532.74,-0.18%,11.71,12.66,-0.95,55,双成药业,4.66%,6.74
22,种植业与林业,3521.94,-0.18%,4.12,5.77,-1.65,24,新赛股份,10.00%,5.94
23,贵金属,2052.64,-0.19%,14.64,14.29,0.35,11,中润资源,1.43%,4.95
24,计算机设备,2645.34,-0.20%,50.53,52.65,-2.12,80,创识科技,5.51%,29.3
25,白色家电,4609.55,-0.22%,23.28,24.35,-1.07,35,澳柯玛,9.98%,6.06
26,农业服务,7024.71,-0.23%,0.86,0.82,0.03,16,普莱柯,1.48%,22.0
27,机场航运,1952.06,-0.23%,7.66,8.48,-0.82,13,春秋航空,2.57%,58.59
28,化工合成材料,3860.78,-0.25%,12.05,14.29,-2.24,107,同益股份,7.57%,16.06
29,物流,4418.07,-0.25%,12.05,16.09,-4.03,47,庚星股份,10.00%,12.98
30,医疗服务,15673.6,-0.31%,20.97,21.24,-0.27,51,南模生物,3.56%,39.91
31,家用轻工,3115.59,-0.31%,12.86,14.49,-1.64,108,通达创智,9.98%,27.54
32,其他电子,8460.04,-0.32%,8.62,10.38,-1.76,37,雅创电子,1.36%,45.46
33,通用设备,4745.61,-0.35%,41.35,46.75,-5.4,177,丰立智能,3.97%,53.22
34,通信设备,3914.43,-0.35%,55.95,61.54,-5.59,87,烽火通信,4.10%,17.78
35,银行,916.035,-0.38%,49.78,56.73,-6.95,84,江苏银行,1.14%,7.13
36,化学制品,5183.36,-0.38%,31.71,38.07,-6.36,221,常青科技,9.99%,33.79
37,饮料制造,4502.46,-0.47%,54.37,60.71,-6.34,47,古井贡酒,3.36%,288.05
38,厨卫电器,5848.52,-0.50%,1.25,1.66,-0.4,9,万和电气,1.21%,8.37
39,纺织制造,1774.13,-0.53%,2.12,2.63,-0.51,35,新澳股份,4.06%,8.45
40,计算机应用,10637.8,-0.58%,210.82,234.68,-23.85,257,盛邦安全,20.01%,78.64
41,金属新材料,7473.36,-0.58%,4.16,4.95,-0.78,27,云路股份,3.80%,77.5
42,燃气,1246.96,-0.61%,2.61,3.89,-1.28,29,洪通燃气,1.72%,10.66
43,油气开采及服务,1105.65,-0.65%,3.95,6.7,-2.75,20,准油股份,1.45%,7.02
44,服装家纺,2274.97,-0.70%,7.35,8.4,-1.05,61,酷特智能,6.11%,14.59
45,国防军工,1619.59,-0.74%,55.66,68.81,-13.15,140,航天南湖,4.52%,25.66
46,石油加工贸易,2819.78,-0.76%,7.48,9.22,-1.74,28,岳阳兴长,3.33%,19.58
47,煤炭开采加工,2053.4,-0.76%,15.6,16.45,-0.85,35,晋控煤业,2.30%,9.79
48,非金属材料,13743.5,-0.79%,1.96,2.35,-0.38,12,天马新材,0.53%,7.58
49,公路铁路运输,1026.57,-0.81%,10.75,12.05,-1.3,33,招商公路,3.85%,9.71
0,钢铁,1363.44,-0.82%,10.15,12.98,-2.83,46,宁新新材,2.90%,11.01
1,港口航运,881.748,-0.83%,9.67,13.05,-3.39,36,海通发展,3.30%,17.82
2,电力设备,4408.24,-0.84%,137.57,170.44,-32.86,362,京山轻机,4.77%,18.0
3,贸易,2308.66,-0.85%,1.66,2.52,-0.87,16,ST沪科,2.56%,4.4
4,建筑材料,4239.96,-0.85%,21.16,26.09,-4.93,76,宏和科技,10.06%,9.08
5,综合,2070.07,-0.86%,3.49,5.67,-2.18,28,神雾节能,9.95%,4.31
6,工业金属,2248.79,-0.90%,20.7,25.26,-4.56,60,精艺股份,2.25%,7.27
7,景点及旅游,2752.71,-0.90%,3.45,5.14,-1.68,21,*ST雪发,3.05%,5.41
8,化学原料,2484.38,-1.00%,9.71,15.68,-5.97,58,红星发展,9.98%,14.55
9,黑色家电,2932.25,-1.03%,3.59,5.07,-1.49,10,兆驰股份,0.58%,5.21
10,养殖业,2570.84,-1.10%,19.19,23.02,-3.83,27,大湖股份,3.83%,9.23
11,小金属,3861.01,-1.13%,22.59,31.42,-8.84,42,华锡有色,0.33%,15.46
12,汽车服务,1004.56,-1.15%,2.2,2.95,-0.75,11,浩物股份,0.00%,4.23
13,建筑装饰,3233.89,-1.25%,42.54,58.77,-16.23,154,新疆交建,10.01%,17.8
14,造纸,1788.6,-1.35%,5.35,9.29,-3.94,24,荣晟环保,3.74%,15.81
15,保险及其他,1714.47,-1.36%,34.92,40.83,-5.91,37,经纬纺机,1.24%,8.97
16,其他社会服务,15151.0,-1.36%,9.52,11.63,-2.11,66,实朴检测,6.29%,26.68
17,互联网电商,6292.62,-1.46%,5.3,8.13,-2.83,21,ST通葡,1.63%,3.74
18,环保,3322.36,-1.47%,38.98,53.62,-14.64,146,盛剑环境,7.84%,37.13
19,传媒,2432.74,-1.49%,132.97,164.01,-31.04,133,值得买,3.91%,25.75
20,零售,1509.23,-1.59%,16.51,24.5,-8.0,71,汇嘉时代,6.88%,6.52
21,汽车整车,2270.47,-1.66%,37.98,49.09,-11.1,25,宇通客车,2.30%,12.47
22,教育,4461.32,-1.70%,4.33,6.15,-1.82,19,国脉科技,-0.14%,7.29
23,证券,1312.56,-2.04%,113.12,163.72,-50.6,50,中银证券,1.45%,11.88
