,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),公司家数,领涨股,涨跌幅.1,当前价(元)
0,计算机应用,10782.9,2.97%,349.28,269.2,80.09,257,华信永道,20.08%,17.1
1,通信服务,2036.9,2.59%,71.6,42.68,28.92,47,中国联通,7.45%,5.48
2,通信设备,4131.81,2.50%,131.47,96.0,35.46,88,天孚通信,13.38%,107.2
3,计算机设备,2695.78,2.50%,107.79,74.47,33.32,80,恒银科技,10.07%,6.45
4,保险及其他,1931.37,2.44%,112.74,109.43,3.31,38,拉卡拉,14.58%,20.59
5,传媒,2445.39,2.10%,159.3,121.82,37.47,133,卓创资讯,20.00%,73.8
6,证券,1440.27,1.64%,624.73,615.54,9.19,50,信达证券,10.02%,19.98
7,黑色家电,3146.28,1.01%,7.2,5.2,2.0,10,创维数字,3.70%,15.4
8,其他社会服务,15169.0,1.01%,6.09,6.35,-0.26,66,国缆检测,20.00%,61.44
9,自动化设备,15761.3,0.90%,42.22,37.42,4.79,91,步科股份,8.17%,65.0
10,消费电子,5910.05,0.88%,56.35,46.49,9.85,99,显盈科技,12.45%,23.75
11,互联网电商,6591.21,0.72%,9.52,8.69,0.83,22,ST通葡,3.40%,3.65
12,其他电子,8809.97,0.69%,12.49,12.22,0.28,36,创益通,4.72%,16.19
13,仪器仪表,4097.64,0.62%,9.41,8.71,0.7,52,南华仪器,6.96%,13.06
14,银行,973.2260000000001,0.60%,89.75,82.28,7.47,84,瑞丰银行,3.93%,6.08
15,光学光电子,3180.91,0.50%,38.02,39.39,-1.37,106,民爆光电,8.58%,55.43
16,教育,4588.45,0.47%,6.1,5.39,0.71,19,创业黑马,3.08%,30.5
17,建筑装饰,3434.75,0.37%,61.96,73.09,-11.13,155,建科院,11.22%,18.53
18,国防军工,1644.7,0.36%,63.89,82.03,-18.13,139,睿创微纳,4.33%,48.96
19,半导体及元件,7303.92,0.35%,136.2,141.13,-4.94,196,创耀科技,8.29%,67.12
20,小金属,4316.9,0.28%,44.5,44.21,0.29,42,华友钴业,4.04%,52.02
21,电力设备,4769.15,0.25%,234.39,244.39,-10.0,361,百利电气,9.95%,6.96
22,贵金属,2034.03,0.24%,7.63,8.77,-1.15,11,湖南黄金,1.13%,12.5
23,汽车零部件,3930.15,0.17%,87.79,88.65,-0.86,227,威迈斯,7.47%,48.6
24,中药,3542.73,0.16%,30.23,30.78,-0.55,73,同仁堂,5.61%,54.99
25,通用设备,4799.42,0.14%,32.8,34.67,-1.87,174,昊志机电,6.38%,17.18
26,房地产服务,3449.66,0.10%,7.59,7.99,-0.39,8,珠江股份,5.06%,4.57
27,电子化学品,31087.6,0.09%,7.38,8.4,-1.01,34,天承科技,2.62%,92.46
28,工业金属,2376.51,-0.16%,34.8,39.07,-4.26,60,中孚实业,5.85%,3.44
29,饮料制造,4735.48,-0.22%,71.57,75.38,-3.81,47,*ST西发,4.93%,6.39
30,白色家电,4660.54,-0.30%,16.09,18.22,-2.14,34,三花智控,2.10%,28.7
31,专用设备,4537.58,-0.30%,34.42,42.61,-8.18,202,航天晨光,4.08%,15.07
