,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),公司家数,领涨股,涨跌幅.1,当前价(元)
0,证券,1331.9,7.36%,469.66,278.66,191.0,50,天风证券,10.15%,3.58
1,保险及其他,1832.34,4.41%,115.71,68.75,46.96,38,瑞达期货,10.01%,16.37
2,汽车整车,2520.11,3.42%,121.54,76.79,44.75,24,海马汽车,10.02%,5.16
3,银行,960.632,3.30%,145.05,74.28,70.77,84,紫金银行,9.85%,2.9
4,厨卫电器,6134.92,3.14%,4.58,3.2,1.38,9,火星人,6.07%,26.39
5,房地产服务,3214.81,2.64%,7.94,7.9,0.04,9,国创高新,10.13%,3.37
6,服装家纺,2380.71,2.62%,18.97,15.93,3.04,62,嘉曼服饰,11.78%,29.98
7,美容护理,4780.33,2.38%,17.09,12.68,4.41,32,水羊股份,19.99%,18.97
8,纺织制造,1832.47,1.95%,6.51,5.35,1.16,34,华茂股份,9.97%,4.19
9,小家电,3237.1,1.89%,8.69,5.43,3.26,26,石头科技,7.48%,279.33
10,房地产开发,1771.67,1.87%,150.05,127.84,22.21,98,冠城大通,10.13%,3.26
11,家用轻工,3227.85,1.80%,23.1,17.58,5.53,108,箭牌家居,10.03%,18.87
12,建筑材料,4451.99,1.74%,45.48,36.75,8.73,76,龙泉股份,10.10%,5.56
13,零售,1624.63,1.72%,55.87,49.69,6.18,71,海印股份,10.00%,2.31
14,饮料制造,4688.19,1.60%,142.56,96.5,46.06,47,海南椰岛,5.78%,11.71
15,食品加工制造,4973.66,1.44%,38.94,27.85,11.09,82,青海春天,10.01%,8.9
16,计算机应用,10369.4,1.43%,207.73,186.45,21.28,255,威士顿,20.01%,65.8
17,公路铁路运输,1076.05,1.42%,9.05,6.56,2.49,33,富临运业,3.94%,7.39
18,生物制品,6016.14,1.33%,28.09,27.25,0.84,55,智翔金泰,9.99%,32.6
19,机场航运,2153.05,1.32%,14.39,8.93,5.46,13,上海机场,4.62%,46.46
20,港口航运,937.904,1.30%,16.09,10.53,5.56,36,中远海控,2.85%,10.1
21,非汽车交运,2272.89,1.24%,9.58,6.72,2.87,47,铁科轨道,9.72%,46.97
22,贸易,2467.07,1.20%,3.67,3.72,-0.04,16,江苏舜天,3.56%,5.52
23,油气开采及服务,1134.1,1.11%,11.28,11.23,0.06,20,博迈科,5.24%,12.85
24,钢铁,1474.44,1.08%,42.89,30.94,11.95,46,新钢股份,3.96%,4.46
25,小金属,4278.67,1.07%,37.98,30.15,7.83,42,云南锗业,5.68%,14.88
26,造纸,1883.02,1.05%,4.47,3.83,0.64,23,松炀资源,2.94%,20.3
27,综合,2181.13,1.05%,8.38,7.59,0.79,28,亚泰集团,5.43%,2.33
28,煤炭开采加工,2135.03,0.99%,16.48,12.77,3.71,35,晋控煤业,2.77%,9.27
29,工业金属,2338.53,0.98%,41.15,32.86,8.3,60,金徽股份,10.02%,13.29
30,农业服务,7390.53,0.97%,1.4,1.0,0.39,16,贤丰控股,2.12%,3.38
31,化学制药,4857.48,0.95%,40.04,29.58,10.47,154,贝达药业,8.91%,57.07
32,医疗服务,16274.0,0.89%,29.12,23.51,5.61,51,普瑞眼科,3.84%,111.56
33,农产品加工,3896.78,0.83%,9.8,8.02,1.79,41,华资实业,4.73%,6.2
34,通信服务,1974.25,0.80%,32.83,27.42,5.42,47,梦网科技,5.82%,15.81
35,物流,4596.26,0.79%,15.47,12.05,3.42,47,密尔克卫,4.88%,90.66
36,计算机设备,2612.83,0.78%,66.61,58.06,8.55,80,汇金股份,10.69%,8.39
37,中药,3590.64,0.72%,27.59,23.64,3.95,74,贵州三力,7.03%,17.5
38,燃气,1278.18,0.71%,2.68,2.19,0.49,29,天壕能源,2.36%,10.84
39,汽车零部件,3975.82,0.70%,119.72,116.16,3.56,227,鹏翎股份,12.88%,5.26
40,医药商业,4748.14,0.68%,7.06,6.85,0.21,31,塞力医疗,10.04%,10.52
41,黑色家电,3098.51,0.67%,3.7,3.74,-0.03,10,极米科技,4.84%,140.7
42,种植业与林业,3633.71,0.67%,6.99,5.96,1.02,24,万辰生物,3.63%,38.24
43,化学原料,2631.28,0.63%,14.79,12.94,1.84,58,君正集团,2.77%,4.46
44,石油加工贸易,2951.25,0.57%,10.52,10.58,-0.06,27,上海石化,1.59%,3.19
45,包装印刷,3049.28,0.54%,9.97,13.2,-3.23,48,珠海中富,4.62%,3.17
46,酒店及餐饮,2049.25,0.53%,7.06,7.3,-0.24,9,全聚德,2.45%,13.8
47,非金属材料,14415.1,0.53%,2.02,1.76,0.26,12,索通发展,2.57%,17.95
48,医疗器械,10473.3,0.49%,26.97,24.47,2.5,125,济南高新,9.97%,3.64
