,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),公司家数,领涨股,涨跌幅.1,当前价(元)
0,房地产服务,3083.21,2.78%,4.68,4.01,0.67,8,珠江股份,10.05%,4.49
1,燃气,1250.8,0.98%,6.07,5.75,0.32,29,美能能源,10.03%,20.08
2,银行,936.765,0.91%,55.55,38.3,17.25,84,常熟银行,2.80%,7.35
3,证券,1355.85,0.91%,153.44,141.47,11.97,50,锦龙股份,10.00%,15.07
4,房地产开发,1677.68,0.89%,67.1,54.54,12.56,96,中迪投资,10.00%,5.94
5,环保,3336.96,0.83%,85.84,82.29,3.55,145,冠中生态,20.00%,18.36
6,养殖业,2652.5,0.54%,34.47,39.21,-4.74,27,大湖股份,10.04%,9.21
7,公路铁路运输,1038.51,0.28%,7.43,6.21,1.22,33,赣粤高速,4.14%,3.77
8,钢铁,1360.63,-0.21%,13.17,11.57,1.61,46,*ST西钢,2.03%,3.01
9,美容护理,4449.02,-0.42%,8.67,10.41,-1.73,32,诺邦股份,4.97%,12.47
10,农业服务,6862.14,-0.45%,0.96,1.09,-0.14,16,金河生物,0.85%,4.75
11,油气开采及服务,1093.15,-0.47%,5.44,5.73,-0.28,20,贝肯能源,1.04%,8.71
12,造纸,1733.94,-0.48%,9.76,9.18,0.57,24,美利云,3.73%,12.52
13,电力,1447.36,-0.48%,33.58,31.12,2.46,95,江苏国信,4.09%,7.13
14,石油加工贸易,2787.12,-0.49%,9.37,8.85,0.52,28,万邦达,6.52%,7.68
15,建筑材料,4102.87,-0.53%,14.6,15.44,-0.84,76,罗普斯金,9.94%,7.41
16,医药商业,4609.7,-0.74%,10.77,12.24,-1.46,31,开开实业,4.07%,14.83
17,种植业与林业,3483.07,-0.76%,6.64,6.84,-0.2,24,海南橡胶,1.36%,4.48
18,保险及其他,1711.39,-0.80%,23.27,24.57,-1.31,37,新华保险,2.06%,41.67
19,港口航运,884.74,-0.81%,7.84,9.16,-1.32,36,盐田港,1.24%,4.92
20,中药,3362.29,-0.83%,16.18,19.85,-3.67,73,寿仙谷,5.60%,41.5
21,煤炭开采加工,2013.64,-0.86%,8.73,12.11,-3.38,35,新集能源,0.95%,4.23
22,建筑装饰,3154.79,-0.88%,46.73,50.82,-4.09,154,蕾奥规划,11.31%,24.12
23,化学制品,5009.03,-0.98%,36.31,40.78,-4.48,221,建龙微纳,19.24%,61.23
24,化学制药,4418.43,-1.00%,34.17,34.22,-0.05,155,富士莱,8.33%,40.7
25,化学原料,2473.27,-1.09%,22.09,30.89,-8.8,58,中毅达,9.99%,12.88
26,综合,2029.36,-1.33%,3.7,4.94,-1.24,28,*ST同达,2.04%,13.99
27,厨卫电器,5443.32,-1.34%,0.93,0.94,-0.0,9,老板电器,0.41%,26.81
28,农产品加工,3709.22,-1.35%,14.47,17.92,-3.44,41,播恩集团,9.99%,16.41
29,纺织制造,1702.93,-1.38%,2.46,2.85,-0.39,35,伟星股份,0.00%,10.0
30,生物制品,5301.73,-1.44%,15.5,16.28,-0.78,55,赛升药业,5.24%,10.65
31,化工合成材料,3682.19,-1.48%,14.96,17.61,-2.66,107,唯赛勃,10.29%,17.15
32,家用轻工,2925.87,-1.52%,8.68,11.58,-2.9,108,瑞尔特,10.02%,11.86
33,机场航运,1931.57,-1.53%,5.22,8.22,-3.0,13,深圳机场,0.73%,6.86
34,医疗器械,9258.44,-1.54%,28.68,28.62,0.06,126,新产业,5.28%,57.62
35,服装家纺,2196.93,-1.59%,5.39,6.22,-0.83,61,际华集团,2.08%,2.95
36,工业金属,2193.86,-1.61%,17.52,27.82,-10.3,60,盛达资源,0.80%,15.06
37,小金属,3781.53,-1.62%,17.99,26.91,-8.92,42,宝钛股份,10.01%,31.42
38,包装印刷,2842.8,-1.65%,14.76,20.09,-5.33,48,劲嘉股份,2.20%,6.51
39,其他社会服务,14750.3,-1.71%,12.13,14.22,-2.09,66,实朴检测,11.23%,28.32
40,非金属材料,13126.1,-1.73%,1.8,3.12,-1.32,12,齐鲁华信,0.24%,4.09
41,景点及旅游,2686.66,-1.75%,2.87,4.58,-1.71,21,桂林旅游,0.93%,7.64
42,零售,1509.11,-1.76%,17.78,25.31,-7.53,71,御银股份,4.06%,4.87
43,汽车服务,983.105,-1.83%,2.52,3.35,-0.83,11,广汇汽车,0.00%,2.04
44,汽车整车,2208.99,-1.84%,21.02,27.39,-6.37,25,福田汽车,1.47%,3.45
45,饮料制造,4455.15,-1.84%,50.57,49.49,1.08,47,迎驾贡酒,1.45%,74.37
46,白色家电,4323.35,-1.84%,9.5,11.98,-2.47,36,海尔智家,0.62%,22.58
47,物流,4285.29,-1.86%,8.03,10.66,-2.63,47,ST天顺,3.80%,15.56
48,贸易,2281.04,-1.87%,1.97,3.14,-1.17,16,江苏国泰,0.56%,7.15
49,食品加工制造,4603.52,-1.87%,18.83,21.72,-2.89,82,五芳斋,5.68%,30.51
0,电力设备,4217.6,-1.91%,130.48,151.63,-21.15,361,赢合科技,19.98%,28.88
1,仪器仪表,3738.29,-1.99%,6.86,8.35,-1.49,52,山科智能,4.97%,33.13
2,小家电,3003.42,-2.02%,3.23,3.65,-0.42,26,德尔玛,0.14%,14.18
3,贵金属,2013.48,-2.08%,10.51,13.55,-3.04,11,西部黄金,-0.78%,14.05
4,专用设备,4157.6,-2.13%,27.37,35.76,-8.39,202,同力日升,10.00%,25.74
5,医疗服务,14875.4,-2.21%,26.72,30.94,-4.22,51,凯莱英,0.91%,127.45
6,电子化学品,27862.7,-2.44%,6.92,10.41,-3.49,35,格林达,1.18%,25.72
7,金属新材料,7077.67,-2.54%,2.49,3.92,-1.43,27,安泰科技,1.05%,8.67
8,通用设备,4441.32,-2.54%,25.51,33.05,-7.54,175,京城股份,3.13%,12.85
9,酒店及餐饮,1862.52,-2.55%,3.77,5.18,-1.4,9,华天酒店,-0.21%,4.8
10,国防军工,1525.01,-2.75%,44.65,62.57,-17.91,140,中科海讯,7.45%,20.92
11,汽车零部件,3596.22,-2.79%,40.61,56.15,-15.53,229,万安科技,4.09%,10.94
12,光学光电子,2848.01,-2.85%,24.69,37.1,-12.41,106,阳光照明,0.57%,3.53
13,非汽车交运,2050.07,-2.86%,7.4,9.27,-1.87,46,中国中车,0.85%,5.94
14,教育,4257.26,-3.05%,3.46,5.98,-2.51,19,ST开元,3.76%,5.52
15,黑色家电,2805.85,-3.26%,2.47,4.26,-1.79,10,极米科技,-1.55%,120.21
16,其他电子,7857.47,-3.39%,6.73,11.64,-4.91,37,中熔电气,0.41%,124.0
17,自动化设备,13888.0,-3.46%,27.74,36.3,-8.56,91,欧克科技,4.47%,83.16
18,消费电子,5315.51,-3.47%,31.19,49.65,-18.47,99,光弘科技,1.50%,10.13
19,传媒,2315.73,-3.56%,117.3,168.03,-50.73,133,三六五网,7.19%,15.5
20,半导体及元件,6340.16,-3.59%,90.73,110.75,-20.02,199,泰凌微,30.91%,32.7
21,互联网电商,6044.87,-3.68%,3.86,7.35,-3.48,21,ST易购,-0.51%,1.94
22,通信服务,1934.81,-4.13%,36.58,45.2,-8.62,47,润建股份,2.56%,34.02
23,通信设备,3645.83,-4.27%,75.5,96.88,-21.38,87,有方科技,3.21%,36.35
24,计算机设备,2471.17,-4.38%,59.41,84.54,-25.13,80,创识科技,16.41%,31.0
25,计算机应用,9921.48,-4.43%,200.45,267.76,-67.31,257,直真科技,10.02%,30.97
