,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),公司家数,领涨股,涨跌幅.1,当前价(元)
0,电子化学品,33569.2,5.50%,56.48,43.47,13.01,36,广信材料,20.02%,21.94
1,半导体及元件,7307.96,3.00%,266.1,199.28,66.82,199,威尔高,136.56%,68.32
2,其他电子,8876.96,2.65%,30.29,22.46,7.83,37,力源信息,15.22%,6.51
3,国防军工,1673.78,2.62%,118.23,85.26,32.97,140,华力创通,20.00%,23.52
4,房地产服务,3314.19,2.62%,8.31,6.3,2.01,8,特发服务,9.11%,33.07
5,通信设备,4009.84,2.52%,68.38,64.62,3.76,87,震有科技,20.02%,19.66
6,光学光电子,3267.65,2.41%,65.03,58.86,6.16,106,茂莱光学,20.00%,265.08
7,房地产开发,1700.61,2.21%,90.73,64.32,26.41,96,中国武夷,10.10%,3.49
8,消费电子,6061.83,1.56%,57.1,53.07,4.03,98,硕贝德,11.61%,8.94
9,计算机设备,2676.63,1.43%,45.39,43.61,1.77,80,天迈科技,20.01%,41.68
10,仪器仪表,4069.74,1.24%,9.94,8.23,1.7,53,精测电子,7.02%,98.98
11,化学制品,5341.37,1.23%,43.03,39.03,4.0,222,扬帆新材,20.05%,9.52
12,化工合成材料,3982.34,1.23%,22.82,20.1,2.71,109,同益股份,10.94%,23.74
13,黑色家电,3057.5,1.18%,5.98,5.69,0.29,10,四川九洲,5.14%,7.57
14,油气开采及服务,1169.94,1.10%,14.62,14.32,0.3,20,通源石油,4.38%,5.24
15,专用设备,4532.95,0.81%,41.47,41.65,-0.17,201,蓝英装备,20.02%,13.01
16,自动化设备,15530.8,0.74%,41.87,42.32,-0.44,91,固高科技,8.43%,53.0
17,汽车零部件,3914.31,0.68%,57.63,55.82,1.81,229,春兴精工,10.02%,4.83
18,通用设备,4838.66,0.64%,40.45,45.03,-4.58,177,磁谷科技,15.68%,34.45
19,汽车整车,2362.26,0.63%,41.9,38.36,3.55,25,赛力斯,6.97%,43.91
20,综合,2116.56,0.57%,5.14,5.45,-0.31,28,上海三毛,5.40%,10.73
21,计算机应用,10555.3,0.55%,203.48,207.53,-4.05,257,概伦电子,19.98%,29.66
22,包装印刷,3055.89,0.50%,13.56,16.08,-2.53,48,新莱应材,10.72%,35.72
23,石油加工贸易,2898.41,0.49%,10.93,9.18,1.75,28,康普顿,1.97%,9.85
24,金属新材料,7701.8,0.49%,4.71,4.77,-0.05,27,悦安新材,3.71%,43.29
25,通信服务,2084.57,0.40%,31.48,32.49,-1.01,47,普天科技,7.60%,22.8
26,煤炭开采加工,2233.81,0.34%,30.08,28.93,1.15,35,云煤能源,7.38%,4.8
27,保险及其他,1733.27,0.32%,25.63,24.41,1.21,37,翠微股份,5.54%,10.28
28,银行,930.878,0.21%,36.96,36.36,0.59,84,长沙银行,0.86%,8.2
29,电力设备,4471.07,0.17%,157.35,188.88,-31.52,362,智光电气,8.01%,7.82
30,化学原料,2573.46,0.17%,10.42,10.93,-0.51,59,奥克股份,2.05%,7.47
31,小金属,4063.85,0.16%,25.53,28.16,-2.64,42,宝钛股份,3.32%,35.8
32,建筑装饰,3255.95,0.07%,35.7,45.2,-9.5,154,柏诚股份,10.04%,15.13
33,贸易,2384.53,0.07%,2.35,2.38,-0.03,16,云维股份,2.28%,3.14
34,白色家电,4690.17,0.06%,16.37,18.56,-2.19,35,天银机电,7.95%,12.76
35,造纸,1825.12,-0.03%,5.51,6.59,-1.08,24,博汇纸业,1.84%,6.64
36,其他社会服务,15047.7,-0.07%,5.74,6.49,-0.75,66,西测测试,4.50%,37.84
37,工业金属,2351.95,-0.09%,20.12,24.65,-4.54,60,华峰铝业,3.82%,15.77
38,非汽车交运,2224.42,-0.10%,5.79,6.64,-0.86,46,永贵电器,5.75%,13.6
39,美容护理,4677.47,-0.10%,4.89,5.94,-1.05,32,金三江,2.71%,12.91
40,饮料制造,4649.32,-0.14%,45.5,48.83,-3.33,47,泉阳泉,10.07%,7.87
41,互联网电商,6287.86,-0.16%,3.32,4.7,-1.38,21,ST有棵树,4.65%,3.15
42,建筑材料,4357.32,-0.17%,12.3,16.59,-4.3,76,三峡新材,4.64%,3.16
43,农业服务,7059.92,-0.22%,0.83,0.97,-0.14,16,海利生物,0.64%,10.94
44,零售,1542.97,-0.22%,19.92,28.53,-8.61,71,汇嘉时代,10.02%,7.03
45,证券,1296.64,-0.26%,79.11,95.28,-16.18,50,中银证券,1.39%,11.68
46,公路铁路运输,1045.58,-0.26%,5.62,8.31,-2.69,33,申通地铁,6.42%,8.79
47,医疗器械,9714.73,-0.33%,18.16,19.91,-1.75,126,麦克奥迪,6.63%,10.94
48,汽车服务,1009.71,-0.36%,1.46,1.86,-0.4,11,国机汽车,0.54%,7.44
49,纺织制造,1802.55,-0.37%,2.25,2.29,-0.04,35,江苏阳光,2.15%,2.37
0,农产品加工,3772.74,-0.38%,6.13,8.06,-1.93,41,南宁糖业,3.59%,10.09
1,景点及旅游,2826.7,-0.38%,3.19,4.67,-1.48,21,大连圣亚,0.55%,16.55
2,服装家纺,2316.51,-0.38%,5.99,6.32,-0.33,61,海澜之家,3.14%,7.23
3,环保,3294.27,-0.38%,30.01,37.36,-7.35,146,盛剑环境,9.99%,39.62
4,物流,4492.45,-0.41%,10.61,14.07,-3.45,47,上海雅仕,5.57%,13.83
5,小家电,3164.83,-0.48%,3.6,4.62,-1.02,26,利仁科技,2.32%,30.4
6,家用轻工,3236.2,-0.50%,15.13,18.62,-3.49,108,菲林格尔,10.05%,6.79
7,燃气,1271.6,-0.53%,3.62,5.29,-1.67,29,美能能源,3.17%,21.83
8,非金属材料,14503.0,-0.57%,2.72,2.6,0.11,12,联瑞新材,4.12%,45.48
9,化学制药,4585.34,-0.65%,20.29,31.55,-11.26,155,富祥药业,1.75%,11.6
10,食品加工制造,4779.89,-0.67%,13.85,17.39,-3.54,82,康比特,3.85%,7.83
11,电力,1475.75,-0.69%,26.6,38.33,-11.72,95,瀚叶股份,3.29%,2.83
12,贵金属,2042.94,-0.71%,6.37,9.08,-2.71,11,晓程科技,1.06%,10.45
13,中药,3460.14,-0.72%,15.17,22.97,-7.81,73,嘉应制药,0.74%,6.82
14,生物制品,5461.24,-0.74%,10.1,15.32,-5.21,55,艾迪药业,1.74%,10.5
15,医药商业,4656.47,-0.77%,7.7,9.24,-1.53,31,润达医疗,3.42%,15.1
16,教育,4429.32,-0.80%,3.39,5.21,-1.82,19,国脉科技,1.93%,7.41
17,医疗服务,15448.6,-0.82%,18.33,24.76,-6.42,52,奥浦迈,2.12%,45.29
18,种植业与林业,3551.75,-0.87%,4.52,6.78,-2.25,24,福建金森,2.02%,13.62
19,酒店及餐饮,1948.79,-0.91%,2.86,4.38,-1.51,9,首旅酒店,-0.44%,18.12
20,钢铁,1414.76,-1.03%,10.85,15.56,-4.7,46,抚顺特钢,3.80%,10.1
21,传媒,2350.17,-1.13%,83.81,112.65,-28.84,133,幸福蓝海,2.69%,12.61
22,养殖业,2533.01,-1.16%,7.96,13.8,-5.84,27,京基智农,1.46%,19.41
23,机场航运,1939.21,-1.23%,6.74,12.99,-6.25,13,海南机场,0.74%,4.06
24,港口航运,895.528,-1.24%,8.44,15.66,-7.22,36,锦州港,0.61%,3.3
25,厨卫电器,6096.69,-2.08%,1.81,2.81,-1.0,9,日出东方,0.47%,6.34
