,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),公司家数,领涨股,涨跌幅.1,当前价(元)
0,贵金属,2061.15,3.51%,14.41,12.58,1.82,11,中润资源,9.93%,4.87
1,金属新材料,8251.58,2.58%,11.98,9.6,2.38,27,天力复合,19.45%,21.0
2,钢铁,1518.54,2.53%,49.6,46.5,3.11,46,盛德鑫泰,20.00%,40.98
3,电力,1593.54,1.80%,75.75,57.17,18.58,95,兆新股份,10.20%,2.7
4,工业金属,2413.95,1.63%,54.51,50.32,4.19,60,豫光金铅,10.07%,7.65
5,煤炭开采加工,2162.96,1.22%,18.63,17.82,0.81,35,新大洲A,5.75%,2.76
6,油气开采及服务,1155.66,1.11%,12.77,10.57,2.2,20,中曼石油,4.33%,21.2
7,燃气,1297.05,0.85%,3.5,2.9,0.59,29,新奥股份,2.28%,18.82
8,仪器仪表,4082.4,0.82%,7.82,8.39,-0.56,52,禾信仪器,10.95%,34.85
9,石油加工贸易,2997.64,0.72%,14.61,11.05,3.56,27,沈阳化工,2.06%,4.47
10,教育,4665.33,0.64%,5.97,6.49,-0.52,19,*ST三盛,6.00%,3.18
11,光学光电子,3168.67,0.64%,36.53,33.81,2.72,105,东旭光电,10.21%,2.05
12,小金属,4352.77,0.58%,34.92,39.1,-4.18,42,东方钽业,9.96%,13.58
13,通信设备,4054.46,0.57%,113.76,98.95,14.81,88,永鼎股份,9.94%,6.97
14,造纸,1911.6,0.51%,7.57,6.7,0.87,24,青山纸业,10.00%,3.3
15,港口航运,947.7439999999999,0.46%,15.32,12.73,2.59,36,招商轮船,3.13%,6.59
16,汽车整车,2624.77,0.39%,91.11,98.75,-7.65,25,力帆科技,10.10%,4.36
17,综合,2219.93,0.34%,9.16,9.49,-0.32,28,*ST同达,4.36%,14.84
18,证券,1351.63,0.31%,305.02,328.79,-23.77,50,财达证券,10.06%,8.86
19,公路铁路运输,1085.85,0.26%,5.72,7.28,-1.56,33,大众交通,1.22%,3.33
20,通信服务,1991.13,0.21%,20.04,21.11,-1.07,47,华星创业,7.92%,14.3
21,半导体及元件,7286.73,0.19%,125.07,127.81,-2.74,196,圣邦股份,5.92%,89.39
22,消费电子,5879.31,0.17%,57.71,55.55,2.16,99,信音电子,9.21%,24.91
23,计算机设备,2629.75,0.13%,70.17,59.71,10.46,80,古鳌科技,12.81%,27.3
24,非汽车交运,2294.2,0.10%,7.01,7.53,-0.52,46,威奥股份,7.49%,7.61
25,电子化学品,31030.6,0.07%,7.03,7.67,-0.64,34,ST瑞德,4.79%,2.19
26,房地产服务,3330.75,0.02%,4.95,6.8,-1.85,9,国创高新,9.97%,4.08
27,其他社会服务,14922.5,0.02%,3.86,6.35,-2.49,66,国缆检测,20.00%,43.62
28,贸易,2507.37,-0.01%,5.16,4.91,0.25,16,中信金属,3.32%,9.34
29,计算机应用,10421.3,-0.01%,198.46,202.04,-3.58,256,慧博云通,20.00%,27.6
30,物流,4658.32,-0.01%,17.88,17.34,0.54,47,长久物流,5.26%,12.41
31,化工合成材料,4001.41,-0.12%,18.15,19.61,-1.46,107,科创新源,6.79%,21.07
32,电力设备,4757.06,-0.19%,162.11,214.79,-52.68,361,华西能源,10.14%,3.15
33,机场航运,2173.36,-0.21%,11.69,12.67,-0.98,13,海航控股,1.80%,1.7
34,化学原料,2638.76,-0.22%,8.4,12.5,-4.1,58,佳先股份,2.90%,4.96
35,黑色家电,3120.08,-0.30%,3.71,4.51,-0.8,10,ST同洲,2.09%,1.95
36,生物制品,5876.7,-0.30%,23.82,27.38,-3.56,55,康辰药业,6.02%,35.77
37,白色家电,4711.77,-0.35%,14.22,17.41,-3.19,34,海信家电,3.25%,23.81
38,化学制品,5442.6,-0.36%,41.63,52.66,-11.03,222,渝三峡A,9.68%,6.46
39,银行,968.4989999999999,-0.38%,57.99,67.18,-9.19,84,青农商行,1.33%,3.04
40,农业服务,7392.78,-0.39%,1.44,1.91,-0.46,16,贤丰控股,4.36%,3.59
41,房地产开发,1818.48,-0.40%,132.76,160.78,-28.02,98,阳光股份,10.03%,3.62
42,专用设备,4565.32,-0.40%,40.35,53.39,-13.05,201,精智达,9.99%,90.3
43,自动化设备,15538.4,-0.41%,27.73,30.53,-2.8,90,荣旗科技,7.25%,85.81
44,国防军工,1653.11,-0.42%,70.74,93.26,-22.52,139,国光电气,10.66%,87.8
45,纺织制造,1840.39,-0.47%,4.14,5.31,-1.17,34,航民股份,3.97%,8.64
46,其他电子,8834.58,-0.49%,13.97,15.62,-1.65,36,商络电子,5.40%,8.39
47,环保,3329.7,-0.52%,24.9,32.12,-7.22,145,法尔胜,10.00%,5.39
48,通用设备,4828.52,-0.55%,32.08,37.93,-5.85,174,金通灵,7.52%,3.29
49,厨卫电器,6096.02,-0.58%,1.86,2.01,-0.15,9,日出东方,1.62%,6.28
0,包装印刷,3061.53,-0.61%,14.11,17.59,-3.49,48,珠海中富,2.20%,3.25
1,医疗服务,16373.0,-0.65%,43.91,40.53,3.39,51,毕得医药,5.92%,77.53
2,种植业与林业,3737.27,-0.66%,8.38,12.2,-3.81,24,万辰生物,3.69%,39.3
3,食品加工制造,5021.66,-0.70%,24.4,36.28,-11.89,82,惠发食品,10.03%,8.01
4,汽车服务,1081.62,-0.71%,5.52,5.56,-0.04,11,德众汽车,1.46%,2.79
5,保险及其他,1840.61,-0.72%,48.86,56.95,-8.09,38,南华期货,2.48%,14.07
6,非金属材料,14386.2,-0.78%,5.18,7.69,-2.51,12,索通发展,1.43%,19.1
7,传媒,2422.11,-0.79%,92.42,110.75,-18.33,134,卓创资讯,2.73%,56.14
8,养殖业,2675.24,-0.82%,14.44,20.93,-6.49,27,中水渔业,2.25%,10.89
9,农产品加工,3966.32,-0.83%,12.08,17.34,-5.27,41,海大集团,1.73%,51.23
10,饮料制造,4698.82,-0.87%,73.73,88.43,-14.7,47,*ST西发,4.12%,5.82
11,建筑材料,4497.9,-0.87%,27.35,36.21,-8.85,76,韩建河山,1.46%,6.24
12,化学制药,4763.1,-0.89%,51.56,68.98,-17.42,154,迪哲医药,4.67%,36.09
13,服装家纺,2407.44,-0.90%,13.41,18.86,-5.45,62,泰慕士,8.16%,35.8
14,美容护理,4786.41,-0.91%,18.09,17.58,0.51,32,敷尔佳,26.98%,70.7
15,医疗器械,10232.6,-0.94%,28.89,38.1,-9.21,125,辰光医疗,5.82%,9.09
16,家用轻工,3218.9,-1.04%,14.44,18.92,-4.48,108,萃华珠宝,4.18%,14.72
17,景点及旅游,2930.75,-1.11%,5.88,10.58,-4.71,21,祥源文旅,4.25%,8.09
18,建筑装饰,3448.82,-1.18%,76.45,89.49,-13.03,155,*ST围海,5.15%,2.86
19,汽车零部件,3947.53,-1.22%,80.96,99.35,-18.39,227,浙江荣泰,130.88%,35.37
20,小家电,3243.17,-1.23%,3.62,5.42,-1.8,26,ST德豪,2.16%,1.42
21,互联网电商,6569.77,-1.23%,10.6,13.72,-3.12,21,国联股份,4.28%,39.92
22,医药商业,4679.61,-1.23%,7.38,10.51,-3.14,31,塞力医疗,1.66%,11.0
23,中药,3514.72,-1.30%,23.2,37.67,-14.46,74,*ST吉药,5.20%,2.43
24,零售,1661.44,-1.44%,48.23,70.53,-22.3,71,云南城投,10.19%,2.92
25,酒店及餐饮,2120.94,-2.00%,13.11,21.9,-8.79,9,金陵饭店,5.28%,10.56
