,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),公司家数,领涨股,涨跌幅.1,当前价(元)
16,半导体及元件,7213.16,-0.96%,85.35,107.32,-21.97,197,龙芯中科,6.02%,106.0
17,计算机应用,10766.3,-0.97%,172.13,215.44,-43.31,257,浩云科技,8.12%,6.66
18,非汽车交运,2257.82,-1.00%,5.34,7.25,-1.91,46,威奥股份,10.07%,7.54
19,厨卫电器,5903.24,-1.04%,0.8,1.43,-0.64,9,奥普家居,-0.17%,11.72
20,保险及其他,1872.01,-1.11%,39.26,46.89,-7.63,38,渤海租赁,2.90%,2.84
21,零售,1617.72,-1.15%,25.05,35.36,-10.31,71,友好集团,3.47%,7.76
22,房地产开发,1770.29,-1.39%,57.42,82.56,-25.14,97,京能置业,9.96%,5.85
23,汽车整车,2525.79,-1.81%,34.77,57.41,-22.64,25,江铃汽车,0.56%,18.11
24,证券,1429.62,-2.10%,333.64,343.96,-10.32,50,中金公司,6.76%,44.2
25,房地产服务,3259.77,-2.65%,2.68,4.19,-1.51,8,招商积余,-0.56%,15.88
