,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),公司家数,领涨股,涨跌幅.1,当前价(元)
0,燃气,1316.91,5.21%,13.72,10.06,3.67,29,贵州燃气,10.05%,9.31
1,油气开采及服务,1170.61,3.90%,27.77,16.83,10.94,20,首华燃气,19.97%,14.78
2,机场航运,2180.06,3.58%,27.19,12.87,14.32,13,华夏航空,7.76%,9.3
3,证券,1455.82,2.58%,303.03,261.13,41.89,50,太平洋,10.04%,4.93
4,港口航运,935.0260000000001,2.32%,18.94,10.41,8.52,36,招商南油,10.10%,3.49
5,煤炭开采加工,2127.75,2.01%,30.22,17.56,12.67,35,兖矿能源,5.54%,18.1
6,石油加工贸易,2947.04,1.70%,10.61,7.43,3.18,28,润贝航科,4.42%,37.57
7,景点及旅游,2875.79,1.70%,6.81,5.12,1.69,21,*ST凯撒,4.95%,4.88
8,物流,4562.54,1.38%,7.14,6.28,0.86,47,长久物流,6.27%,12.88
9,公路铁路运输,1059.45,1.05%,4.13,3.01,1.12,33,东莞控股,2.15%,9.98
10,贸易,2447.93,1.03%,2.6,1.81,0.8,16,云维股份,3.23%,2.88
11,酒店及餐饮,2028.75,1.02%,4.67,3.95,0.73,9,西安饮食,3.22%,14.12
12,包装印刷,3048.67,1.00%,14.39,13.59,0.8,48,南王科技,11.85%,20.11
13,非金属材料,14374.2,0.90%,2.7,2.2,0.5,12,凌玮科技,4.88%,35.06
14,服装家纺,2318.35,0.84%,6.63,5.92,0.72,62,ST贵人,4.76%,1.98
15,化工合成材料,3929.24,0.78%,13.51,13.57,-0.06,107,仁信新材,20.00%,27.96
16,化学原料,2593.35,0.74%,7.19,6.24,0.94,58,中毅达,6.76%,13.27
17,造纸,1859.38,0.72%,4.08,4.18,-0.1,24,松炀资源,5.97%,21.67
18,种植业与林业,3741.97,0.72%,9.32,7.3,2.02,24,神农科技,2.96%,4.18
19,厨卫电器,5908.46,0.70%,1.09,1.18,-0.09,9,日出东方,2.26%,6.34
20,小家电,3225.47,0.62%,4.29,4.27,0.02,26,彩虹集团,5.19%,21.07
21,保险及其他,1872.01,0.62%,30.13,28.81,1.32,38,仁东控股,4.36%,6.47
22,纺织制造,1777.85,0.60%,2.68,3.0,-0.32,34,*ST新纺,3.60%,2.3
23,家用轻工,3117.45,0.59%,9.33,9.55,-0.22,108,康力源,6.34%,45.62
24,化学制品,5365.8,0.58%,40.32,43.25,-2.92,222,天晟新材,13.18%,9.53
25,通用设备,4763.18,0.58%,25.74,28.2,-2.47,174,开创电气,19.99%,36.55
26,食品加工制造,5016.67,0.54%,21.83,22.81,-0.99,82,麦趣尔,9.99%,13.54
27,房地产服务,3258.05,0.52%,2.92,2.6,0.32,8,我爱我家,1.94%,3.15
28,其他电子,8676.93,0.50%,7.43,9.24,-1.81,37,厦门信达,10.00%,6.93
