,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),公司家数,领涨股,涨跌幅.1,当前价(元)
0,医疗服务,16529.2,3.54%,63.42,47.39,16.03,51,金凯生科,16.29%,92.1
1,生物制品,5771.67,2.47%,36.28,29.56,6.72,55,昊帆生物,20.00%,98.96
2,医药商业,4843.19,2.19%,19.81,18.87,0.94,31,国科恒泰,11.20%,22.83
3,化学制药,4739.13,1.88%,75.94,64.43,11.51,154,科源制药,20.00%,39.6
4,医疗器械,9948.52,1.47%,37.58,31.22,6.36,126,港通医疗,20.00%,42.42
5,中药,3576.35,0.77%,44.94,40.99,3.95,73,华森制药,10.03%,17.88
6,银行,959.695,0.15%,32.5,29.32,3.18,84,宁波银行,1.25%,28.25
7,非金属材料,14245.5,0.03%,1.57,1.62,-0.05,12,天马新材,1.30%,7.81
8,农业服务,7225.67,-0.01%,1.47,1.22,0.25,16,大禹节水,2.72%,5.29
9,计算机应用,10750.0,-0.15%,191.5,214.6,-23.1,257,新晨科技,20.03%,15.34
10,美容护理,4628.56,-0.17%,8.42,8.65,-0.23,32,敷尔佳,6.00%,59.0
11,建筑材料,4388.27,-0.30%,15.2,18.01,-2.81,76,韩建河山,10.05%,6.57
12,房地产开发,1764.46,-0.33%,65.59,66.27,-0.69,97,天房发展,10.21%,2.59
13,钢铁,1452.57,-0.34%,10.18,11.26,-1.08,46,重庆钢铁,1.79%,1.71
14,环保,3261.2,-0.45%,27.86,31.08,-3.21,145,碧兴物联,93.80%,70.0
15,小家电,3205.47,-0.45%,3.21,3.95,-0.74,26,鸿智科技,6.22%,12.12
16,国防军工,1619.15,-0.48%,36.02,45.83,-9.81,139,纳睿雷达,3.85%,55.25
17,港口航运,913.857,-0.49%,4.27,6.06,-1.79,36,兴通股份,1.77%,20.64
18,汽车整车,2512.18,-0.54%,42.39,48.77,-6.38,25,众泰汽车,5.15%,4.49
19,房地产服务,3241.3,-0.57%,3.32,3.37,-0.05,8,特发服务,1.96%,31.8
20,饮料制造,4672.58,-0.58%,45.41,40.52,4.89,47,*ST西发,4.99%,7.16
21,化学制品,5334.97,-0.61%,38.88,42.89,-4.01,222,三美股份,7.56%,31.6
22,厨卫电器,5867.14,-0.61%,0.79,1.1,-0.31,9,亿田智能,1.12%,37.75
23,保险及其他,1860.43,-0.62%,28.54,33.58,-5.03,38,拉卡拉,1.68%,20.57
24,建筑装饰,3362.97,-0.67%,45.1,52.42,-7.32,155,深水规院,10.88%,21.6
25,电子化学品,30627.3,-0.71%,5.24,7.49,-2.25,34,国瓷材料,2.89%,29.87
26,证券,1419.21,-0.73%,198.62,223.54,-24.91,50,红塔证券,3.78%,9.06
27,其他社会服务,15059.5,-0.78%,5.41,6.21,-0.8,66,谱尼测试,6.12%,22.19
28,白色家电,4596.2,-0.78%,14.67,14.23,0.45,34,宏昌科技,9.16%,33.5
29,电力设备,4671.88,-0.79%,123.13,145.28,-22.15,361,盟固利,1742.48%,98.02
30,计算机设备,2679.1,-0.79%,53.22,78.54,-25.32,80,恒银科技,9.99%,8.59
31,小金属,4273.29,-0.80%,17.39,24.96,-7.57,42,东方钽业,3.15%,13.41
32,造纸,1846.08,-0.82%,4.11,5.35,-1.24,24,荣晟环保,0.52%,15.61
33,化学原料,2574.26,-0.83%,5.75,9.26,-3.51,58,三友化工,1.18%,6.0
34,物流,4500.25,-0.84%,6.13,7.03,-0.9,47,嘉友国际,1.05%,17.31
35,公路铁路运输,1048.39,-0.86%,3.18,4.42,-1.24,33,京沪高铁,0.74%,5.41
36,黑色家电,3101.11,-0.88%,2.1,3.58,-1.47,10,极米科技,1.20%,144.1
37,零售,1603.23,-0.90%,18.82,27.8,-8.98,71,赫美集团,10.02%,6.04
38,油气开采及服务,1126.64,-0.90%,4.84,6.83,-1.99,20,ST洲际,1.14%,2.67
39,机场航运,2104.73,-0.93%,4.01,6.7,-2.69,13,上海机场,0.11%,46.19
40,煤炭开采加工,2085.8,-0.93%,7.88,13.07,-5.19,35,新集能源,-0.23%,4.27
41,食品加工制造,4989.96,-0.94%,17.03,23.0,-5.97,82,百合股份,10.00%,47.07
42,石油加工贸易,2897.66,-0.98%,6.78,7.38,-0.6,28,和顺石油,2.58%,20.3
43,专用设备,4447.23,-0.99%,27.51,39.89,-12.37,202,福事特,4.50%,36.9
44,贸易,2422.94,-1.00%,1.51,2.67,-1.15,16,玉龙股份,0.00%,10.84
45,服装家纺,2299.07,-1.02%,5.47,6.81,-1.34,62,ST贵人,5.00%,1.89
46,化工合成材料,3898.66,-1.02%,12.74,16.44,-3.7,107,蓝晓科技,7.84%,62.6
47,包装印刷,3018.45,-1.05%,12.18,17.37,-5.19,48,集友股份,6.47%,11.03
48,家用轻工,3099.17,-1.07%,8.03,11.14,-3.11,108,森鹰窗业,2.38%,31.42
49,通用设备,4735.88,-1.08%,23.72,33.54,-9.83,174,冠龙节能,5.04%,18.35
0,非汽车交运,2232.79,-1.11%,5.32,7.79,-2.48,46,威奥股份,2.92%,7.76
1,综合,2149.87,-1.15%,2.64,3.74,-1.1,28,顺发恒业,0.00%,3.12
2,金属新材料,8039.02,-1.16%,7.45,8.89,-1.44,27,金力永磁,1.72%,18.32
3,纺织制造,1767.21,-1.16%,2.77,3.59,-0.82,34,*ST新纺,1.37%,2.22
4,互联网电商,6459.4,-1.18%,6.85,7.68,-0.83,22,国联股份,4.71%,41.36
5,电力,1542.02,-1.23%,22.39,38.03,-15.64,95,*ST惠天,1.17%,2.6
6,燃气,1251.63,-1.26%,1.41,2.62,-1.22,29,胜通能源,0.00%,17.07
7,半导体及元件,7121.59,-1.27%,71.44,104.84,-33.4,197,阿石创,3.40%,27.35
8,农产品加工,3966.3,-1.28%,9.57,16.19,-6.63,41,路斯股份,2.38%,8.6
9,种植业与林业,3715.25,-1.28%,5.31,9.57,-4.26,24,平潭发展,0.78%,2.59
10,通信服务,2024.54,-1.29%,17.05,24.45,-7.4,47,世纪恒通,3.26%,50.03
11,工业金属,2353.0,-1.32%,21.42,29.94,-8.51,60,明泰铝业,1.54%,15.12
12,仪器仪表,3989.15,-1.39%,4.08,5.85,-1.76,52,海能技术,1.30%,12.5
13,光学光电子,3105.73,-1.41%,23.96,39.66,-15.7,106,民爆光电,5.31%,57.9
14,汽车零部件,3856.97,-1.43%,52.13,67.55,-15.42,227,新泉股份,6.18%,54.62
15,其他电子,8634.03,-1.49%,8.75,13.7,-4.94,36,雅创电子,4.49%,49.11
