代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
BK1031,光伏设备,1747.41,2.68,3023290816,8.98,1743962560,5.18,1279328256,3.8,-723924224,-2.15,-2297944576,-6.82
BK0485,旅游酒店,15836.42,1.46,1101600960,10.11,926270944,8.5,175330016,1.6099999999999999,-416432864,-3.8200000000000003,-685168096,-6.29
BK1033,电池,1112.64,1.3900000000000001,961424896,6.48,375878912,2.5300000000000002,585545984,3.95,-348351232,-2.35,-606638976,-4.09
BK0486,文化传媒,9123.24,2.03,645326688,2.7800000000000002,410543456,1.77,234783232,1.01,76126464,0.33,-721007872,-3.1
BK0727,医疗服务,1205.48,0.46,331140432,4.51,166613088,2.27,164527344,2.24,-159937120,-2.18,-171203328,-2.33
BK0477,酿酒行业,60774.18,0.8,308118000,2.4,317868096,2.47,-9750096,-0.08,83602176,0.65,-391720048,-3.05
BK1015,能源金属,583.17,1.9300000000000002,261427856,3.8200000000000003,97345984,1.42,164081872,2.4,-79414240,-1.16,-182013632,-2.66
BK0538,化学制品,22401.46,0.81,258273504,1.8,108767024,0.76,149506480,1.04,85484032,0.59,-342879488,-2.39
BK1046,游戏,1356.33,1.47,239261712,1.8399999999999999,158001552,1.21,81260160,0.62,27731200,0.21,-266993024,-2.05
BK0425,工程建设,21016.76,0.45,164352880,1.75,165255664,1.76,-902784,-0.01,-148052048,-1.58,-16521200,-0.18
BK0726,工程咨询服务,613.28,1.5,102878468,3.67,16545956,0.59,86332512,3.08,172144,0.01,-99287536,-3.54
BK1032,风电设备,1184.94,0.92,99426280,3.33,61521832,2.06,37904448,1.27,38539824,1.29,-137966112,-4.63
BK0420,航空机场,4861.16,0.01,62522310,2.5700000000000003,48934758,2.01,13587552,0.56,-23926544,-0.98,-38595760,-1.5899999999999999
BK0740,教育,686.3,0.05,58251607,3.04,49515815,2.59,8735792,0.46,16140416,0.84,-74392016,-3.89
BK1034,电源设备,1979.56,0.58,56664720,1.19,-7590272,-0.16,64254992,1.35,102213584,2.15,-158878304,-3.34
BK1043,专业服务,995.86,-0.11,43826554,2.24,30196666,1.54,13629888,0.7000000000000001,56362976,2.88,-100378752,-5.13
BK1020,非金属材料,1008.29,0.63,36737288,1.23,21195384,0.71,15541904,0.52,47399776,1.5899999999999999,-85106928,-2.85
BK0457,电网设备,22962.3,0.6000000000000001,34647696,0.23,67935968,0.45,-33288272,-0.22,54872064,0.36,-87863040,-0.58
BK0480,航天航空,40883.4,0.52,34181360,0.53,-137234240,-2.11,171415600,2.64,139962112,2.16,-178813072,-2.75
BK0429,交运设备,7962.56,1.04,18451392,0.39,76115776,1.5899999999999999,-57664384,-1.21,90111232,1.88,-110494160,-2.31
BK0546,玻璃玻纤,36449.42,0.55,16215706,0.85,-2004118,-0.1,18219824,0.9500000000000001,14641248,0.77,-32229792,-1.69
BK1041,医疗器械,881.08,0.04,13324944,0.19,64775088,0.9,-51450144,-0.72,18425392,0.26,-34521088,-0.48
BK0738,多元金融,519.39,0.99,2665511,0.15,13517351,0.77,-10851840,-0.62,-14054336,-0.8,11388816,0.65
BK1017,采掘行业,1025.68,0.29,-2461459,-0.19,-25223609,-1.97,22762150,1.78,-12023280,-0.9400000000000001,14484752,1.13
BK0440,家用轻工,34910.26,0.58,-6239015,-0.4,5038789,0.32,-11277804,-0.72,27434560,1.75,-21195552,-1.35
BK0732,贵金属,894.52,0.91,-7313184,-0.21,-39608768,-1.1400000000000001,32295584,0.93,46026112,1.32,-38712928,-1.11
BK0476,装修建材,13409.32,0.14,-7797399,-0.17,-44483239,-0.97,36685840,0.8,9304848,0.2,-1507440,-0.03
BK0422,物流行业,5988.88,0.34,-10907984,-0.24,81315152,1.82,-92223136,-2.06,-46881728,-1.05,57690032,1.29
BK0730,农药兽药,1073.03,0.67,-11156876,-0.45,17359620,0.7000000000000001,-28516496,-1.15,-39510464,-1.5899999999999999,49314704,1.99
BK0734,珠宝首饰,431.19,0.30000000000000004,-11420815,-1.44,-16733315,-2.11,5312500,0.67,6097049,0.77,5323776,0.67
BK1044,生物制品,853.05,0.0,-12754368,-0.2,-43424656,-0.6900000000000001,30670288,0.49,142976848,2.27,-132606128,-2.1
BK1035,美容护理,831.05,-0.19,-15901024,-0.75,183168,0.01,-16084192,-0.75,5360976,0.25,10540064,0.49
BK0421,铁路公路,6455.61,0.78,-27367517,-2.01,-1017289,-0.07,-26350228,-1.94,8499280,0.63,18868240,1.3900000000000001
BK1045,房地产服务,912.61,-0.24,-38460067,-3.96,-10802447,-1.11,-27657620,-2.85,-3260528,-0.34,41720592,4.3
BK1018,橡胶制品,1051.69,-0.17,-39278058,-1.56,11124150,0.44,-50402208,-2.0,23492224,0.93,5212272,0.21
BK0427,公用事业,8176.78,2.37,-40433662,-1.43,5384674,0.19,-45818336,-1.62,-8275424,-0.29,48709088,1.72
BK0733,包装材料,919.91,-0.17,-42548099,-2.95,1150108,0.08,-43698207,-3.03,-33138512,-2.3,75379040,5.23
BK1028,燃气,1380.58,0.63,-42687421,-3.09,-9849352,-0.71,-32838069,-2.38,-24441968,-1.77,66940016,4.84
BK0725,装修装饰,441.54,-0.05,-48687785,-3.47,-31688703,-2.26,-16999082,-1.21,54653616,3.89,-6678864,-0.48
BK0731,化肥行业,1224.89,1.3900000000000001,-54883056,-1.9,-3706352,-0.13,-51176704,-1.77,-27253984,-0.9400000000000001,82137056,2.84
BK1042,医药商业,1082.27,0.37,-56984142,-3.34,-4662776,-0.27,-52321366,-3.07,78326544,4.6,-21342400,-1.25
BK0424,水泥建材,25124.71,0.23,-59377775,-3.9,-75639647,-4.96,16261872,1.07,28731280,1.88,30646496,2.01
BK1019,化学原料,786.03,0.27,-66438272,-1.26,-67694240,-1.28,1255968,0.02,-28373152,-0.54,95580624,1.81
BK0479,钢铁行业,6953.89,-0.07,-68163136,-2.24,-30586544,-1.01,-37576592,-1.24,-794128,-0.03,68802896,2.27
BK0728,环保行业,400.2,0.39,-84078108,-1.8,-21239948,-0.45,-62838160,-1.34,-38415520,-0.8200000000000001,122044704,2.61
BK0739,工程机械,1129.35,-0.32,-85179500,-2.7,-1726012,-0.05,-83453488,-2.65,92328048,2.93,-9246992,-0.29
BK0482,商业百货,14525.11,1.05,-88450016,-1.65,-8360352,-0.16,-80089664,-1.49,-3604688,-0.07,92054704,1.72
BK0539,综合行业,8574.76,0.03,-98656578,-7.0,-49767890,-3.5300000000000002,-48888688,-3.47,4468848,0.32,94187744,6.68
BK0436,纺织服装,10517.04,0.03,-120665213,-3.04,-72997517,-1.8399999999999999,-47667696,-1.2,15039392,0.38,105502752,2.66
BK1016,汽车服务,1052.87,-0.28,-134341962,-9.26,-137341802,-9.46,2999840,0.21,97419984,6.71,35698624,2.46
BK1039,电子化学品,1437.57,-0.67,-134429865,-6.75,-60827257,-3.05,-73602608,-3.69,10318032,0.52,124111824,6.23
BK0471,化纤行业,13291.89,0.18,-167934128,-5.0,-37017824,-1.1,-130916304,-3.9,16916272,0.5,151159712,4.5
BK0484,贸易行业,8417.42,-0.30000000000000004,-169484950,-4.84,-51542662,-1.47,-117942288,-3.37,-9913104,-0.28,178067168,5.09
BK0465,化学制药,27925.53,0.03,-180101248,-1.75,-46235072,-0.45,-133866176,-1.3,65542272,0.64,112513648,1.09
BK0454,塑料制品,10719.61,-0.19,-185685148,-4.52,-112435948,-2.74,-73249200,-1.78,28175520,0.6900000000000001,155196992,3.7800000000000002
BK0458,仪器仪表,12729.12,-0.54,-203321365,-4.43,-132193269,-2.88,-71128096,-1.55,76734032,1.67,122363984,2.67
