代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
BK0473,证券,129396.52,0.87,958820096,2.35,1213270784,2.9699999999999998,-254450688,-0.62,-1163722752,-2.85,204902656,0.5
BK0486,文化传媒,8917.77,2.4,915898304,2.44,1072997568,2.85,-157099264,-0.42,-697263616,-1.85,-218672384,-0.58
BK0477,酿酒行业,62641.19,1.69,884356096,4.83,510824208,2.79,373531888,2.04,-444722176,-2.43,-439633840,-2.4
BK1031,光伏设备,1440.17,2.13,868660464,4.29,526569712,2.6,342090752,1.69,-464206336,-2.29,-407414272,-2.01
BK1036,半导体,1148.17,1.18,791860352,2.9,749979008,2.74,41881344,0.15,-523820800,-1.92,-268258816,-0.98
BK1046,游戏,1182.26,2.06,578552832,4.43,339468336,2.6,239084496,1.83,-399934720,-3.06,-178618096,-1.37
BK0448,通信设备,10519.22,-0.23,485977376,1.9500000000000002,639825952,2.5700000000000003,-153848576,-0.62,-517060096,-2.07,30447104,0.12
BK0735,计算机设备,971.13,0.25,418517040,2.68,363023376,2.32,55493664,0.36,-239914240,-1.54,-179503872,-1.15
BK1037,消费电子,1008.59,0.25,279303568,1.8599999999999999,358376224,2.39,-79072656,-0.53,-393376256,-2.62,113958144,0.76
BK0438,食品饮料,23446.05,1.77,260933008,2.12,389428336,3.16,-128495328,-1.04,-235864272,-1.9100000000000001,-27293952,-0.22
BK0727,医疗服务,1125.86,2.21,229546912,2.67,109757648,1.27,119789264,1.3900000000000001,-73800384,-0.86,-155746544,-1.81
BK0732,贵金属,977.47,4.87,194647200,2.45,44261488,0.56,150385712,1.9,93576176,1.18,-288223376,-3.63
BK1035,美容护理,815.24,1.53,80114012,2.74,42035452,1.44,38078560,1.3,-77872160,-2.66,-2241856,-0.08
BK0471,化纤行业,12620.65,-0.37,54200092,2.18,30333388,1.22,23866704,0.96,9869920,0.4,-67739472,-2.73
BK0456,家电行业,15528.89,0.11,25891040,0.28,125312640,1.37,-99421600,-1.09,-26165296,-0.29,-157104,0.0
BK1044,生物制品,789.55,1.03,19427392,0.25,30381472,0.38,-10954080,-0.14,-119528672,-1.51,101912864,1.29
BK0459,电子元件,17228.31,-0.01,18927712,0.12,-41827936,-0.26,60755648,0.38,-247094272,-1.53,227128832,1.4
BK0440,家用轻工,33035.6,0.01,13386284,0.91,9923491,0.67,3462793,0.24,-42949856,-2.92,29563568,2.01
BK0734,珠宝首饰,418.57,1.87,-3142257,-0.29,-21432794,-1.9500000000000002,18290537,1.6600000000000001,8562912,0.78,-5420656,-0.49
BK1018,橡胶制品,1002.44,0.6900000000000001,-10277798,-0.45,9636826,0.42,-19914624,-0.88,-114895616,-5.05,118878688,5.22
BK0465,化学制药,26093.73,0.62,-12406608,-0.09,46334160,0.35000000000000003,-58740768,-0.44,163369728,1.22,-156843264,-1.17
BK0478,有色金属,13753.69,0.63,-15922768,-0.18,32997776,0.38,-48920544,-0.5700000000000001,-60621072,-0.7000000000000001,76495408,0.89
BK0725,装修装饰,431.01,-1.49,-18339318,-0.88,28273994,1.3599999999999999,-46613312,-2.24,-33745760,-1.62,51482576,2.47
BK1030,电机,1509.91,-0.36,-22091297,-1.0,-7316913,-0.33,-14774384,-0.67,-36884928,-1.6800000000000002,58147344,2.65
BK0450,航运港口,8749.72,-1.06,-22442048,-0.65,31908960,0.93,-54351008,-1.58,-40708784,-1.18,62512304,1.82
BK0733,包装材料,883.79,0.15,-24609441,-1.9300000000000002,1246072,0.1,-25855513,-2.03,-5222528,-0.41000000000000003,29898736,2.35
BK0730,农药兽药,1009.15,0.45,-32833863,-1.58,-8827639,-0.43,-24006224,-1.16,-38431824,-1.85,70776352,3.42
BK1015,能源金属,498.46,0.61,-34083461,-0.93,17842283,0.49,-51925744,-1.42,-70545520,-1.9300000000000002,104628976,2.86
BK0464,石油行业,4903.35,-0.52,-36225712,-1.25,-68681472,-2.38,32455760,1.12,-18419232,-0.64,54644944,1.8900000000000001
BK0539,综合行业,8242.85,-0.23,-36743092,-2.8,-18220836,-1.3900000000000001,-18522256,-1.4100000000000001,26157104,2.0,10585984,0.81
BK0740,教育,650.68,0.06,-41270765,-2.24,-24483453,-1.33,-16787312,-0.91,6618480,0.36,34652288,1.88
