代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比),UNKOWN2,UNKNOWN
sz000625,长安汽车,12.85,3.46,530346736,10.67,476534016,9.58,53812720,1.08,-228071776,-4.59,-302274960,-6.08,1687764861,0
sz300315,掌趣科技,6.78,8.31,401126224,12.18,295906800,8.98,105219424,3.19,-233495200,-7.09,-167631040,-5.09,1687764852,0
sz002812,恩捷股份,97.27,7.68,293396208,12.37,36317248,1.53,257078960,10.84,-137879680,-5.82,-155516528,-6.5600000000000005,1687764861,0
sz002475,立讯精密,30.35,-0.16,194354799,7.54,135459263,5.26,58895536,2.29,-30751760,-1.19,-163603024,-6.35,1687764861,0
sh601857,中国石油,7.46,-0.8,176336376,15.01,-29876872,-2.54,206213248,17.55,-113307692,-9.64,-63028669,-5.37,1687766386,1
sh688981,中芯国际,50.97,0.33,160552672,9.76,35741072,2.17,124811600,7.59,-43867888,-2.67,-116684781,-7.09,1687766399,1
sz000600,建投能源,7.62,9.96,151901615,36.89,143995869,34.97,7905746,1.92,-48670204,-11.82,-103231412,-25.07,1687764846,0
sh600520,文一科技,15.53,9.99,140885252,38.21,108984071,29.55,31901181,8.65,-62291051,-16.89,-78594201,-21.31,1687766387,1
sz002585,双星新材,12.5,10.04,129043408,7.92,195108592,11.97,-66065184,-4.05,-69000240,-4.23,-60043168,-3.68,1687764894,0
sh688543,C国科,52.98,4.54,127558431,14.78,68317311,7.92,59241120,6.87,-13752384,-1.5899999999999999,-113806037,-13.19,1687766377,1
sh600021,上海电力,11.09,4.52,110172600,8.44,50393704,3.86,59778896,4.58,-27965776,-2.14,-82206832,-6.3,1687766385,1
sz000725,京东方Ａ,3.99,0.25,110150144,7.4,150222864,10.09,-40072720,-2.69,-40917536,-2.75,-69232619,-4.65,1687764897,0
sh600941,中国移动,93.04,0.77,104104815,8.29,75498655,6.01,28606160,2.2800000000000002,-31879536,-2.54,-72225274,-5.75,1687766373,1
sh601127,赛力斯,40.92,6.7,101242000,2.35,252613104,5.86,-151371104,-3.51,-131320608,-3.05,30078608,0.7000000000000001,1687766395,1
sh600310,桂东电力,5.15,10.04,100925104,11.1,97471972,10.72,3453132,0.38,-46793943,-5.15,-54131163,-5.95,1687766380,1
sh688700,东威科技,85.85,4.93,100743984,9.72,32607664,3.15,68136320,6.57,-39619840,-3.8200000000000003,-61124141,-5.9,1687766372,1
sh688036,传音控股,145.88,-1.6099999999999999,92904024,11.08,39022927,4.65,53881097,6.42,-28448736,-3.39,-64455286,-7.69,1687766387,1
sz001896,豫能控股,4.96,9.98,90579768,35.74,83979879,33.13,6599889,2.6,-45375117,-17.9,-45204651,-17.84,1687764882,0
sh603496,恒为科技,18.61,9.99,88665737,14.58,60371594,9.93,28294143,4.65,-50081216,-8.24,-38584522,-6.35,1687766381,1
sh688599,天合光能,43.18,2.2,87923687,11.21,11410419,1.45,76513268,9.75,-78466650,-10.0,-9457036,-1.21,1687766376,1
sh600892,大晟文化,6.8,10.03,86203315,37.65,114108761,49.84,-27905446,-12.19,-42414609,-18.53,-43788706,-19.13,1687766392,1
sh688012,中微公司,159.6,1.01,83948757,7.13,-25980395,-2.21,109929152,9.34,-36740448,-3.12,-47208310,-4.01,1687766391,1
sz002519,银河电子,7.0,10.06,82201539,9.42,90371291,10.35,-8169752,-0.9400000000000001,-8718186,-1.0,-73483352,-8.42,1687764888,0
sh688065,凯赛生物,63.9,15.07,81868943,16.04,104820797,20.53,-22951854,-4.5,-77115726,-15.11,-4753217,-0.93,1687766377,1
sh600522,中天科技,16.01,1.33,81340089,5.34,101702953,6.68,-20362864,-1.34,-15726336,-1.03,-65613776,-4.31,1687766371,1
sz000543,皖能电力,6.73,9.97,80779639,11.31,137539227,19.25,-56759588,-7.95,-54089453,-7.57,-26690185,-3.74,1687764873,0
sz001278,一彬科技,24.2,10.0,79851461,50.89,81195500,51.74,-1344039,-0.86,-38673212,-24.65,-41178250,-26.24,1687764855,0
sz300780,德恩精工,15.95,11.46,75687766,16.21,90154528,19.3,-14466762,-3.1,-27444756,-5.88,-48243011,-10.33,1687764903,0
sz002459,晶澳科技,41.77,3.7199999999999998,74405054,3.48,-15556530,-0.73,89961584,4.21,-65200512,-3.05,-9204560,-0.43,1687764855,0
sz300724,捷佳伟创,105.68,2.8,70797730,7.36,55609544,5.78,15188186,1.58,-27502128,-2.86,-43295604,-4.5,1687764873,0
sz000421,南京公用,5.53,9.94,64404302,35.28,75109655,41.15,-10705353,-5.86,-27161165,-14.88,-37243137,-20.4,1687764861,0
sh600004,白云机场,14.51,-2.49,62407346,18.82,25547843,7.7,36859503,11.12,-2379174,-0.72,-60028171,-18.1,1687766388,1
sh688261,东微半导,135.57,4.54,62017339,19.21,43677544,13.53,18339795,5.68,-25456597,-7.88,-36560743,-11.32,1687766372,1
sz300842,帝科股份,88.73,8.84,61095377,6.8100000000000005,45253033,5.05,15842344,1.77,-25261392,-2.8200000000000003,-35833970,-4.0,1687764885,0
sh688800,瑞可达,55.4,-7.05,60247639,18.82,29335759,9.16,30911880,9.66,-6709746,-2.1,-53537894,-16.72,1687766396,1
sh603267,鸿远电子,62.17,-3.73,58427769,7.7,11731118,1.55,46696651,6.16,40258994,5.31,-98686766,-13.01,1687766384,1
sh600027,华电国际,6.8100000000000005,5.75,57363122,5.44,77347856,7.34,-19984734,-1.9,-7173264,-0.68,-50189856,-4.76,1687766386,1
sh601698,中国卫通,20.51,4.91,56687910,2.77,32707158,1.6,23980752,1.17,-25909840,-1.27,-30778080,-1.51,1687766378,1
sh600039,四川路桥,9.55,0.0,56574934,21.0,24055670,8.93,32519264,12.07,-46929301,-17.42,-9645633,-3.58,1687766398,1
sh688169,石头科技,312.06,7.71,55538786,6.97,12079221,1.52,43459565,5.45,-52123504,-6.54,-3415282,-0.43,1687766397,1
sh600475,华光环能,10.96,8.09,54429571,13.56,35437202,8.83,18992369,4.73,-28482722,-7.09,-25946848,-6.46,1687766371,1
sh600703,三安光电,17.07,0.89,52798361,6.91,5637802,0.74,47160559,6.17,-31474194,-4.12,-21324168,-2.79,1687766399,1
sz002157,*ST 正邦,2.85,5.17,51367881,28.6,22565320,12.56,28802561,16.04,-17985903,-10.01,-33381977,-18.59,1687764870,0
sh603291,联合水务,15.07,10.0,50993619,29.36,55907863,32.18,-4914244,-2.83,-21228572,-12.22,-29765046,-17.13,1687766379,1
sh603918,金桥信息,28.82,-7.98,50177272,2.94,-22309224,-1.31,72486496,4.24,-113802016,-6.66,63624752,3.7199999999999998,1687766372,1
sz301315,C威士顿,69.5,20.45,49731274,5.55,17267937,1.9300000000000002,32463337,3.62,28734112,3.21,-78465388,-8.76,1687764879,0
sh688279,峰岹科技,122.01,-3.93,49541407,10.62,39262451,8.41,10278956,2.2,-20193507,-4.33,-29347900,-6.29,1687766393,1
sh601816,京沪高铁,5.16,-1.9,47172670,9.19,42803072,8.34,4369598,0.85,1604796,0.31,-48777466,-9.5,1687766372,1
sz002009,天奇股份,15.38,3.22,46860248,8.89,76742696,14.55,-29882448,-5.67,-43958424,-8.34,-2901825,-0.55,1687764888,0
sz000027,深圳能源,6.68,3.5700000000000003,46737218,15.6,21114129,7.05,25623089,8.55,-4606702,-1.54,-42130514,-14.06,1687764861,0
sz002298,中电兴发,6.94,1.31,45996911,12.36,7162898,1.92,38834013,10.44,3562713,0.96,-49559623,-13.32,1687764900,0
sz300620,光库科技,70.55,4.26,45889439,1.99,19472047,0.84,26417392,1.15,-23284432,-1.01,-22605008,-0.98,1687764888,0
sz301086,鸿富瀚,57.05,13.83,45473970,12.28,14372925,3.88,31101045,8.4,-1075945,-0.29,-44398025,-11.99,1687764888,0
sh688097,博众精工,31.48,-5.83,45101771,8.89,13830802,2.73,31270969,6.17,2702738,0.53,-47804509,-9.43,1687766392,1
sh601006,大秦铁路,7.23,-1.77,45017707,13.9,-3254013,-1.0,48271720,14.9,-23674221,-7.31,-21343485,-6.59,1687766381,1
sz002893,京能热力,11.14,9.97,42717289,15.43,30973046,11.19,11744243,4.24,-13112714,-4.74,-29604574,-10.69,1687764885,0
sz300421,力星股份,11.23,3.98,41203686,7.61,15616920,2.88,25586766,4.72,-9369857,-1.73,-31833828,-5.88,1687764864,0
sh601728,中国电信,5.65,-0.35000000000000003,40845710,3.42,97063278,8.13,-56217568,-4.71,-44602320,-3.74,3756640,0.31,1687766380,1
sz300026,红日药业,5.35,-1.83,40638223,14.7,15472771,5.6,25165452,9.11,-4587243,-1.6600000000000001,-36050979,-13.04,1687764888,0
sz000875,吉电股份,5.5,5.36,40247966,7.9,22235231,4.36,18012735,3.54,-7576567,-1.49,-32671398,-6.41,1687764864,0
sz300258,精锻科技,11.78,2.17,38861860,6.8100000000000005,718630,0.13,38143230,6.68,12616095,2.21,-51477955,-9.02,1687764867,0
sz000338,潍柴动力,11.91,-2.14,38234934,8.48,-11796393,-2.62,50031327,11.1,-16974154,-3.76,-21260780,-4.72,1687764894,0
sz000795,英洛华,6.74,3.06,38212920,12.91,16056740,5.42,22156180,7.48,-11243870,-3.8,-26969050,-9.11,1687764870,0
sh600863,内蒙华电,4.22,2.18,37732798,5.94,15135546,2.38,22597252,3.55,-1026044,-0.16,-36706753,-5.77,1687766372,1
sh600686,金龙汽车,8.2,4.06,37226623,7.96,43046801,9.21,-5820178,-1.25,-12286635,-2.63,-24939987,-5.34,1687766393,1
sh601288,农业银行,3.47,-1.7000000000000002,37025293,2.63,41818912,2.98,-4793619,-0.34,-51211142,-3.64,14185872,1.01,1687766376,1
sh601865,福莱特,37.3,1.08,36763230,7.7,16583546,3.47,20179684,4.23,2637558,0.55,-39400788,-8.26,1687766377,1
sz002496,辉丰股份,2.5700000000000003,6.2,36093461,17.12,21176306,10.04,14917155,7.07,-2642973,-1.25,-33450488,-15.86,1687764894,0
