代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比),UNKOWN2,UNKNOWN
sh601236,红塔证券,9.97,10.04,439623472,15.71,576686080,20.6,-137062608,-4.9,-296915344,-10.61,-142708112,-5.1,1691654389,1
sz301348,N蓝箭,55.58,207.41,438318447,17.43,103027255,4.1,335291192,13.34,372487824,14.82,-810806288,-32.25,1691652897,0
sh601975,招商南油,3.49,10.09,271694831,27.34,230723389,23.22,40971442,4.12,-99054386,-9.97,-172640443,-17.37,1691654376,1
sz301395,仁信新材,27.96,20.0,210978684,34.95,173048716,28.67,37929968,6.28,-50494818,-8.36,-160483866,-26.58,1691652852,0
sz002995,天地在线,28.31,9.98,185935801,24.75,206669191,27.51,-20733390,-2.76,-77999000,-10.38,-107936799,-14.37,1691652864,0
sh600030,中信证券,25.2,1.16,176969312,3.7800000000000002,405182000,8.66,-228212688,-4.87,-136962576,-2.93,-40006720,-0.85,1691654383,1
sh600188,兖矿能源,18.1,5.54,168916574,16.04,47630904,4.52,121285670,11.52,-48953744,-4.65,-119962833,-11.39,1691654400,1
sh603259,药明康德,78.9,3.49,152625792,5.24,50454432,1.73,102171360,3.51,3011824,0.1,-155637616,-5.34,1691654380,1
sz301315,威士顿,85.37,20.0,147939977,14.07,151980233,14.45,-4040256,-0.38,-71245968,-6.78,-76694020,-7.29,1691652852,0
sh601099,太平洋,4.93,10.04,144692736,1.57,373263248,4.05,-228570512,-2.48,12271616,0.13,-156964352,-1.7000000000000002,1691654376,1
sh601788,光大证券,19.5,4.0,139393840,4.91,142487104,5.02,-3093264,-0.11,-61378416,-2.16,-78015424,-2.75,1691654385,1
sh600050,中国联通,5.32,1.53,135095952,7.22,114060432,6.09,21035520,1.12,-22952688,-1.23,-112143264,-5.99,1691654390,1
sz002129,TCL中环,28.83,2.74,123874470,12.48,73994793,7.45,49879677,5.02,-33720192,-3.4,-90154278,-9.08,1691652897,0
sz300763,锦浪科技,91.55,5.58,120741430,6.97,87272246,5.04,33469184,1.9300000000000002,-71683936,-4.14,-49057488,-2.83,1691652864,0
sh601728,中国电信,5.85,1.92,118072903,12.34,95674277,10.0,22398626,2.34,-68645389,-7.17,-49427510,-5.16,1691654384,1
sz002719,麦趣尔,13.54,9.99,117663412,28.29,120556699,28.99,-2893287,-0.7000000000000001,-54645682,-13.14,-63017731,-15.15,1691652849,0
sh601555,东吴证券,9.62,4.0,116867907,5.73,113312851,5.5600000000000005,3555056,0.17,10502144,0.51,-127370064,-6.25,1691654401,1
sh600256,广汇能源,7.14,4.39,115071024,8.2,78819424,5.61,36251600,2.58,-56593136,-4.03,-58477888,-4.17,1691654382,1
sz300059,东方财富,16.97,2.41,108837088,1.5,361136768,4.97,-252299680,-3.47,12681456,0.17,-121518528,-1.67,1691652846,0
sh601111,中国国航,9.5,4.86,98826858,9.05,104391546,9.56,-5564688,-0.51,-62693600,-5.74,-36133258,-3.31,1691654389,1
sz301281,科源制药,47.52,20.0,98401694,13.32,93316734,12.63,5084960,0.6900000000000001,-50540511,-6.84,-47861184,-6.48,1691652852,0
sz000776,广发证券,16.79,1.27,97940566,7.7,98116822,7.72,-176256,-0.01,-75848256,-5.96,-22092310,-1.74,1691652864,0
sz300418,昆仑万维,35.79,2.32,96898816,3.5700000000000003,120868032,4.46,-23969216,-0.88,-52106736,-1.92,-44792064,-1.65,1691652900,0
sz000006,深振业Ａ,5.3,6.64,91581044,13.01,82184283,11.68,9396761,1.34,-28193599,-4.01,-63387445,-9.01,1691652855,0
sh600777,新潮能源,2.7,3.05,88030485,9.48,33425845,3.6,54604640,5.88,-31937158,-3.44,-56093327,-6.04,1691654378,1
sz301448,开创电气,36.55,19.99,83536889,42.1,93604074,47.17,-10067185,-5.07,-46844636,-23.61,-36692252,-18.49,1691652855,0
sz000701,厦门信达,6.93,10.0,82722691,28.5,88970052,30.65,-6247361,-2.15,-45009674,-15.5,-37713019,-12.99,1691652876,0
sz002945,华林证券,15.68,3.64,81184989,11.04,93315036,12.69,-12130047,-1.65,-29818732,-4.06,-51366258,-6.99,1691652867,0
sz000716,黑芝麻,8.13,4.36,79849682,7.27,26031552,2.37,53818130,4.9,-9687376,-0.88,-70162320,-6.38,1691652849,0
sz002459,晶澳科技,31.05,2.04,72538485,6.59,11477493,1.04,61060992,5.55,-27697712,-2.52,-44840784,-4.08,1691652846,0
sz300274,阳光电源,115.06,1.82,71676128,3.6,99929984,5.02,-28253856,-1.42,-26548224,-1.33,-45127888,-2.26,1691652858,0
sh601225,陕西煤业,16.67,3.67,69789670,8.8,70608971,8.9,-819301,-0.1,-12329611,-1.55,-57460059,-7.24,1691654398,1
sh600026,中远海能,14.61,7.66,68171669,8.01,49417173,5.8,18754496,2.2,-52798848,-6.2,-15372835,-1.81,1691654396,1
sh605117,德业股份,112.42,6.01,66050982,5.52,79581816,6.65,-13530834,-1.13,7595104,0.63,-73646080,-6.15,1691654392,1
sh601601,中国太保,29.72,1.05,65119990,8.99,-23754478,-3.2800000000000002,88874468,12.27,76608648,10.57,-141728634,-19.56,1691654382,1
sh600968,海油发展,3.11,4.01,64746740,19.23,80327019,23.86,-15580279,-4.63,-35343457,-10.5,-29403283,-8.73,1691654397,1
sh600191,华资实业,7.45,10.04,64123581,21.5,52879429,17.73,11244152,3.77,-28448061,-9.54,-35675521,-11.96,1691654380,1
sh600602,云赛智联,13.4,3.08,63281709,7.36,42320340,4.92,20961369,2.44,-24352550,-2.83,-38929152,-4.53,1691654388,1
sz301355,南王科技,20.11,11.85,63223062,12.36,49266038,9.63,13957024,2.73,-20116467,-3.93,-43106596,-8.43,1691652870,0
sh600977,中国电影,15.78,1.35,56946497,13.06,34674628,7.95,22271869,5.11,-7087721,-1.63,-49858775,-11.44,1691654386,1
