代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比),UNKOWN2,UNKNOWN
sz000977,浪潮信息,62.15,10.0,630598832,7.96,745618656,9.41,-115019824,-1.45,-315965824,-3.99,-314633008,-3.9699999999999998,1687159839,0
sh603918,金桥信息,37.66,9.99,533640608,15.97,833318144,24.94,-299677536,-8.97,-270221472,-8.09,-263419120,-7.88,1687159839,1
sz300459,汤姆猫,7.67,8.03,489009440,9.95,430533984,8.76,58475456,1.19,-142795504,-2.9,-346213952,-7.04,1687159851,0
sh688334,N西高院,20.73,46.4,444467195,40.81,123443826,11.33,321023369,29.47,70220816,6.45,-514688017,-47.25,1687159853,1
sz002384,东山精密,28.45,4.87,424598381,19.69,238227133,11.05,186371248,8.64,-64657200,-3.0,-359941184,-16.69,1687159836,0
sh600150,中国船舶,30.15,5.13,392869536,9.23,429756784,10.1,-36887248,-0.87,-274631936,-6.45,-118237600,-2.7800000000000002,1687159846,1
sh601138,工业富联,26.46,9.98,315067984,6.03,368855696,7.06,-53787712,-1.03,-153200096,-2.93,-161867888,-3.1,1687159832,1
sz002415,海康威视,36.15,2.87,311025216,12.27,65410832,2.58,245614384,9.69,-132238336,-5.21,-178786880,-7.05,1687159815,0
sz002281,光迅科技,40.36,10.0,310820736,10.26,448803072,14.81,-137982336,-4.55,-174862208,-5.77,-135958512,-4.49,1687159851,0
sz300033,同花顺,209.99,8.8,288644016,8.03,346492896,9.64,-57848880,-1.6099999999999999,-62709248,-1.74,-225934768,-6.28,1687159785,0
sz002472,双环传动,29.75,8.18,285357584,10.94,232679072,8.92,52678512,2.02,-160821888,-6.17,-124535712,-4.77,1687159797,0
sh688256,寒武纪-U,239.1,7.29,278251920,6.97,183662800,4.6,94589120,2.37,-265795376,-6.66,-12456551,-0.31,1687159849,1
sz002079,苏州固锝,13.38,10.03,265351411,40.58,210393984,32.18,54957427,8.4,-107837181,-16.49,-157514232,-24.09,1687159851,0
sh603019,中科曙光,61.12,9.57,263904960,3.13,483429904,5.74,-219524944,-2.6,-158468880,-1.88,-105436080,-1.25,1687159834,1
sh601127,赛力斯,38.16,10.0,263379344,7.89,162704896,4.87,100674448,3.02,-67415536,-2.02,-195963808,-5.87,1687159835,1
sh603118,共进股份,12.17,10.04,262665257,21.93,257327615,21.48,5337642,0.45,-116270143,-9.71,-146395105,-12.22,1687159853,1
sz002401,中远海科,29.95,9.99,235158133,24.11,208826231,21.41,26331902,2.7,-128818788,-13.21,-106339352,-10.9,1687159794,0
sz002351,漫步者,21.55,4.82,230693806,16.49,107763678,7.7,122930128,8.79,-119998496,-8.58,-110695312,-7.91,1687159824,0
sz300413,芒果超媒,40.31,4.86,218759277,15.62,34361421,2.45,184397856,13.16,-106284800,-7.59,-112474464,-8.03,1687159842,0
sz300302,同有科技,15.56,19.97,212231371,11.97,268996811,15.17,-56765440,-3.2,-119943280,-6.76,-92288064,-5.2,1687159806,0
sz002624,完美世界,19.99,5.21,210835033,9.36,202105753,8.97,8729280,0.39,-44926752,-1.99,-165908272,-7.37,1687159794,0
sh600556,天下秀,9.43,10.04,192181385,15.11,140181561,11.02,51999824,4.09,-42960864,-3.38,-149220518,-11.73,1687159839,1
sz002151,北斗星通,33.76,10.0,189792901,35.05,171477274,31.66,18315627,3.38,-94555805,-17.46,-95237096,-17.59,1687159794,0
sz002920,德赛西威,152.09,5.54,183398962,10.05,66434786,3.64,116964176,6.41,-98812912,-5.42,-84586064,-4.64,1687159815,0
sh600072,中船科技,26.22,4.42,174314800,6.47,12861632,0.48,161453168,5.99,-77799056,-2.89,-96515728,-3.58,1687159847,1
sz301448,N开创,39.87,119.67,159578051,27.63,26952265,4.67,132625786,22.96,223483684,38.7,-383061739,-66.33,1687159809,0
sz301123,奕东电子,29.17,19.99,148466403,21.49,130397454,18.88,18068949,2.62,-64235624,-9.3,-84230779,-12.19,1687159848,0
sz300002,神州泰岳,14.38,4.73,144558468,5.46,179903332,6.8,-35344864,-1.34,-69428128,-2.62,-75130352,-2.84,1687159833,0
sh600446,金证股份,17.23,10.03,144260992,9.25,164825696,10.57,-20564704,-1.32,-72740352,-4.66,-71520633,-4.59,1687159842,1
sz002050,三花智控,30.31,3.17,133975123,7.48,-29140109,-1.63,163115232,9.11,-45474912,-2.54,-88500208,-4.94,1687159827,0
