代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比),UNKOWN2,UNKNOWN
sz000625,长安汽车,13.83,6.96,1040951328,20.5,715435008,14.09,325516320,6.41,-387300992,-7.63,-653650352,-12.87,1688368647,0
sz002475,立讯精密,33.68,3.79,703155856,10.31,564539888,8.28,138615968,2.03,-405576112,-5.95,-297579728,-4.36,1688368638,0
sh600536,中国软件,51.57,10.0,545949324,25.78,600083564,28.33,-54134240,-2.56,-290306640,-13.71,-255642688,-12.07,1688368670,1
sz002241,歌尔股份,18.59,4.73,541177904,18.73,312073456,10.8,229104448,7.93,-257983952,-8.93,-283193952,-9.8,1688368617,0
sh601318,中国平安,48.18,3.84,394432176,11.87,339431616,10.21,55000560,1.6600000000000001,-194241936,-5.84,-200190256,-6.02,1688368669,1
sh601127,赛力斯,40.45,10.01,383411728,12.09,434964864,13.71,-51553136,-1.63,-158313056,-4.99,-225098688,-7.1,1688368651,1
sz000858,五 粮 液,167.36,2.32,370395088,12.88,185395680,6.45,184999408,6.43,-152457056,-5.3,-217938032,-7.58,1688368617,0
sz000651,格力电器,37.4,2.44,298977085,18.94,96549309,6.12,202427776,12.83,-106179328,-6.73,-192797745,-12.22,1688368665,0
sh600522,中天科技,16.44,3.33,290515932,15.98,181353996,9.97,109161936,6.0,-106644544,-5.86,-183871392,-10.11,1688368654,1
sz002487,大金重工,33.92,9.99,252746994,20.57,264274706,21.51,-11527712,-0.9400000000000001,-100380960,-8.17,-152366018,-12.4,1688368653,0
sh600809,山西汾酒,196.17,6.0,251469583,11.86,147108911,6.94,104360672,4.92,-49283440,-2.32,-202186160,-9.53,1688368673,1
sz002335,科华数据,39.55,10.01,220385005,30.01,212271810,28.91,8113195,1.1,-102736581,-13.99,-117648427,-16.02,1688368662,0
sh601231,环旭电子,16.46,10.03,209685372,23.04,166460508,18.29,43224864,4.75,-82866589,-9.1,-126818776,-13.93,1688368657,1
sz000066,中国长城,14.39,4.05,207350510,13.33,108561982,6.98,98788528,6.35,-56607920,-3.64,-150742576,-9.69,1688368671,0
sz002101,广东鸿图,21.54,10.01,203734127,39.38,215893732,41.73,-12159605,-2.35,-114009014,-22.04,-89725113,-17.34,1688368620,0
sz002594,比亚迪,267.48,3.5700000000000003,203290464,4.71,145470576,3.37,57819888,1.34,-121265776,-2.81,-82024704,-1.9,1688368632,0
sh601899,紫金矿业,11.93,4.93,199694784,9.8,211549168,10.38,-11854384,-0.58,-84318736,-4.14,-115376048,-5.66,1688368671,1
sh601601,中国太保,27.2,4.7,195396138,16.57,109719402,9.3,85676736,7.26,-58370240,-4.95,-137025904,-11.62,1688368652,1
sh600702,舍得酒业,129.42,4.41,191720513,16.08,53797444,4.51,137923069,11.56,30447056,2.55,-222167568,-18.63,1688368644,1
