代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比),UNKOWN2,UNKNOWN
sh688591,N泰凌微,32.7,30.9,448121831,32.62,126098169,9.18,322023662,23.44,170803424,12.43,-618925262,-45.05,1692947740,1
sh603888,新华网,31.71,6.05,352516918,19.62,416855606,23.2,-64338688,-3.58,-198821872,-11.06,-153695040,-8.55,1692947739,1
sz000712,锦龙股份,15.07,10.0,156368569,26.3,217449927,36.57,-61081358,-10.27,-89130555,-14.99,-67238012,-11.31,1692947718,0
sz300542,新晨科技,15.75,8.1,154777150,13.46,147692830,12.84,7084320,0.62,-88942960,-7.73,-65834182,-5.72,1692947700,0
sz000002,万  科Ａ,13.44,3.07,152206976,12.3,102992864,8.32,49214112,3.98,-114487264,-9.25,-37719712,-3.05,1692947700,0
sz002500,山西证券,6.44,3.7,151250655,19.77,140280192,18.34,10970463,1.43,-44852489,-5.86,-106398166,-13.91,1692947715,0
sz000010,美丽生态,3.4,10.03,148618477,27.05,173319018,31.54,-24700541,-4.5,-69136111,-12.58,-79482366,-14.47,1692947703,0
sz300750,宁德时代,228.34,-0.27,147878224,5.8,-63377232,-2.49,211255456,8.29,19233728,0.75,-167111952,-6.55,1692947670,0
sh600276,恒瑞医药,40.72,0.6900000000000001,147148397,8.38,56678701,3.23,90469696,5.15,43289888,2.47,-190438288,-10.84,1692947724,1
sh600030,XD中信证,23.43,1.56,147084336,4.68,-47407904,-1.51,194492240,6.19,-1651488,-0.05,-145432864,-4.63,1692947727,1
sh603106,恒银科技,9.32,10.04,145560577,19.25,110038995,14.55,35521582,4.7,-58085685,-7.68,-87474892,-11.57,1692947741,1
sh600095,湘财股份,8.97,4.79,144051381,13.88,107963329,10.4,36088052,3.48,-71432192,-6.88,-72619191,-7.0,1692947735,1
sz300457,赢合科技,28.88,19.98,138772064,8.1,164681488,9.61,-25909424,-1.51,-51185744,-2.99,-87586336,-5.11,1692947715,0
sh600683,京投发展,7.71,9.99,135934846,18.31,140225733,18.88,-4290887,-0.58,-57504726,-7.74,-78430120,-10.56,1692947735,1
sh600048,保利发展,13.98,3.02,114998054,9.68,72322966,6.09,42675088,3.59,-56001120,-4.71,-58996934,-4.97,1692947741,1
