代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比),UNKOWN2,UNKNOWN
sz301251,N威尔高,68.32,136.57,535665177,31.6,119382713,7.04,416282464,24.56,252429088,14.89,-788094272,-46.49,1693985667,0
sz002371,北方华创,280.4,3.35,533176240,18.47,382084512,13.24,151091728,5.23,-363220416,-12.58,-169955824,-5.89,1693985703,0
sh600895,张江高科,17.84,9.99,436872430,34.89,489485672,39.09,-52613242,-4.2,-209205308,-16.71,-227667134,-18.18,1693987196,1
sz002222,福晶科技,30.72,9.99,343069792,22.81,369824560,24.59,-26754768,-1.78,-166183200,-11.05,-176886594,-11.76,1693985667,0
sz300576,容大感光,52.68,20.0,324580002,12.84,381362290,15.09,-56782288,-2.25,-192236576,-7.61,-132343424,-5.24,1693985661,0
sh601127,赛力斯,43.91,6.97,251143392,6.5600000000000005,411567328,10.76,-160423936,-4.19,-74281056,-1.94,-176862320,-4.62,1693987178,1
sh688012,中微公司,158.48,6.46,248597389,10.7,139390413,6.0,109206976,4.7,-44749936,-1.9300000000000002,-203847424,-8.77,1693987194,1
sz002049,紫光国微,94.11,2.2800000000000002,228987006,14.79,134841934,8.71,94145072,6.08,-153441312,-9.91,-75545696,-4.88,1693985697,0
sz000002,万  科Ａ,14.17,2.09,225868225,15.91,203164305,14.31,22703920,1.6,-77023984,-5.43,-148844238,-10.48,1693985700,0
sh688981,中芯国际,56.83,2.16,185925568,5.06,172705312,4.7,13220256,0.36,-76618992,-2.08,-109306576,-2.9699999999999998,1693987174,1
sh603220,中贝通信,27.58,6.9,167802740,8.68,217705444,11.26,-49902704,-2.58,-125077696,-6.47,-42725056,-2.21,1693987192,1
sh600188,兖矿能源,19.68,2.66,163549087,14.58,56301686,5.02,107247401,9.56,-68213856,-6.08,-95335232,-8.5,1693987199,1
sz002717,岭南股份,3.56,6.59,161308093,17.12,173538075,18.42,-12229982,-1.3,-60451624,-6.42,-100856455,-10.71,1693985688,0
sz300293,蓝英装备,13.01,20.02,159211233,40.73,195755132,50.07,-36543899,-9.35,-81206336,-20.77,-78004896,-19.95,1693985694,0
sh600383,金地集团,7.49,3.74,156260433,18.25,118102312,13.79,38158121,4.46,-32486329,-3.79,-123774102,-14.46,1693987177,1
sh600360,华微电子,7.37,10.0,154576809,61.67,161155849,64.29,-6579040,-2.62,-65513733,-26.14,-89063075,-35.53,1693987191,1
sz300212,易华录,36.93,5.79,149569504,5.36,95890784,3.44,53678720,1.9300000000000002,12215952,0.44,-161785488,-5.8,1693985691,0
