代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比),UNKOWN2,UNKNOWN
sz000625,长安汽车,14.43,4.34,523651664,7.98,343985648,5.24,179666016,2.74,-78709344,-1.2,-444942336,-6.78,1688456091,0
sh600118,中国卫星,31.24,10.0,519135809,27.76,540466225,28.9,-21330416,-1.1400000000000001,-261036384,-13.96,-258099427,-13.8,1688457588,1
sz301488,N豪恩,90.01,126.27,446519168,34.89,123617150,9.66,322902018,25.23,70710528,5.53,-517229695,-40.42,1688456073,0
sh600418,江淮汽车,14.11,7.87,434265680,15.33,290445424,10.25,143820256,5.08,-134974048,-4.76,-299291632,-10.56,1688457582,1
sh601919,中远海控,10.13,6.52,282109328,12.23,163154080,7.07,118955248,5.16,-103973440,-4.51,-178135904,-7.72,1688457590,1
sz002261,拓维信息,20.75,6.63,272804240,4.84,298538736,5.29,-25734496,-0.46,-137771328,-2.44,-135032912,-2.39,1688456082,0
sh603290,斯达半导,240.57,10.0,248096151,19.91,270184311,21.68,-22088160,-1.77,-115891168,-9.3,-132204984,-10.61,1688457580,1
sz002036,联创电子,10.58,9.98,243879294,30.77,218297338,27.55,25581956,3.23,-118773417,-14.99,-125105880,-15.79,1688456064,0
sz002594,比亚迪,271.5,1.5,237229712,5.55,194274576,4.55,42955136,1.01,-146342720,-3.43,-90886992,-2.13,1688456100,0
sz002236,大华股份,21.53,7.92,216724368,7.73,213687680,7.62,3036688,0.11,-35235344,-1.26,-181489040,-6.47,1688456073,0
sz002241,歌尔股份,19.08,2.64,213189616,7.26,152173696,5.18,61015920,2.08,-69785680,-2.38,-143403920,-4.88,1688456088,0
sz300496,中科创达,109.05,11.75,210697872,7.78,100798000,3.7199999999999998,109899872,4.06,-57838000,-2.14,-152859856,-5.65,1688456046,0
sz002463,沪电股份,22.37,4.73,193204752,6.73,203097632,7.08,-9892880,-0.34,-167270736,-5.83,-25934000,-0.9,1688456058,0
sz300223,北京君正,91.4,4.64,176206057,11.35,146347433,9.43,29858624,1.92,-114093680,-7.35,-62112384,-4.0,1688456052,0
sh688008,澜起科技,62.7,4.73,170815215,11.8,162976911,11.26,7838304,0.54,-167625568,-11.58,-3189648,-0.22,1688457584,1
sh603888,新华网,34.88,8.46,164227214,13.39,152627678,12.45,11599536,0.9500000000000001,-96174928,-7.84,-68052299,-5.55,1688457598,1
sz300502,新易盛,71.39,5.36,159527232,2.45,158006944,2.43,1520288,0.02,-93132128,-1.43,-66395104,-1.02,1688456052,0
sz300044,赛为智能,5.32,10.6,159380197,16.09,116886999,11.8,42493198,4.29,-70157280,-7.08,-89222926,-9.0,1688456085,0
sz002050,三花智控,29.73,1.82,158793947,10.1,25111627,1.6,133682320,8.51,-166904000,-10.62,8110048,0.52,1688456088,0
sz002920,德赛西威,172.5,10.0,156805456,8.65,160213904,8.83,-3408448,-0.19,-80194336,-4.42,-76611095,-4.22,1688456070,0
sz300782,卓胜微,106.32,8.49,142269789,14.06,125841315,12.44,16428474,1.62,-22996048,-2.27,-119273743,-11.79,1688456061,0
sz002892,科力尔,14.88,9.98,140900556,42.34,154465039,46.42,-13564483,-4.08,-63709085,-19.15,-77191471,-23.2,1688456055,0
sz000021,深科技,19.89,1.74,134882541,10.73,91187101,7.25,43695440,3.48,-62939344,-5.01,-71943200,-5.72,1688456064,0
sh600809,山西汾酒,201.28,2.6,132613675,7.16,106560491,5.75,26053184,1.4100000000000001,-44846064,-2.42,-87767600,-4.74,1688457591,1
sz000725,京东方Ａ,4.16,0.0,126940513,15.54,55845321,6.84,71095192,8.7,-55340770,-6.77,-71599744,-8.76,1688456103,0
sz002232,启明信息,17.08,9.98,125904966,36.17,96181585,27.63,29723381,8.54,-49621550,-14.26,-76283416,-21.92,1688456082,0
sz000858,五 粮 液,168.22,0.51,123001456,5.84,53469472,2.54,69531984,3.3,-26583520,-1.26,-96417920,-4.58,1688456097,0
sz002456,欧菲光,6.1,6.46,122694144,8.15,92844112,6.17,29850032,1.98,-11276704,-0.75,-111417424,-7.4,1688456052,0
sh601238,广汽集团,11.03,3.2800000000000002,121737743,14.0,106659962,12.27,15077781,1.73,-50203573,-5.77,-71534174,-8.23,1688457580,1
