代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比),UNKOWN2,UNKNOWN
sz002229,鸿博股份,36.41,10.0,429574160,13.36,534482864,16.62,-104908704,-3.26,-194932000,-6.06,-234642144,-7.3,1690959900,0
sz002945,华林证券,15.17,8.36,352408944,23.45,444475728,29.58,-92066784,-6.13,-216408640,-14.4,-136000310,-9.05,1690959843,0
sh603000,人民网,32.35,10.0,319720048,9.58,398680048,11.94,-78960000,-2.37,-150548032,-4.51,-169172000,-5.07,1690959901,1
sz002703,浙江世宝,17.38,10.0,315255776,15.33,260824944,12.68,54430832,2.65,-147460000,-7.17,-167795776,-8.16,1690959894,0
sh601519,大智慧,9.01,10.01,243730920,14.69,294788760,17.77,-51057840,-3.08,-104953200,-6.33,-138777712,-8.37,1690959903,1
sh601933,永辉超市,3.99,9.92,184344416,7.83,234753376,9.97,-50408960,-2.14,-46081824,-1.96,-138262592,-5.87,1690959900,1
sz000736,中交地产,16.05,7.29,171316384,10.28,224406784,13.47,-53090400,-3.19,-97696064,-5.86,-73620336,-4.42,1690959897,0
sz002261,拓维信息,18.8,4.79,146996743,3.81,159329847,4.13,-12333104,-0.32,-29312992,-0.76,-117683744,-3.05,1690959894,0
sz002647,仁东控股,6.47,10.03,137006962,33.73,128809939,31.71,8197023,2.02,-63435898,-15.62,-73571065,-18.11,1690959870,0
sz002527,新时达,11.77,10.0,132403019,17.91,136709101,18.49,-4306082,-0.58,-29694272,-4.02,-102708753,-13.89,1690959867,0
sh600906,财达证券,9.75,10.05,122603184,4.69,111419360,4.26,11183824,0.43,-73347376,-2.8,-49255810,-1.88,1690959901,1
sh688700,东威科技,69.86,11.78,106024700,14.42,27086967,3.68,78937733,10.74,-22415517,-3.05,-83609179,-11.37,1690959903,1
sz300035,中科电气,13.05,10.31,105508657,9.81,52071918,4.84,53436739,4.97,5777088,0.54,-111285760,-10.35,1690959900,0
sh600030,中信证券,23.85,0.76,102350768,1.9,357384784,6.62,-255034016,-4.72,-95894960,-1.78,-6455776,-0.12,1690959902,1
