代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比),UNKOWN2,UNKNOWN
sz300059,东方财富,14.49,3.5,1120829200,19.2,953188128,16.33,167641072,2.87,-566352224,-9.7,-554477008,-9.5,1689233700,0
sz000858,五 粮 液,172.65,4.35,830312448,15.01,647204304,11.7,183108144,3.31,-172501904,-3.12,-657810544,-11.89,1689233667,0
sz002475,立讯精密,34.42,5.1,479495008,15.76,225468832,7.41,254026176,8.35,-202551344,-6.66,-276943680,-9.1,1689233664,0
sh601138,工业富联,24.78,9.99,474456768,12.85,500336672,13.55,-25879904,-0.7000000000000001,-308840656,-8.36,-165616128,-4.49,1689235175,1
sz300750,宁德时代,230.0,1.33,397207168,7.69,210593152,4.08,186614016,3.61,-195389904,-3.7800000000000002,-201817280,-3.91,1689233649,0
sz002292,奥飞娱乐,10.84,10.05,334150604,22.14,326882428,21.66,7268176,0.48,-124257248,-8.23,-209893360,-13.91,1689233685,0
sz002463,沪电股份,23.3,10.01,332814529,16.91,259411089,13.18,73403440,3.73,-102231680,-5.19,-230582848,-11.71,1689233670,0
sz301272,N英华特,85.39,66.16,328488324,35.5,53525364,5.78,274962960,29.71,-135588688,-14.65,-192899614,-20.85,1689233673,0
sh600519,贵州茅台,1738.4,1.44,307140160,6.86,-16825696,-0.38,323965856,7.23,-306829536,-6.85,-310602,-0.01,1689235188,1
sh601318,中国平安,48.62,2.81,305102848,9.74,343044992,10.95,-37942144,-1.21,-178026912,-5.68,-127075920,-4.06,1689235193,1
sz000021,深科技,22.0,7.68,287067504,9.83,395827552,13.55,-108760048,-3.7199999999999998,-106099600,-3.63,-180967904,-6.2,1689233667,0
sz300308,中际旭创,154.2,11.1,279961728,3.52,391988512,4.93,-112026784,-1.4100000000000001,-138406336,-1.74,-141555392,-1.78,1689233676,0
