代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比),UNKOWN2,UNKNOWN
sz300669,沪宁股份,15.4,-3.02,-2207613,-4.74,-84771,-0.18,-2122842,-4.5600000000000005,-3579404,-7.68,5787018,12.42,1689750087,0
sh600387,ST海越,5.17,-0.39,-2207916,-14.36,-2461501,-16.01,253585,1.65,1010028,6.57,1197888,7.79,1689750127,1
sz301058,中粮科工,13.85,-0.5,-2209894,-7.97,-794766,-2.87,-1415128,-5.1,-2823797,-10.18,5033690,18.15,1689750090,0
sz000766,通化金马,5.38,-0.92,-2215207,-6.18,1080000,3.01,-3295207,-9.19,-4563776,-12.73,6778983,18.91,1689750114,0
sh600790,轻纺城,4.27,0.47000000000000003,-2218693,-11.95,484583,2.61,-2703276,-14.55,-51184,-0.28,2269877,12.22,1689750136,1
sh688520,神州细胞-U,55.98,-2.35,-2220920,-6.8100000000000005,-3364418,-10.31,1143498,3.51,2725921,8.36,-505001,-1.55,1689750112,1
sh603721,中广天择,19.31,-0.05,-2224238,-3.61,-655428,-1.06,-1568810,-2.55,3845874,6.25,-1621636,-2.63,1689750133,1
sz001201,东瑞股份,25.06,-0.44,-2227307,-8.85,-1033671,-4.11,-1193636,-4.74,689836,2.74,1537471,6.11,1689750114,0
sh603520,司太立,16.29,-1.33,-2227755,-4.84,-1565590,-3.4,-662165,-1.44,-1652053,-3.59,3879808,8.43,1689750111,1
sh603980,吉华集团,4.36,0.23,-2231513,-25.66,-144904,-1.67,-2086609,-24.0,418101,4.8100000000000005,1813412,20.86,1689750123,1
sz002059,云南旅游,6.26,0.16,-2231592,-9.01,0,0.0,-2231592,-9.01,-1355127,-5.47,3586719,14.48,1689750123,0
sz002206,海 利 得,5.5,0.36,-2233643,-8.24,0,0.0,-2233643,-8.24,-1445638,-5.33,3679281,13.58,1689750117,0
sh601996,丰林集团,2.51,0.8,-2234007,-14.72,-2077384,-13.69,-156623,-1.03,1063873,7.01,1170134,7.71,1689750120,1
sh603368,柳药集团,23.25,-0.09,-2235174,-2.5,-1728702,-1.9300000000000002,-506472,-0.5700000000000001,2119664,2.37,115511,0.13,1689750132,1
sz000529,广弘控股,6.48,0.62,-2239247,-10.9,0,0.0,-2239247,-10.9,218880,1.07,2020367,9.84,1689750123,0
sh603112,华翔股份,11.81,-1.34,-2239495,-10.38,-1712998,-7.94,-526497,-2.44,2211555,10.25,27940,0.13,1689750134,1
sz300025,华星创业,12.88,-0.85,-2251428,-1.82,-9418589,-7.6,7167161,5.78,1475252,1.19,776176,0.63,1689750123,0
sz300357,我武生物,34.09,-0.47000000000000003,-2251929,-4.04,-1020300,-1.83,-1231629,-2.21,-3016468,-5.42,5268397,9.46,1689750081,0
sh605287,德才股份,17.49,0.46,-2264368,-14.18,-156252,-0.98,-2108116,-13.2,-2245258,-14.06,4509626,28.24,1689750125,1
sh600255,鑫科材料,2.06,0.0,-2264798,-9.28,-1888295,-7.74,-376503,-1.54,433588,1.78,1831210,7.5,1689750134,1
sz300515,三德科技,15.29,-1.99,-2269723,-10.22,-3060000,-13.78,790277,3.56,-1411090,-6.36,3680813,16.58,1689750108,0
sz002935,天奥电子,19.53,-0.91,-2270280,-4.43,1084227,2.12,-3354507,-6.55,1220354,2.38,1049925,2.05,1689750087,0
sz300596,利安隆,39.58,-0.53,-2272077,-11.33,-1180500,-5.89,-1091577,-5.44,-940765,-4.69,3212843,16.02,1689750099,0
sz001299,美能能源,16.58,0.91,-2273697,-4.21,-672156,-1.24,-1601541,-2.96,-648264,-1.2,2921961,5.41,1689750081,0
sz301070,开勒股份,44.83,-0.42,-2278785,-8.18,0,0.0,-2278785,-8.18,1249951,4.49,1028834,3.69,1689750096,0
sh600148,长春一东,16.38,-0.61,-2279766,-5.67,-580317,-1.44,-1699449,-4.23,-2976985,-7.4,5256751,13.08,1689750114,1
sz002425,凯撒文化,5.17,0.39,-2282976,-3.4,-864395,-1.29,-1418581,-2.11,1284840,1.92,998136,1.49,1689750114,0
