代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比),UNKOWN2,UNKNOWN
sz002230,科大讯飞,69.17,4.98,810919280,11.97,661108752,9.75,149810528,2.21,-375093776,-5.53,-435825536,-6.43,1689060624,0
sz002261,拓维信息,22.45,5.95,594178272,8.97,608493584,9.18,-14315312,-0.22,-326192960,-4.92,-267985328,-4.04,1689060594,0
sh603986,兆易创新,115.33,8.8,478610608,13.34,370307344,10.32,108303264,3.02,-323280256,-9.01,-155330320,-4.33,1689060634,1
sh601127,赛力斯,48.64,10.0,475433168,10.4,491002432,10.74,-15569264,-0.34,-213863488,-4.68,-261569664,-5.72,1689060618,1
sh601138,工业富联,24.24,1.85,415660640,14.53,255528976,8.93,160131664,5.6,-242153072,-8.47,-173507552,-6.07,1689060623,1
sz000021,深科技,20.89,8.35,388566389,16.61,280619429,12.0,107946960,4.61,-138253216,-5.91,-250313184,-10.7,1689060597,0
sz000625,长安汽车,14.29,4.54,310893504,9.06,283296256,8.26,27597248,0.8,-31859488,-0.93,-279034016,-8.13,1689060639,0
sz000980,众泰汽车,3.41,10.0,295845728,21.16,297828416,21.3,-1982688,-0.14,-113969056,-8.15,-181876656,-13.01,1689060627,0
sz000957,中通客车,12.79,9.97,288156842,23.37,240505217,19.5,47651625,3.86,-82988640,-6.73,-205168209,-16.64,1689060606,0
sz002703,浙江世宝,16.5,10.0,226498660,9.65,210585700,8.97,15912960,0.68,-103918048,-4.43,-122580640,-5.22,1689060615,0
sz002594,比亚迪,269.33,2.19,207983072,7.58,139027024,5.07,68956048,2.51,-32384400,-1.18,-175598656,-6.4,1689060606,0
sh688041,海光信息,77.8,10.59,192519184,7.55,172197744,6.76,20321440,0.8,-130570416,-5.12,-61948752,-2.43,1689060639,1
sh603019,中科曙光,48.67,3.88,188839120,6.32,145444800,4.87,43394320,1.45,-30307600,-1.01,-158531536,-5.3,1689060618,1
sz300308,中际旭创,148.5,3.41,186460864,3.69,399279952,7.9,-212819088,-4.21,-54834880,-1.08,-131625952,-2.6,1689060609,0
sz002920,德赛西威,172.41,5.24,175604356,10.31,105287044,6.18,70317312,4.13,10249824,0.6000000000000001,-185854208,-10.92,1689060636,0
sz000066,中国长城,14.5,2.33,170950426,14.56,138924058,11.83,32026368,2.73,-71741472,-6.11,-99208934,-8.45,1689060639,0
sh603918,金桥信息,29.11,5.17,168202293,10.48,166042965,10.34,2159328,0.13,-93454672,-5.82,-74747632,-4.66,1689060630,1
sh603501,韦尔股份,111.13,3.85,154135903,9.67,252656479,15.84,-98520576,-6.18,-71614544,-4.49,-82521376,-5.18,1689060631,1
sz002050,三花智控,28.06,3.54,142553075,8.22,2755139,0.16,139797936,8.06,-54261360,-3.13,-88291696,-5.09,1689060609,0
sz002236,大华股份,21.67,4.64,136593472,6.29,76984928,3.55,59608544,2.75,-25251184,-1.16,-111342272,-5.13,1689060633,0
sz002892,科力尔,14.93,6.64,136293594,12.0,164994664,14.53,-28701070,-2.5300000000000002,-75447280,-6.64,-60846310,-5.36,1689060624,0
sh603236,移远通信,61.89,10.01,134177178,14.11,126105034,13.26,8072144,0.85,-13296976,-1.4,-120880198,-12.71,1689060642,1
