代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比),UNKOWN2,UNKNOWN
sz002475,立讯精密,32.41,6.33,856519232,18.7,628416048,13.72,228103184,4.98,-408823648,-8.92,-447695584,-9.77,1688022501,0
sz000063,中兴通讯,45.18,6.06,504897904,7.58,444089088,6.67,60808816,0.91,-275713280,-4.14,-229184624,-3.44,1688022492,0
sh688429,N时创,31.47,63.91,340501436,48.65,100109789,14.3,240391647,34.35,16905467,2.42,-357406909,-51.07,1688022540,1
sz002050,三花智控,30.7,3.02,224187213,10.7,156639197,7.48,67548016,3.23,-161684352,-7.72,-62502864,-2.98,1688022531,0
sz002920,德赛西威,152.5,3.81,219480708,16.22,25236308,1.87,194244400,14.36,-144541648,-10.68,-74939056,-5.54,1688022531,0
sz002079,苏州固锝,14.75,9.99,193966063,34.04,169967458,29.83,23998605,4.21,-80812699,-14.18,-113153364,-19.86,1688022495,0
sh601689,拓普集团,79.97,5.46,191835382,11.07,113788854,6.57,78046528,4.5,-47779360,-2.76,-144056032,-8.31,1688022512,1
sz002139,拓邦股份,11.86,7.92,187102686,23.6,145682944,18.37,41419742,5.22,-63392214,-8.0,-123710481,-15.6,1688022489,0
sz300002,神州泰岳,14.12,7.7,170221804,7.89,54695196,2.54,115526608,5.36,-45356752,-2.1,-124865072,-5.79,1688022540,0
sz000970,中科三环,12.82,5.95,164375559,17.82,94013243,10.19,70362316,7.63,-47774876,-5.18,-116600672,-12.64,1688022507,0
sz002031,巨轮智能,4.07,10.0,162166113,52.56,199055779,64.51,-36889666,-11.96,-76053236,-24.65,-86112876,-27.91,1688022525,0
sz301311,昆船智能,30.64,20.02,154755638,19.94,189229291,24.39,-34473653,-4.44,-77925428,-10.04,-76830203,-9.9,1688022510,0
