代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比),UNKOWN2,UNKNOWN
sz000977,浪潮信息,45.86,8.11,706208480,9.85,942244736,13.14,-236036256,-3.29,-521199344,-7.27,-185009120,-2.58,1690184061,0
sz002229,鸿博股份,30.68,10.0,564623344,23.45,576263120,23.93,-11639776,-0.48,-273648800,-11.36,-290974528,-12.08,1690184055,0
sz002463,沪电股份,24.19,6.85,383315232,13.39,373122464,13.04,10192768,0.36,-149939568,-5.24,-233375664,-8.15,1690184070,0
sh600150,中国船舶,32.27,4.43,292760592,11.39,194736448,7.58,98024144,3.81,-117083248,-4.55,-175677360,-6.83,1690185127,1
sh600602,云赛智联,14.76,9.99,289831424,23.0,312017120,24.76,-22185696,-1.76,-150376644,-11.93,-139454771,-11.06,1690185126,1
sz002315,焦点科技,39.19,9.99,228059068,26.43,224078898,25.97,3980170,0.46,-86385870,-10.01,-141673201,-16.42,1690184046,0
sz000063,中兴通讯,41.18,2.49,226912176,7.34,190732688,6.17,36179488,1.17,-46325248,-1.5,-180586928,-5.84,1690184073,0
sz000802,北京文化,8.32,10.05,162455041,33.3,164295073,33.68,-1840032,-0.38,-86708933,-17.78,-75746110,-15.53,1690184064,0
sz300812,易天股份,30.1,13.54,158170635,15.55,198628047,19.53,-40457412,-3.98,-94204640,-9.26,-63966000,-6.29,1690184100,0
sz002559,亚威股份,10.07,10.05,140396141,21.35,143285345,21.79,-2889204,-0.44,-54346998,-8.26,-86049147,-13.08,1690184088,0
sh688450,N光格,45.82,-13.69,117679320,34.24,23115167,6.72,94564153,27.51,32892367,9.57,-150571686,-43.81,1690185136,1
sz002366,融发核电,6.72,9.98,115731929,28.36,111413517,27.3,4318412,1.06,-50411582,-12.35,-65320347,-16.01,1690184088,0
sh600050,中国联通,5.18,0.78,110412616,8.01,54990344,3.99,55422272,4.02,-35167792,-2.55,-75244816,-5.46,1690185123,1
sz002316,亚联发展,6.39,9.98,105849772,16.51,81567879,12.73,24281893,3.79,-38655257,-6.03,-67194516,-10.48,1690184049,0
sz002400,省广集团,6.4,2.56,93326448,3.75,116862768,4.69,-23536320,-0.9400000000000001,-105676176,-4.24,12349712,0.5,1690184094,0
sz000938,紫光股份,28.25,3.37,92184466,6.28,37416658,2.55,54767808,3.73,-33405648,-2.2800000000000002,-58778800,-4.0,1690184103,0
sh601111,中国国航,8.83,1.15,89890151,14.38,61570076,9.85,28320075,4.53,-15082652,-2.41,-74807499,-11.96,1690185122,1
sz002845,同兴达,17.65,3.95,89234034,9.77,101968856,11.17,-12734822,-1.3900000000000001,-49779360,-5.45,-39454670,-4.32,1690184091,0
sh603322,超讯通信,28.13,6.47,86789726,11.86,74923563,10.24,11866163,1.62,-45198723,-6.18,-41591003,-5.68,1690185122,1
sh600536,中国软件,50.54,4.94,82781340,7.18,79208700,6.87,3572640,0.31,-33649712,-2.92,-49131632,-4.26,1690185133,1
sz002866,传艺科技,27.17,10.0,77464067,46.38,89326809,53.48,-11862742,-7.1,-43512705,-26.05,-33951362,-20.33,1690184079,0
sh600276,恒瑞医药,47.29,2.96,72213489,3.22,118252529,5.27,-46039040,-2.05,-30547424,-1.3599999999999999,-41666064,-1.8599999999999999,1690185133,1
sh600584,长电科技,34.3,-0.49,70239900,7.69,23155290,2.5300000000000002,47084610,5.15,-32727824,-3.58,-37512064,-4.11,1690185129,1
sz000333,美的集团,56.77,-0.63,69735383,10.6,79160943,12.03,-9425560,-1.43,-65176175,-9.91,-4559209,-0.6900000000000001,1690184046,0
sz301365,矩阵股份,19.0,8.94,69254086,14.6,78575750,16.56,-9321664,-1.96,-46397426,-9.78,-22856658,-4.82,1690184085,0
sh601360,三六零,11.73,1.56,69200987,4.94,40229003,2.87,28971984,2.07,-27417168,-1.96,-41783824,-2.98,1690185139,1
sh600941,中国移动,96.55,1.85,68331273,7.74,-28132296,-3.19,96463569,10.92,-58313844,-6.6,-10017426,-1.13,1690185145,1
sz301468,N博盈,40.1,-15.72,65318878,12.9,10934433,2.16,54384445,10.74,43183674,8.53,-108502557,-21.42,1690184067,0
sh601880,辽港股份,1.6099999999999999,1.26,54858853,21.38,20365214,7.94,34493639,13.44,-28456914,-11.09,-26401938,-10.29,1690185149,1
sz003005,竞业达,31.63,10.02,53143667,29.67,59499461,33.22,-6355794,-3.55,-27068332,-15.11,-26075334,-14.56,1690184043,0
sz000679,大连友谊,6.55,10.08,52858622,20.26,48831944,18.71,4026678,1.54,-16425195,-6.29,-36433426,-13.96,1690184079,0
sz300913,兆龙互连,39.57,6.6,52004292,8.1,24809271,3.86,27195021,4.23,-1292141,-0.2,-50712150,-7.9,1690184088,0
sh603097,江苏华辰,24.58,5.0,50858581,15.17,60792068,18.13,-9933487,-2.96,-24465127,-7.3,-26393454,-7.87,1690185136,1
sz300657,弘信电子,19.47,2.69,50811919,6.85,20336982,2.74,30474937,4.11,-2327664,-0.31,-48484270,-6.53,1690184052,0
sz002881,美格智能,32.7,5.28,49074674,12.65,8531661,2.2,40543013,10.45,27211,0.01,-49101886,-12.66,1690184094,0
sz300760,迈瑞医疗,297.72,-0.73,48938698,7.8,33464268,5.33,15474430,2.47,-70729897,-11.27,21791193,3.47,1690184079,0
sz300212,易华录,31.88,3.0,48269464,10.05,9423662,1.96,38845802,8.09,-4571527,-0.9500000000000001,-43697938,-9.1,1690184100,0
sz300347,泰格医药,64.38,1.48,46900039,7.84,20757290,3.47,26142749,4.37,29364213,4.91,-76264251,-12.75,1690184097,0
sz300750,宁德时代,218.98,-1.18,46399552,1.55,-52721216,-1.76,99120768,3.31,84135392,2.81,-130534976,-4.37,1690184064,0
sz300458,全志科技,30.35,2.02,46138213,5.08,-6854809,-0.75,52993022,5.83,-33356848,-3.67,-12781369,-1.4100000000000001,1690184055,0
sz300035,中科电气,12.28,9.35,45518050,6.91,27986059,4.25,17531991,2.66,11989472,1.82,-57507524,-8.73,1690184061,0
sh600100,同方股份,7.51,2.32,44710239,9.25,39949432,8.26,4760807,0.98,-14296790,-2.96,-30413449,-6.29,1690185141,1
sz300130,新国都,25.76,4.5,44463283,4.88,44989995,4.93,-526712,-0.06,19257392,2.11,-63720673,-6.99,1690184091,0
