代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比),UNKOWN2,UNKNOWN
sz300418,昆仑万维,37.17,3.86,376330208,7.95,188116816,3.9699999999999998,188213392,3.9699999999999998,-98254832,-2.07,-278075392,-5.87,1691737770,0
sz301372,N科净源,96.0,113.33,375977990,30.02,95989148,7.67,279988842,22.36,-145053584,-11.58,-230924400,-18.44,1691737725,0
sh603259,药明康德,78.6,-0.38,359446080,17.83,6009712,0.30000000000000004,353436368,17.53,-175865456,-8.72,-183580624,-9.1,1691737761,1
sz002527,新时达,12.08,10.02,255806394,24.31,247897686,23.55,7908708,0.75,-106218254,-10.09,-149588150,-14.21,1691737740,0
sh601728,中国电信,5.85,0.0,206719040,9.46,106955680,4.9,99763360,4.57,-70403888,-3.22,-136315152,-6.24,1691737766,1
sz002173,创新医疗,9.35,10.0,199490201,30.18,169533961,25.65,29956240,4.53,-85334519,-12.91,-114155681,-17.27,1691737740,0
sz000333,美的集团,55.18,-2.08,167224608,11.78,97464864,6.87,69759744,4.91,-144291664,-10.17,-22932960,-1.62,1691737746,0
sz301277,新天地,26.98,20.02,160449043,21.42,229926588,30.69,-69477545,-9.27,-96830751,-12.93,-63618297,-8.49,1691737770,0
sh600050,中国联通,5.26,-1.13,152238000,4.76,111448736,3.48,40789264,1.28,-99670496,-3.12,-52567520,-1.6400000000000001,1691737772,1
sz002279,久其软件,7.05,6.02,118915633,11.6,141676899,13.82,-22761266,-2.22,-78729568,-7.68,-40186080,-3.92,1691737773,0
sz301429,森泰股份,32.27,20.01,118745015,20.14,144289006,24.47,-25543991,-4.33,-66941272,-11.35,-51803744,-8.79,1691737725,0
sh601127,赛力斯,39.35,-0.8300000000000001,116697360,6.62,58548752,3.32,58148608,3.3,1261216,0.07,-117958576,-6.69,1691737762,1
sz000573,粤宏远Ａ,4.26,10.08,108237446,42.21,141413935,55.15,-33176489,-12.94,-57845289,-22.56,-50392158,-19.65,1691737731,0
sz002451,摩恩电气,7.36,10.01,101341213,49.52,109546665,53.53,-8205452,-4.01,-47649830,-23.28,-53691383,-26.24,1691737767,0
sh600622,光大嘉宝,3.54,9.94,95433556,25.1,81844167,21.52,13589389,3.5700000000000003,-37559236,-9.88,-57874320,-15.22,1691737757,1
sz002786,银宝山新,6.9,10.05,94714227,21.75,95708335,21.98,-994108,-0.23,-45733468,-10.5,-48980759,-11.25,1691737764,0
sz000006,深振业Ａ,5.83,10.0,93480855,8.43,121044193,10.91,-27563338,-2.48,-38134039,-3.44,-55346818,-4.99,1691737770,0
sz000705,浙江震元,9.24,10.0,93405278,33.23,102949021,36.62,-9543743,-3.39,-48993508,-17.43,-44411770,-15.8,1691737728,0
sz002317,众生药业,17.21,5.91,92445424,5.65,59788064,3.66,32657360,2.0,15513232,0.9500000000000001,-107958656,-6.6,1691737731,0
sz300624,万兴科技,93.4,0.2,84273484,12.12,14030635,2.02,70242849,10.1,-6782856,-0.98,-77490629,-11.14,1691737740,0
sz301075,多瑞医药,32.4,20.0,82314994,20.64,91754558,23.01,-9439564,-2.37,-32489151,-8.15,-49825842,-12.5,1691737740,0
sh600657,信达地产,5.07,4.54,79683414,19.24,44998210,10.87,34685204,8.38,-18285773,-4.42,-61397641,-14.83,1691737776,1
sz301515,港通医疗,51.4,17.62,77195483,9.76,90234558,11.41,-13039075,-1.65,-41702928,-5.27,-35492560,-4.49,1691737755,0
sh600272,开开实业,11.79,9.98,75343079,17.77,86504487,20.4,-11161408,-2.63,-24560243,-5.79,-50782836,-11.98,1691737772,1
sz002584,西陇科学,5.97,9.94,75127653,47.17,76461436,48.0,-1333783,-0.84,-29054769,-18.24,-46072885,-28.93,1691737758,0
sz301234,五洲医疗,39.7,20.01,74742566,28.83,84138342,32.46,-9395776,-3.62,-34599023,-13.35,-40143543,-15.49,1691737755,0
sh688117,圣诺生物,35.04,20.0,74644085,9.88,69522747,9.2,5121338,0.68,-44121374,-5.84,-30522708,-4.04,1691737779,1
sz300750,宁德时代,241.5,-2.03,71011280,1.69,120675312,2.87,-49664032,-1.18,-305704960,-7.26,234693664,5.57,1691737740,0
sh601225,陕西煤业,16.23,-2.64,68757576,13.88,70037876,14.14,-1280300,-0.26,-30911257,-6.24,-37846319,-7.64,1691737751,1
sz002603,以岭药业,24.37,1.4100000000000001,65412350,6.52,30172601,3.01,35239749,3.51,-10767872,-1.07,-54644480,-5.45,1691737761,0
sh688111,金山办公,408.16,-1.42,62727638,10.22,-12346042,-2.01,75073680,12.23,-61998240,-10.1,-729392,-0.12,1691737779,1
sz002926,华西证券,9.5,-0.52,58846091,5.37,46195979,4.22,12650112,1.15,-9115328,-0.8300000000000001,-49730767,-4.54,1691737743,0
sh600029,南方航空,6.88,-1.99,58432994,17.61,32006460,9.64,26426534,7.96,-26239001,-7.91,-32193993,-9.7,1691737769,1
sh600383,金地集团,8.21,-0.61,58272616,5.46,3771224,0.35000000000000003,54501392,5.1,-61976512,-5.8,3703902,0.35000000000000003,1691737761,1
sh603042,华脉科技,16.79,5.66,56663693,6.67,78508213,9.24,-21844520,-2.5700000000000003,-43179816,-5.08,-13483878,-1.5899999999999999,1691737762,1
sz002602,世纪华通,5.53,-0.9,55578373,6.79,45988454,5.62,9589919,1.17,-39966040,-4.88,-15612340,-1.9100000000000001,1691737761,0
sh600322,天房发展,2.86,10.0,55550184,7.08,91827080,11.7,-36276896,-4.62,-36657194,-4.67,-18892989,-2.41,1691737766,1
sh601155,新城控股,15.44,-0.8300000000000001,54817520,9.47,68909405,11.91,-14091885,-2.44,-23675082,-4.09,-31142439,-5.38,1691737772,1
sh600378,昊华科技,39.98,4.47,53949649,21.36,21938283,8.69,32011366,12.68,8385781,3.32,-62335431,-24.68,1691737754,1
sh603087,甘李药业,42.3,0.5700000000000001,51597016,12.72,6898101,1.7000000000000002,44698915,11.02,1527022,0.38,-53124038,-13.09,1691737760,1
sz000736,中交地产,15.25,2.62,49996952,7.27,22660192,3.29,27336760,3.9699999999999998,-23351262,-3.39,-26645689,-3.87,1691737764,0
sz000011,深物业A,10.83,5.04,49713494,12.54,40284003,10.16,9429491,2.38,-1083533,-0.27,-48629960,-12.26,1691737719,0
sz002787,华源控股,9.37,9.98,48723837,22.06,52597905,23.82,-3874068,-1.75,-12554026,-5.68,-36169810,-16.38,1691737764,0
